nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-11-29
1.0,1.0,1.0,0.0,2018-11-30
1.0,1.0,1.0,0.0,2018-12-03
1.0,1.0,1.0,0.0,2018-12-04
1.0,1.0,1.0,0.0,2018-12-05
1.0,1.0,1.0,0.0,2018-12-06
1.0,1.0,1.0,0.0,2018-12-07
1.0,1.0,1.0,0.0,2018-12-10
1.0,1.0,1.0,0.0,2018-12-11
1.0,1.0,1.0,0.0,2018-12-12
1.0,1.0,1.0,0.0,2018-12-13
1.0,1.0,1.0,0.0,2018-12-14
1.0,1.0,1.0,0.0,2018-12-17
0.999,0.999,0.999,-0.001,2018-12-18
0.996,0.996,0.996,-0.003003003,2018-12-19
0.994,0.994,0.994,-0.0020080321,2018-12-20
0.986,0.986,0.986,-0.0080482897,2018-12-21
0.993,0.993,0.993,0.0070993915,2018-12-24
0.995,0.995,0.995,0.0020140987,2018-12-25
0.991,0.991,0.991,-0.0040201005,2018-12-26
0.987,0.987,0.987,-0.0040363269,2018-12-27
0.992,0.992,0.992,0.0050658561,2018-12-28
0.982,0.982,0.982,-0.0100806452,2019-01-02
0.976,0.976,0.976,-0.0061099796,2019-01-03
0.988,0.988,0.988,0.012295082,2019-01-04
0.993,0.993,0.993,0.0050607287,2019-01-07
0.992,0.992,0.992,-0.0010070493,2019-01-08
1.002,1.002,1.002,0.0100806452,2019-01-09
1.001,1.001,1.001,-0.000998004,2019-01-10
1.001,1.001,1.001,0.0,2019-01-11
0.997,0.997,0.997,-0.003996004,2019-01-14
1.007,1.007,1.007,0.0100300903,2019-01-15
1.009,1.009,1.009,0.0019860973,2019-01-16
1.001,1.001,1.001,-0.0079286422,2019-01-17
1.014,1.014,1.014,0.012987013,2019-01-18
1.025,1.025,1.025,0.0108481262,2019-01-21
1.019,1.019,1.019,-0.0058536585,2019-01-22
1.02,1.02,1.02,0.0009813543,2019-01-23
1.027,1.027,1.027,0.0068627451,2019-01-24
1.034,1.034,1.034,0.0068159688,2019-01-25
1.032,1.032,1.032,-0.001934236,2019-01-28
1.028,1.028,1.028,-0.003875969,2019-01-29
1.02,1.02,1.02,-0.0077821012,2019-01-30
1.027,1.027,1.027,0.0068627451,2019-01-31
1.04,1.04,1.04,0.0126582278,2019-02-01
1.054,1.054,1.054,0.0134615385,2019-02-11
1.074,1.074,1.074,0.0189753321,2019-02-12
1.092,1.092,1.092,0.0167597765,2019-02-13
1.093,1.093,1.093,0.0009157509,2019-02-14
1.083,1.083,1.083,-0.0091491308,2019-02-15
1.111,1.111,1.111,0.025854109,2019-02-18
1.086,1.086,1.086,-0.0225022502,2019-02-19
1.082,1.082,1.082,-0.0036832413,2019-02-20
1.088,1.088,1.088,0.0055452865,2019-02-21
1.11,1.11,1.11,0.0202205882,2019-02-22
1.137,1.137,1.137,0.0243243243,2019-02-25
1.12,1.12,1.12,-0.0149516271,2019-02-26
1.089,1.089,1.089,-0.0276785714,2019-02-27
1.095,1.095,1.095,0.0055096419,2019-02-28
1.098,1.098,1.098,0.002739726,2019-03-01
1.128,1.128,1.128,0.0273224044,2019-03-04
1.154,1.154,1.154,0.0230496454,2019-03-05
1.145,1.145,1.145,-0.0077989601,2019-03-06
1.132,1.132,1.132,-0.0113537118,2019-03-07
1.124,1.124,1.124,-0.0070671378,2019-03-08
1.175,1.175,1.175,0.0453736655,2019-03-11
1.184,1.184,1.184,0.0076595745,2019-03-12
1.165,1.165,1.165,-0.0160472973,2019-03-13
1.152,1.152,1.152,-0.0111587983,2019-03-14
1.161,1.161,1.161,0.0078125,2019-03-15
1.182,1.182,1.182,0.0180878553,2019-03-18
1.179,1.179,1.179,-0.0025380711,2019-03-19
1.152,1.152,1.152,-0.0229007634,2019-03-20
1.168,1.168,1.168,0.0138888889,2019-03-21
1.165,1.165,1.165,-0.0025684932,2019-03-22
1.15,1.15,1.15,-0.0128755365,2019-03-25
1.122,1.122,1.122,-0.0243478261,2019-03-26
1.132,1.132,1.132,0.008912656,2019-03-27
1.138,1.138,1.138,0.0053003534,2019-03-28
1.17,1.17,1.17,0.0281195079,2019-03-29
1.198,1.198,1.198,0.0239316239,2019-04-01
1.21,1.21,1.21,0.0100166945,2019-04-02
1.216,1.216,1.216,0.0049586777,2019-04-03
1.211,1.211,1.211,-0.0041118421,2019-04-04
1.183,1.183,1.183,-0.0231213873,2019-04-08
1.184,1.184,1.184,0.0008453085,2019-04-09
1.176,1.176,1.176,-0.0067567568,2019-04-10
1.151,1.151,1.151,-0.0212585034,2019-04-11
1.162,1.162,1.162,0.009556907,2019-04-12
1.157,1.157,1.157,-0.004302926,2019-04-15
1.171,1.171,1.171,0.0121002593,2019-04-16
1.171,1.171,1.171,0.0,2019-04-17
1.168,1.168,1.168,-0.0025619129,2019-04-18
1.17,1.17,1.17,0.0017123288,2019-04-19
1.156,1.156,1.156,-0.011965812,2019-04-22
1.138,1.138,1.138,-0.0155709343,2019-04-23
1.147,1.147,1.147,0.0079086116,2019-04-24
1.111,1.111,1.111,-0.0313862249,2019-04-25
1.113,1.113,1.113,0.00180018,2019-04-26
1.111,1.111,1.111,-0.0017969452,2019-04-29
1.132,1.132,1.132,0.0189018902,2019-04-30
1.068,1.068,1.068,-0.0565371025,2019-05-06
1.066,1.066,1.066,-0.0018726592,2019-05-07
1.046,1.046,1.046,-0.0187617261,2019-05-08
1.023,1.023,1.023,-0.0219885277,2019-05-09
1.068,1.068,1.068,0.0439882698,2019-05-10
1.044,1.044,1.044,-0.0224719101,2019-05-13
1.04,1.04,1.04,-0.0038314176,2019-05-14
1.065,1.065,1.065,0.0240384615,2019-05-15
1.058,1.058,1.058,-0.00657277,2019-05-16
1.048,1.048,1.048,-0.0094517958,2019-05-17
1.068,1.068,1.068,0.0190839695,2019-05-20
1.071,1.071,1.071,0.0028089888,2019-05-21
1.086,1.086,1.086,0.0140056022,2019-05-22
1.062,1.062,1.062,-0.0220994475,2019-05-23
1.037,1.037,1.037,-0.0235404896,2019-05-24
1.082,1.082,1.082,0.0433944069,2019-05-27
1.083,1.083,1.083,0.0009242144,2019-05-28
1.081,1.081,1.081,-0.0018467221,2019-05-29
1.079,1.079,1.079,-0.0018501388,2019-05-30
1.081,1.081,1.081,0.0018535681,2019-05-31
1.061,1.061,1.061,-0.0185013876,2019-06-03
1.043,1.043,1.043,-0.0169651272,2019-06-04
