nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-06-24
1.0,1.0,1.0,0.0,2015-12-10
1.0,1.0,1.0,0.0,2015-12-11
0.9996,0.9996,0.9996,-0.0004,2015-12-18
1.0045,1.0045,1.0045,0.0049019608,2015-12-25
0.987,0.987,0.987,-0.0174216028,2015-12-31
0.8604,0.8604,0.8604,-0.1282674772,2016-01-08
0.7726,0.7726,0.7726,-0.1020455602,2016-01-15
0.7899,0.7899,0.7899,0.0223919234,2016-01-22
0.7436,0.7436,0.7436,-0.0586150146,2016-01-29
0.7538,0.7538,0.7538,0.0137170522,2016-02-05
0.7799,0.7799,0.7799,0.0346245689,2016-02-19
0.7413,0.7413,0.7413,-0.0494935248,2016-02-26
0.7274,0.7274,0.7274,-0.0187508431,2016-02-29
0.7284,0.7284,0.7284,0.0013747594,2016-03-04
0.7303,0.7303,0.7303,0.0026084569,2016-03-11
0.7379,0.7379,0.7379,0.0104066822,2016-03-18
0.7437,0.7437,0.7437,0.0078601437,2016-03-25
0.7439,0.7439,0.7439,0.0002689256,2016-03-31
0.7434,0.7434,0.7434,-0.0006721334,2016-04-01
0.7409,0.7409,0.7409,-0.0033629271,2016-04-08
0.7536,0.7536,0.7536,0.0171413146,2016-04-15
0.7375,0.7375,0.7375,-0.0213641189,2016-04-22
0.7451,0.7451,0.7451,0.0103050847,2016-04-29
0.7467,0.7467,0.7467,0.0021473628,2016-05-06
0.7342,0.7342,0.7342,-0.0167403241,2016-05-13
0.7389,0.7389,0.7389,0.0064015255,2016-05-20
0.7465,0.7465,0.7465,0.0102855596,2016-05-27
0.7585,0.7585,0.7585,0.0160750167,2016-05-31
0.7637,0.7637,0.7637,0.0068556361,2016-06-03
0.7623,0.7623,0.7623,-0.0018331806,2016-06-08
0.761,0.761,0.761,-0.0017053653,2016-06-17
0.7735,0.7735,0.7735,0.0164257556,2016-06-24
0.7885,0.7885,0.7885,0.0193923723,2016-06-30
0.7848,0.7848,0.7848,-0.004692454,2016-07-01
0.7941,0.7941,0.7941,0.0118501529,2016-07-08
0.7874,0.7874,0.7874,-0.0084372245,2016-07-15
0.7952,0.7952,0.7952,0.0099060198,2016-07-22
