nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-10-26
1.0,1.0,1.0,0.0,2023-10-27
1.0029,1.0029,1.0029,0.0029,2023-10-31
1.012,1.012,1.012,0.0090736863,2023-11-03
1.0149,1.0149,1.0149,0.0028656126,2023-11-10
1.025,1.025,1.025,0.0099517194,2023-11-15
1.0127,1.0127,1.0127,-0.012,2023-11-17
1.0004,1.0004,1.0004,-0.012145749,2023-11-24
0.9978,0.9978,0.9978,-0.0025989604,2023-11-30
0.9949,0.9949,0.9949,-0.0029063941,2023-12-01
0.9852,0.9852,0.9852,-0.0097497236,2023-12-08
0.9728,0.9728,0.9728,-0.0125862769,2023-12-15
0.9593,0.9593,0.9593,-0.0138774671,2023-12-22
0.9855,0.9855,0.9855,0.0273115814,2023-12-29
0.9486,0.9486,0.9486,-0.0374429224,2024-01-05
0.934,0.934,0.934,-0.0153911027,2024-01-12
0.9337,0.9337,0.9337,-0.0003211991,2024-01-15
0.9156,0.9156,0.9156,-0.0193852415,2024-01-19
0.9173,0.9173,0.9173,0.001856706,2024-01-26
0.8859,0.8859,0.8859,-0.034230895,2024-01-31
0.8828,0.8828,0.8828,-0.0034992663,2024-02-02
0.9305,0.9305,0.9305,0.0540326235,2024-02-08
0.9432,0.9432,0.9432,0.013648576,2024-02-19
0.9679,0.9679,0.9679,0.026187447,2024-02-23
0.9821,0.9821,0.9821,0.0146709371,2024-02-29
0.9846,0.9846,0.9846,0.0025455656,2024-03-01
0.9823,0.9823,0.9823,-0.002335974,2024-03-08
1.0167,1.0167,1.0167,0.0350198514,2024-03-15
1.0027,1.0027,1.0027,-0.0137700403,2024-03-22
1.0039,1.0039,1.0039,0.0011967687,2024-03-29
1.0036,1.0036,1.0036,-0.0002988345,2024-04-03
0.9946,0.9946,0.9946,-0.0089677162,2024-04-12
0.9981,0.9981,0.9981,0.0035190026,2024-04-15
0.9837,0.9837,0.9837,-0.0144274121,2024-04-19
1.0237,1.0237,1.0237,0.0406628037,2024-04-26
1.0271,1.0271,1.0271,0.0033212855,2024-04-30
1.0516,1.0516,1.0516,0.0238535683,2024-05-10
1.0405,1.0405,1.0405,-0.0105553442,2024-05-15
1.0488,1.0488,1.0488,0.0079769342,2024-05-17
1.0179,1.0179,1.0179,-0.0294622426,2024-05-24
1.0134,1.0134,1.0134,-0.0044208665,2024-05-31
1.0062,1.0062,1.0062,-0.0071047957,2024-06-07
1.0032,1.0032,1.0032,-0.0029815146,2024-06-14
1.0018,1.0018,1.0018,-0.0013955343,2024-06-17
0.9885,0.9885,0.9885,-0.013276103,2024-06-21
0.9745,0.9745,0.9745,-0.014162873,2024-06-28
0.9738,0.9738,0.9738,-0.0007183171,2024-07-05
0.9886,0.9886,0.9886,0.0151981926,2024-07-12
0.9831,0.9831,0.9831,-0.005563423,2024-07-15
0.9802,0.9802,0.9802,-0.0029498525,2024-07-19
0.953,0.953,0.953,-0.0277494389,2024-07-26
0.9683,0.9683,0.9683,0.0160545645,2024-07-31
0.953,0.953,0.953,-0.0158008882,2024-08-02
0.9519,0.9519,0.9519,-0.0011542497,2024-08-09
0.9481,0.9481,0.9481,-0.003992016,2024-08-15
0.9471,0.9471,0.9471,-0.0010547411,2024-08-16
0.949,0.949,0.949,0.002006124,2024-08-23
0.9534,0.9534,0.9534,0.0046364594,2024-08-30
0.9324,0.9324,0.9324,-0.0220264317,2024-09-06
0.9239,0.9239,0.9239,-0.0091162591,2024-09-13
0.9229,0.9229,0.9229,-0.0010823682,2024-09-18
0.9268,0.9268,0.9268,0.0042258099,2024-09-20
1.0185,1.0185,1.0185,0.0989425982,2024-09-27
1.0747,1.0747,1.0747,0.0551791851,2024-09-30
1.0659,1.0659,1.0659,-0.0081883316,2024-10-11
1.0548,1.0548,1.0548,-0.0104137349,2024-10-15
1.0772,1.0772,1.0772,0.0212362533,2024-10-18
1.0716,1.0716,1.0716,-0.0051986632,2024-10-25
1.0481,1.0481,1.0481,-0.0219298246,2024-10-31
1.0541,1.0541,1.0541,0.0057246446,2024-11-01
1.0708,1.0708,1.0708,0.0158428992,2024-11-08
1.0393,1.0393,1.0393,-0.0294172581,2024-11-15
1.0249,1.0249,1.0249,-0.0138554796,2024-11-22
1.0288,1.0288,1.0288,0.0038052493,2024-11-29
1.0443,1.0443,1.0443,0.0150660964,2024-12-06
1.0374,1.0374,1.0374,-0.0066072968,2024-12-13
1.0239,1.0239,1.0239,-0.0130133025,2024-12-16
1.0201,1.0201,1.0201,-0.0037112999,2024-12-20
1.0265,1.0265,1.0265,0.0062738947,2024-12-27
1.0233,1.0233,1.0233,-0.0031173892,2024-12-31
1.0077,1.0077,1.0077,-0.0152447962,2025-01-03
0.9941,0.9941,0.9941,-0.0134960802,2025-01-10
0.9982,0.9982,0.9982,0.0041243336,2025-01-15
1.0047,1.0047,1.0047,0.0065117211,2025-01-17
1.0145,1.0145,1.0145,0.0097541555,2025-01-24
1.016,1.016,1.016,0.0014785609,2025-01-27
1.0458,1.0458,1.0458,0.0293307087,2025-02-07
1.0853,1.0853,1.0853,0.0377701281,2025-02-14
1.0839,1.0839,1.0839,-0.0012899659,2025-02-17
1.1118,1.1118,1.1118,0.025740382,2025-02-21
1.0699,1.0699,1.0699,-0.0376866343,2025-02-28
1.113,1.113,1.113,0.0402841387,2025-03-07
1.1279,1.1279,1.1279,0.0133872417,2025-03-14
1.125,1.125,1.125,-0.0025711499,2025-03-17
1.105,1.105,1.105,-0.0177777778,2025-03-21
1.1052,1.1052,1.1052,0.0001809955,2025-03-28
1.1006,1.1006,1.1006,-0.0041621426,2025-03-31
1.0915,1.0915,1.0915,-0.0082682173,2025-04-03
1.036,1.036,1.036,-0.0508474576,2025-04-11
1.0466,1.0466,1.0466,0.0102316602,2025-04-15
1.0352,1.0352,1.0352,-0.0108924135,2025-04-18
1.0659,1.0659,1.0659,0.0296561051,2025-04-25
1.0768,1.0768,1.0768,0.0102261,2025-04-30
1.0802,1.0802,1.0802,0.0031575037,2025-05-09
1.077,1.077,1.077,-0.0029624144,2025-05-15
1.0771,1.0771,1.0771,9.28505e-05,2025-05-16
1.0877,1.0877,1.0877,0.0098412404,2025-05-23
1.0773,1.0773,1.0773,-0.00956146,2025-05-30
1.1115,1.1115,1.1115,0.0317460317,2025-06-06
1.1145,1.1145,1.1145,0.0026990553,2025-06-13
1.1177,1.1177,1.1177,0.0028712427,2025-06-16
1.0986,1.0986,1.0986,-0.0170886642,2025-06-20
1.1317,1.1317,1.1317,0.0301292554,2025-06-27
1.1298,1.1298,1.1298,-0.0016788902,2025-06-30
1.1322,1.1322,1.1322,0.0021242698,2025-07-04
1.1419,1.1419,1.1419,0.0085673909,2025-07-11
1.1557,1.1557,1.1557,0.0120851213,2025-07-15
1.1849,1.1849,1.1849,0.0252660725,2025-07-18
1.2113,1.2113,1.2113,0.0222803612,2025-07-25
1.212,1.212,1.212,0.0005778915,2025-07-31
1.204,1.204,1.204,-0.0066006601,2025-08-01
1.2268,1.2268,1.2268,0.0189368771,2025-08-08
1.2608,1.2608,1.2608,0.0277143789,2025-08-15
1.2726,1.2726,1.2726,0.0093591371,2025-08-22
1.2752,1.2752,1.2752,0.0020430614,2025-08-29
1.304,1.304,1.304,0.0225846926,2025-09-05
1.3106,1.3106,1.3106,0.0050613497,2025-09-12
1.3051,1.3051,1.3051,-0.0041965512,2025-09-15
1.297,1.297,1.297,-0.006206421,2025-09-19
1.2952,1.2952,1.2952,-0.001387818,2025-09-26
1.3171,1.3171,1.3171,0.0169085855,2025-09-30
1.2987,1.2987,1.2987,-0.0139700858,2025-10-10
1.282,1.282,1.282,-0.0128590129,2025-10-15
1.263,1.263,1.263,-0.0148205928,2025-10-17
1.2777,1.2777,1.2777,0.0116389549,2025-10-24
1.2736,1.2736,1.2736,-0.003208891,2025-10-31
1.2648,1.2648,1.2648,-0.0069095477,2025-11-07
1.2837,1.2837,1.2837,0.014943074,2025-11-14
1.2702,1.2702,1.2702,-0.0105164758,2025-11-17
1.2326,1.2326,1.2326,-0.0296016375,2025-11-21
1.255,1.255,1.255,0.0181729677,2025-11-28
1.2549,1.2549,1.2549,-7.96813e-05,2025-12-05
1.241,1.241,1.241,-0.0110765798,2025-12-12
1.2267,1.2267,1.2267,-0.0115229654,2025-12-15
1.2318,1.2318,1.2318,0.0041574957,2025-12-19
1.2432,1.2432,1.2432,0.0092547491,2025-12-26
1.2297,1.2297,1.2297,-0.0108590734,2025-12-31
1.283,1.283,1.283,0.043343905,2026-01-09
1.2885,1.2885,1.2885,0.0042868277,2026-01-15
1.2882,1.2882,1.2882,-0.0002328289,2026-01-16
1.2787,1.2787,1.2787,-0.0073746313,2026-01-23
1.2769,1.2769,1.2769,-0.0014076797,2026-01-30
1.2407,1.2407,1.2407,-0.0283499099,2026-02-06
1.2453,1.2453,1.2453,0.0037075844,2026-02-13
1.2408,1.2408,1.2408,-0.0036135871,2026-02-24
1.2375,1.2375,1.2375,-0.0026595745,2026-02-27
1.2105,1.2105,1.2105,-0.0218181818,2026-03-06
1.1987,1.1987,1.1987,-0.009748038,2026-03-13
1.2047,1.2047,1.2047,0.0050054225,2026-03-16
