nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-16
1.0,1.0,1.0,0.0,2019-12-27
0.9999,0.9999,0.9999,-0.0001,2019-12-30
0.9999,0.9999,0.9999,0.0,2019-12-31
0.9998,0.9998,0.9998,-0.00010001,2020-01-02
0.9998,0.9998,0.9998,0.0,2020-01-03
0.9997,0.9997,0.9997,-0.00010002,2020-01-06
0.9996,0.9996,0.9996,-0.00010003,2020-01-07
0.9996,0.9996,0.9996,0.0,2020-01-08
0.9996,0.9996,0.9996,0.0,2020-01-09
0.9995,0.9995,0.9995,-0.00010004,2020-01-10
0.9994,0.9994,0.9994,-0.00010005,2020-01-13
0.9994,0.9994,0.9994,0.0,2020-01-14
0.9993,0.9993,0.9993,-0.00010006,2020-01-15
0.9993,0.9993,0.9993,0.0,2020-01-16
0.9993,0.9993,0.9993,0.0,2020-01-17
0.9992,0.9992,0.9992,-0.00010007,2020-01-20
0.9991,0.9991,0.9991,-0.0001000801,2020-01-21
0.9991,0.9991,0.9991,0.0,2020-01-22
0.999,0.999,0.999,-0.0001000901,2020-01-23
0.9986,0.9986,0.9986,-0.0004004004,2020-02-03
0.9986,0.9986,0.9986,0.0,2020-02-04
0.9986,0.9986,0.9986,0.0,2020-02-05
0.9985,0.9985,0.9985,-0.0001001402,2020-02-06
0.9985,0.9985,0.9985,0.0,2020-02-07
0.9984,0.9984,0.9984,-0.0001001502,2020-02-10
0.9984,0.9984,0.9984,0.0,2020-02-11
0.9983,0.9983,0.9983,-0.0001001603,2020-02-12
0.9983,0.9983,0.9983,0.0,2020-02-13
0.9982,0.9982,0.9982,-0.0001001703,2020-02-14
0.9981,0.9981,0.9981,-0.0001001803,2020-02-17
0.998,0.998,0.998,-0.0001001904,2020-02-18
0.998,0.998,0.998,0.0,2020-02-19
1.0018,1.0018,1.0018,0.0038076152,2020-02-20
1.0028,1.0028,1.0028,0.0009982032,2020-02-21
1.0067,1.0067,1.0067,0.0038891105,2020-02-24
0.9982,0.9982,0.9982,-0.008443429,2020-02-25
0.9952,0.9952,0.9952,-0.0030054097,2020-02-26
0.9936,0.9936,0.9936,-0.001607717,2020-02-27
0.9618,0.9618,0.9618,-0.0320048309,2020-02-28
0.9809,0.9809,0.9809,0.0198585985,2020-03-02
0.9834,0.9834,0.9834,0.0025486798,2020-03-03
0.9975,0.9975,0.9975,0.014338011,2020-03-04
1.0078,1.0078,1.0078,0.0103258145,2020-03-05
1.0033,1.0033,1.0033,-0.0044651717,2020-03-06
0.993,0.993,0.993,-0.0102661218,2020-03-09
0.9928,0.9928,0.9928,-0.0002014099,2020-03-10
0.9901,0.9901,0.9901,-0.002719581,2020-03-11
0.9678,0.9678,0.9678,-0.0225229775,2020-03-12
0.9734,0.9734,0.9734,0.0057863195,2020-03-13
0.9541,0.9541,0.9541,-0.0198274091,2020-03-16
0.9788,0.9788,0.9788,0.0258882717,2020-03-17
0.9569,0.9569,0.9569,-0.0223743359,2020-03-18
0.9693,0.9693,0.9693,0.0129585119,2020-03-19
0.9723,0.9723,0.9723,0.003095017,2020-03-20
0.9462,0.9462,0.9462,-0.0268435668,2020-03-23
0.9641,0.9641,0.9641,0.0189177764,2020-03-24
0.9688,0.9688,0.9688,0.004875013,2020-03-25
1.002,1.002,1.002,0.034269199,2020-03-26
0.9912,0.9912,0.9912,-0.0107784431,2020-03-27
1.0009,1.0009,1.0009,0.0097861178,2020-03-30
0.9915,0.9915,0.9915,-0.0093915476,2020-03-31
0.9848,0.9848,0.9848,-0.0067574382,2020-04-01
0.9999,0.9999,0.9999,0.0153330626,2020-04-02
0.9936,0.9936,0.9936,-0.0063006301,2020-04-03
1.0094,1.0094,1.0094,0.0159017713,2020-04-07
1.0065,1.0065,1.0065,-0.0028729939,2020-04-08
1.0003,1.0003,1.0003,-0.0061599603,2020-04-09
0.9913,0.9913,0.9913,-0.0089973008,2020-04-10
0.9744,0.9744,0.9744,-0.0170483204,2020-04-13
1.0078,1.0078,1.0078,0.0342775041,2020-04-14
0.9985,0.9985,0.9985,-0.0092280214,2020-04-15
1.0207,1.0207,1.0207,0.02223335,2020-04-16
1.0632,1.0632,1.0632,0.0416380915,2020-04-17
1.0665,1.0665,1.0665,0.0031038375,2020-04-20
1.0643,1.0643,1.0643,-0.0020628223,2020-04-21
1.0715,1.0715,1.0715,0.0067650099,2020-04-22
1.0592,1.0592,1.0592,-0.0114792347,2020-04-23
1.0451,1.0451,1.0451,-0.0133119335,2020-04-24
1.0575,1.0575,1.0575,0.0118648933,2020-04-27
1.0788,1.0788,1.0788,0.020141844,2020-04-28
1.079,1.079,1.079,0.0001853912,2020-04-29
1.0892,1.0892,1.0892,0.0094531974,2020-04-30
1.1006,1.1006,1.1006,0.0104663974,2020-05-06
1.1155,1.1155,1.1155,0.0135380701,2020-05-07
1.1158,1.1158,1.1158,0.0002689377,2020-05-08
1.1033,1.1033,1.1033,-0.0112027245,2020-05-11
1.13,1.13,1.13,0.0242001269,2020-05-12
