nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-11-19
0.9999,0.9999,0.9999,-0.0001,2024-11-22
0.9997,0.9997,0.9997,-0.00020002,2024-11-29
1.0023,1.0023,1.0023,0.0026007802,2024-12-06
1.0275,1.0275,1.0275,0.025142173,2024-12-13
1.0197,1.0197,1.0197,-0.0075912409,2024-12-20
1.0202,1.0202,1.0202,0.0004903403,2024-12-27
1.0191,1.0191,1.0191,-0.00107822,2024-12-31
1.0245,1.0245,1.0245,0.0052987931,2025-01-03
1.0266,1.0266,1.0266,0.0020497804,2025-01-10
1.0267,1.0267,1.0267,9.74089e-05,2025-01-17
1.0382,1.0382,1.0382,0.011200935,2025-01-24
1.04,1.04,1.04,0.00173377,2025-01-27
1.0523,1.0523,1.0523,0.0118269231,2025-02-07
1.0602,1.0602,1.0602,0.0075073648,2025-02-14
1.0674,1.0674,1.0674,0.0067911715,2025-02-21
1.0571,1.0571,1.0571,-0.0096496159,2025-02-28
1.066,1.066,1.066,0.0084192602,2025-03-07
1.065,1.065,1.065,-0.0009380863,2025-03-14
1.0526,1.0526,1.0526,-0.0116431925,2025-03-21
1.051,1.051,1.051,-0.0015200456,2025-03-28
1.0486,1.0486,1.0486,-0.0022835395,2025-03-31
1.0466,1.0466,1.0466,-0.001907305,2025-04-03
1.028,1.028,1.028,-0.0177718326,2025-04-11
1.029,1.029,1.029,0.0009727626,2025-04-18
1.0321,1.0321,1.0321,0.0030126336,2025-04-25
1.034,1.034,1.034,0.0018409069,2025-04-30
1.041,1.041,1.041,0.0067698259,2025-05-09
1.049,1.049,1.049,0.0076849183,2025-05-16
1.0529,1.0529,1.0529,0.0037178265,2025-05-23
1.053,1.053,1.053,9.49758e-05,2025-05-30
1.0625,1.0625,1.0625,0.0090218424,2025-06-06
1.0626,1.0626,1.0626,9.41176e-05,2025-06-13
1.066,1.066,1.066,0.0031996989,2025-06-20
1.0799,1.0799,1.0799,0.0130393996,2025-06-27
1.0798,1.0798,1.0798,-9.26012e-05,2025-06-30
1.083,1.083,1.083,0.0029635118,2025-07-04
1.0922,1.0922,1.0922,0.0084949215,2025-07-11
1.0902,1.0902,1.0902,-0.0018311665,2025-07-18
1.1041,1.1041,1.1041,0.0127499541,2025-07-25
1.0883,1.0883,1.0883,-0.014310298,2025-07-31
1.0871,1.0871,1.0871,-0.0011026371,2025-08-01
1.1046,1.1046,1.1046,0.0160978751,2025-08-08
1.1223,1.1223,1.1223,0.0160239001,2025-08-15
1.1549,1.1549,1.1549,0.0290474918,2025-08-22
1.1469,1.1469,1.1469,-0.0069270067,2025-08-29
1.1461,1.1461,1.1461,-0.0006975325,2025-09-05
1.1505,1.1505,1.1505,0.0038391065,2025-09-12
1.1381,1.1381,1.1381,-0.0107779226,2025-09-19
1.1477,1.1477,1.1477,0.0084351112,2025-09-26
1.18,1.18,1.18,0.028143243,2025-09-30
1.206,1.206,1.206,0.0220338983,2025-10-10
1.1838,1.1838,1.1838,-0.0184079602,2025-10-17
1.1919,1.1919,1.1919,0.006842372,2025-10-24
1.1969,1.1969,1.1969,0.0041949828,2025-10-31
1.2132,1.2132,1.2132,0.0136185145,2025-11-07
1.2196,1.2196,1.2196,0.005275305,2025-11-14
1.1913,1.1913,1.1913,-0.0232043293,2025-11-21
1.1908,1.1908,1.1908,-0.0004197096,2025-11-28
1.1961,1.1961,1.1961,0.0044507894,2025-12-05
1.1859,1.1859,1.1859,-0.0085277151,2025-12-12
1.1868,1.1868,1.1868,0.0007589173,2025-12-19
1.2087,1.2087,1.2087,0.0184529828,2025-12-26
1.1997,1.1997,1.1997,-0.0074460164,2025-12-31
1.2318,1.2318,1.2318,0.0267566892,2026-01-09
1.2399,1.2399,1.2399,0.0065757428,2026-01-16
1.2956,1.2956,1.2956,0.0449229777,2026-01-23
1.3393,1.3393,1.3393,0.0337295462,2026-01-30
1.2973,1.2973,1.2973,-0.0313596655,2026-02-06
1.2978,1.2978,1.2978,0.0003854159,2026-02-13
1.3155,1.3155,1.3155,0.0136384651,2026-02-27
1.3115,1.3115,1.3115,-0.0030406689,2026-03-06
1.3111,1.3111,1.3111,-0.0003049943,2026-03-13
1.2689,1.2689,1.2689,-0.0321867134,2026-03-20
1.2648,1.2648,1.2648,-0.0032311451,2026-03-27
1.2647,1.2647,1.2647,-7.90639e-05,2026-03-31
1.2686,1.2686,1.2686,0.0030837353,2026-04-03
1.2674,1.2674,1.2674,-0.0009459246,2026-04-10
1.2617,1.2617,1.2617,-0.0044973962,2026-04-17
1.2535,1.2535,1.2535,-0.0064991678,2026-04-24
1.244,1.244,1.244,-0.0075787794,2026-04-30
1.255,1.255,1.255,0.0088424437,2026-05-08
1.2435,1.2435,1.2435,-0.0091633466,2026-05-15
1.2372,1.2372,1.2372,-0.005066345,2026-05-22
