nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
2.436,2.436,2.436,0.0,2025-10-10
2.461,2.461,2.461,0.0102627258,2025-10-17
2.571,2.571,2.571,0.0446972775,2025-10-24
2.651,2.651,2.651,0.0311162972,2025-10-31
2.563,2.563,2.563,-0.0331950207,2025-11-07
2.488,2.488,2.488,-0.0292625829,2025-11-14
2.423,2.423,2.423,-0.0261254019,2025-11-21
2.558,2.558,2.558,0.0557160545,2025-11-28
2.585,2.585,2.585,0.0105551212,2025-12-05
2.534,2.534,2.534,-0.019729207,2025-12-12
2.51,2.51,2.51,-0.0094711918,2025-12-19
2.56,2.56,2.56,0.0199203187,2025-12-26
2.508,2.508,2.508,-0.0203125,2025-12-31
2.579,2.579,2.579,0.0283094099,2026-01-09
2.568,2.568,2.568,-0.0042652191,2026-01-16
2.561,2.561,2.561,-0.0027258567,2026-01-23
2.599,2.599,2.599,0.0148379539,2026-01-30
2.463,2.463,2.463,-0.0523278184,2026-02-06
2.361,2.361,2.361,-0.0414129111,2026-02-13
2.338,2.338,2.338,-0.0097416349,2026-02-27
2.267,2.267,2.267,-0.0303678358,2026-03-06
2.281,2.281,2.281,0.0061755624,2026-03-13
2.22,2.22,2.22,-0.0267426567,2026-03-20
2.088,2.088,2.088,-0.0594594595,2026-03-27
2.151,2.151,2.151,0.0301724138,2026-03-31
2.188,2.188,2.188,0.0172013017,2026-04-03
2.338,2.338,2.338,0.0685557587,2026-04-10
2.498,2.498,2.498,0.0684345595,2026-04-17
2.563,2.563,2.563,0.0260208167,2026-04-24
2.684,2.684,2.684,0.0472103004,2026-04-30
2.947,2.947,2.947,0.0979880775,2026-05-08
2.87,2.87,2.87,-0.026128266,2026-05-15
2.941,2.941,2.941,0.024738676,2026-05-22
