nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-10-12
1.0,1.0,1.0,0.0,2018-10-19
1.0,1.0,1.0,0.0,2018-10-26
1.0,1.0,1.0,0.0,2018-10-31
1.001,1.001,1.001,0.001,2018-11-02
1.0,1.0,1.0,-0.000999001,2018-11-09
1.001,1.001,1.001,0.001,2018-11-16
1.001,1.001,1.001,0.0,2018-11-23
1.001,1.001,1.001,0.0,2018-11-30
1.001,1.001,1.001,0.0,2018-12-07
1.002,1.002,1.002,0.000999001,2018-12-14
0.999,0.999,0.999,-0.002994012,2018-12-21
1.002,1.002,1.002,0.003003003,2018-12-28
1.004,1.004,1.004,0.001996008,2019-01-04
1.009,1.009,1.009,0.0049800797,2019-01-11
1.03,1.03,1.03,0.0208126858,2019-01-18
1.026,1.026,1.026,-0.0038834951,2019-01-25
1.034,1.034,1.034,0.007797271,2019-01-31
1.038,1.038,1.038,0.003868472,2019-02-01
1.066,1.066,1.066,0.0269749518,2019-02-15
1.085,1.085,1.085,0.0178236398,2019-02-22
1.105,1.105,1.105,0.0184331797,2019-02-28
1.145,1.145,1.145,0.036199095,2019-03-01
1.084,1.084,1.084,-0.0532751092,2019-03-08
1.136,1.136,1.136,0.0479704797,2019-03-15
1.169,1.169,1.169,0.0290492958,2019-03-22
1.235,1.235,1.235,0.0564585115,2019-03-29
1.263,1.263,1.263,0.0226720648,2019-04-04
1.272,1.272,1.272,0.0071258907,2019-04-12
1.296,1.296,1.296,0.0188679245,2019-04-19
1.278,1.278,1.278,-0.0138888889,2019-04-26
1.294,1.294,1.294,0.0125195618,2019-04-30
1.209,1.209,1.209,-0.0656877898,2019-05-10
1.235,1.235,1.235,0.0215053763,2019-05-17
1.194,1.194,1.194,-0.0331983806,2019-05-24
1.205,1.205,1.205,0.0092127303,2019-05-31
1.173,1.173,1.173,-0.0265560166,2019-06-06
1.235,1.235,1.235,0.052855925,2019-06-14
1.317,1.317,1.317,0.0663967611,2019-06-21
1.35,1.35,1.35,0.0250569476,2019-06-28
1.383,1.383,1.383,0.0244444444,2019-07-05
1.364,1.364,1.364,-0.0137382502,2019-07-12
1.336,1.336,1.336,-0.0205278592,2019-07-19
1.336,1.336,1.336,0.0,2019-07-26
1.337,1.337,1.337,0.000748503,2019-07-31
1.311,1.311,1.311,-0.0194465221,2019-08-02
1.301,1.301,1.301,-0.0076277651,2019-08-09
1.382,1.382,1.382,0.0622598002,2019-08-16
1.454,1.454,1.454,0.0520984081,2019-08-23
1.496,1.496,1.496,0.0288858322,2019-08-30
1.487,1.487,1.487,-0.0060160428,2019-09-06
1.441,1.441,1.441,-0.030934768,2019-09-12
