nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-01-28
1.0,1.0,1.0,0.0,2021-01-29
0.998,0.998,0.998,-0.002,2021-02-05
1.1122,1.1122,1.1122,0.1144288577,2021-02-10
1.0559,1.0559,1.0559,-0.050620392,2021-02-19
0.9113,0.9113,0.9113,-0.1369447864,2021-02-26
0.8833,0.8833,0.8833,-0.0307253374,2021-03-05
0.8671,0.8671,0.8671,-0.0183403147,2021-03-12
0.8586,0.8586,0.8586,-0.0098027909,2021-03-19
0.8549,0.8549,0.8549,-0.0043093408,2021-03-26
0.8534,0.8534,0.8534,-0.0017545912,2021-03-31
0.9108,0.9108,0.9108,0.0672603703,2021-04-02
0.86,0.86,0.86,-0.0557751427,2021-04-09
0.8732,0.8732,0.8732,0.0153488372,2021-04-16
0.8939,0.8939,0.8939,0.0237059093,2021-04-23
0.8579,0.8579,0.8579,-0.0402729612,2021-04-30
0.8165,0.8165,0.8165,-0.0482573727,2021-05-07
0.8541,0.8541,0.8541,0.0460502143,2021-05-14
0.8658,0.8658,0.8658,0.0136986301,2021-05-21
0.9288,0.9288,0.9288,0.0727650728,2021-05-28
0.926,0.926,0.926,-0.0030146425,2021-05-31
0.9364,0.9364,0.9364,0.0112311015,2021-06-04
0.9127,0.9127,0.9127,-0.0253096967,2021-06-11
0.8849,0.8849,0.8849,-0.0304590775,2021-06-18
0.8965,0.8965,0.8965,0.0131088259,2021-06-25
0.8905,0.8905,0.8905,-0.0066926938,2021-06-30
0.8725,0.8725,0.8725,-0.0202133633,2021-07-02
0.8574,0.8574,0.8574,-0.0173065903,2021-07-09
0.8523,0.8523,0.8523,-0.0059482155,2021-07-16
0.8361,0.8361,0.8361,-0.0190073918,2021-07-23
0.7646,0.7646,0.7646,-0.0855160866,2021-07-30
0.7623,0.7623,0.7623,-0.0030081088,2021-08-06
0.7698,0.7698,0.7698,0.0098386462,2021-08-13
0.7228,0.7228,0.7228,-0.0610548194,2021-08-20
0.7442,0.7442,0.7442,0.0296070836,2021-08-27
0.7621,0.7621,0.7621,0.024052674,2021-09-03
0.761,0.761,0.761,-0.0014433801,2021-09-10
0.7631,0.7631,0.7631,0.0027595269,2021-09-17
0.7672,0.7672,0.7672,0.0053728214,2021-09-24
0.8015,0.8015,0.8015,0.0447080292,2021-09-30
0.8052,0.8052,0.8052,0.0046163444,2021-10-08
0.8376,0.8376,0.8376,0.0402384501,2021-10-15
0.8353,0.8353,0.8353,-0.0027459408,2021-10-22
0.8222,0.8222,0.8222,-0.0156829881,2021-10-29
0.8286,0.8286,0.8286,0.0077839942,2021-11-05
0.8053,0.8053,0.8053,-0.02811972,2021-11-12
0.8342,0.8342,0.8342,0.035887247,2021-11-19
0.8617,0.8617,0.8617,0.0329657157,2021-11-26
0.863,0.863,0.863,0.0015086457,2021-12-03
0.9059,0.9059,0.9059,0.0497103129,2021-12-10
0.8795,0.8795,0.8795,-0.0291422894,2021-12-17
0.9388,0.9388,0.9388,0.0674246731,2021-12-24
0.8866,0.8866,0.8866,-0.0556028973,2021-12-31
0.8399,0.8399,0.8399,-0.0526731333,2022-01-07
0.8117,0.8117,0.8117,-0.0335754256,2022-01-14
0.8452,0.8452,0.8452,0.0412714057,2022-01-21
0.8128,0.8128,0.8128,-0.0383341221,2022-01-28
0.799,0.799,0.799,-0.0169783465,2022-02-11
0.8173,0.8173,0.8173,0.0229036295,2022-02-18
0.7792,0.7792,0.7792,-0.0466169093,2022-02-25
0.7776,0.7776,0.7776,-0.0020533881,2022-03-04
0.7764,0.7764,0.7764,-0.0015432099,2022-03-11
0.7762,0.7762,0.7762,-0.0002575992,2022-03-18
0.7753,0.7753,0.7753,-0.001159495,2022-03-25
0.7766,0.7766,0.7766,0.0016767703,2022-03-31
0.7789,0.7789,0.7789,0.0029616276,2022-04-01
0.7793,0.7793,0.7793,0.0005135447,2022-04-08
0.7801,0.7801,0.7801,0.0010265623,2022-04-15
0.7784,0.7784,0.7784,-0.0021792078,2022-04-22
0.7811,0.7811,0.7811,0.0034686536,2022-04-29
0.779,0.779,0.779,-0.0026885162,2022-05-06
0.7741,0.7741,0.7741,-0.0062901155,2022-05-13
0.7704,0.7704,0.7704,-0.0047797442,2022-05-20
0.772,0.772,0.772,0.0020768432,2022-05-27
0.7759,0.7759,0.7759,0.0050518135,2022-05-31
0.7801,0.7801,0.7801,0.0054130687,2022-06-02
0.7614,0.7614,0.7614,-0.0239712857,2022-06-10
0.7481,0.7481,0.7481,-0.0174678224,2022-06-17
0.7801,0.7801,0.7801,0.0427750301,2022-06-24
0.7506,0.7506,0.7506,-0.0378156647,2022-06-30
0.7518,0.7518,0.7518,0.001598721,2022-07-01
0.7543,0.7543,0.7543,0.0033253525,2022-07-08
0.7306,0.7306,0.7306,-0.0314198595,2022-07-15
0.7499,0.7499,0.7499,0.0264166439,2022-07-22
0.756,0.756,0.756,0.0081344179,2022-07-29
0.7617,0.7617,0.7617,0.0075396825,2022-08-05
0.774,0.774,0.774,0.0161480898,2022-08-12
0.764,0.764,0.764,-0.0129198966,2022-08-19
