nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-03-17
0.9998,0.9998,0.9998,-0.0002,2023-03-24
0.98,0.98,0.98,-0.0198039608,2023-03-31
1.0149,1.0149,1.0149,0.0356122449,2023-04-07
0.9849,0.9849,0.9849,-0.0295595625,2023-04-14
0.9322,0.9322,0.9322,-0.0535079704,2023-04-21
0.9451,0.9451,0.9451,0.0138382321,2023-04-28
0.9338,0.9338,0.9338,-0.0119564067,2023-05-05
0.9446,0.9446,0.9446,0.0115656457,2023-05-12
0.987,0.987,0.987,0.0448867245,2023-05-19
0.9807,0.9807,0.9807,-0.0063829787,2023-05-26
0.9828,0.9828,0.9828,0.0021413276,2023-05-31
0.9737,0.9737,0.9737,-0.0092592593,2023-06-02
0.9134,0.9134,0.9134,-0.0619287255,2023-06-09
0.9931,0.9931,0.9931,0.0872564046,2023-06-16
1.0245,1.0245,1.0245,0.0316181653,2023-06-21
1.0545,1.0545,1.0545,0.0292825769,2023-06-30
1.0197,1.0197,1.0197,-0.0330014225,2023-07-07
1.0084,1.0084,1.0084,-0.0110816907,2023-07-14
0.9813,0.9813,0.9813,-0.0268742562,2023-07-21
1.0108,1.0108,1.0108,0.0300621624,2023-07-28
1.0339,1.0339,1.0339,0.0228531856,2023-07-31
1.0145,1.0145,1.0145,-0.0187639037,2023-08-04
0.9348,0.9348,0.9348,-0.0785608674,2023-08-11
0.921,0.921,0.921,-0.014762516,2023-08-18
0.8607,0.8607,0.8607,-0.0654723127,2023-08-25
0.9036,0.9036,0.9036,0.0498431509,2023-08-31
0.9156,0.9156,0.9156,0.0132802125,2023-09-01
0.9382,0.9382,0.9382,0.0246832678,2023-09-08
0.9207,0.9207,0.9207,-0.0186527393,2023-09-15
0.9169,0.9169,0.9169,-0.0041272944,2023-09-22
0.909,0.909,0.909,-0.0086159887,2023-09-28
0.9085,0.9085,0.9085,-0.000550055,2023-10-13
0.8182,0.8182,0.8182,-0.0993946065,2023-10-20
0.8717,0.8717,0.8717,0.0653874358,2023-10-27
0.881,0.881,0.881,0.0106688081,2023-10-31
0.886,0.886,0.886,0.0056753689,2023-11-03
0.8784,0.8784,0.8784,-0.0085778781,2023-11-10
0.9235,0.9235,0.9235,0.0513433515,2023-11-17
0.9028,0.9028,0.9028,-0.0224147266,2023-11-24
0.9048,0.9048,0.9048,0.0022153301,2023-11-30
0.9179,0.9179,0.9179,0.0144783378,2023-12-01
0.87,0.87,0.87,-0.0521843338,2023-12-08
0.8853,0.8853,0.8853,0.0175862069,2023-12-15
0.8439,0.8439,0.8439,-0.0467638089,2023-12-22
0.8426,0.8426,0.8426,-0.0015404669,2023-12-29
0.8256,0.8256,0.8256,-0.0201756468,2024-01-05
0.7999,0.7999,0.7999,-0.031128876,2024-01-12
0.7191,0.7191,0.7191,-0.1010126266,2024-01-19
0.7628,0.7628,0.7628,0.0607704075,2024-01-26
0.6649,0.6649,0.6649,-0.128342947,2024-01-31
0.6032,0.6032,0.6032,-0.0927959092,2024-02-02
0.6689,0.6689,0.6689,0.1089190981,2024-02-08
0.7188,0.7188,0.7188,0.0746000897,2024-02-23
0.7546,0.7546,0.7546,0.0498052309,2024-02-29
0.7604,0.7604,0.7604,0.0076861914,2024-03-01
0.7673,0.7673,0.7673,0.0090741715,2024-03-08
0.8106,0.8106,0.8106,0.0564316434,2024-03-15
0.8168,0.8168,0.8168,0.0076486553,2024-03-22
0.8049,0.8049,0.8049,-0.01456905,2024-03-29
0.7907,0.7907,0.7907,-0.0176419431,2024-04-03
0.7116,0.7116,0.7116,-0.1000379411,2024-04-12
0.7329,0.7329,0.7329,0.0299325464,2024-04-19
0.7988,0.7988,0.7988,0.089916769,2024-04-26
0.8036,0.8036,0.8036,0.0060090135,2024-04-30
0.8238,0.8238,0.8238,0.025136884,2024-05-10
0.8139,0.8139,0.8139,-0.01201748,2024-05-17
0.7552,0.7552,0.7552,-0.0721218823,2024-05-24
0.8664,0.8664,0.8664,0.1472457627,2024-05-31
0.7573,0.7573,0.7573,-0.125923361,2024-06-07
0.8684,0.8684,0.8684,0.1467054008,2024-06-14
0.8603,0.8603,0.8603,-0.0093274988,2024-06-21
0.8507,0.8507,0.8507,-0.0111588981,2024-06-28
0.8426,0.8426,0.8426,-0.0095215705,2024-07-05
0.8662,0.8662,0.8662,0.028008545,2024-07-12
0.8458,0.8458,0.8458,-0.0235511429,2024-07-19
0.9084,0.9084,0.9084,0.074012769,2024-07-26
0.9912,0.9912,0.9912,0.0911492734,2024-07-31
1.0643,1.0643,1.0643,0.0737489911,2024-08-02
1.0154,1.0154,1.0154,-0.045945692,2024-08-09
0.9666,0.9666,0.9666,-0.0480598779,2024-08-16
0.9275,0.9275,0.9275,-0.0404510656,2024-08-23
0.9186,0.9186,0.9186,-0.0095956873,2024-08-30
0.9128,0.9128,0.9128,-0.006313956,2024-09-06
0.9209,0.9209,0.9209,0.0088737949,2024-09-13
0.9601,0.9601,0.9601,0.042567054,2024-09-20
1.1275,1.1275,1.1275,0.1743568378,2024-09-27
1.2933,1.2933,1.2933,0.1470509978,2024-09-30
1.2091,1.2091,1.2091,-0.0651047707,2024-10-11
1.3069,1.3069,1.3069,0.0808866099,2024-10-18
1.4148,1.4148,1.4148,0.0825617874,2024-10-25
1.578,1.578,1.578,0.1153519932,2024-10-31
1.6019,1.6019,1.6019,0.0151457541,2024-11-01
1.8108,1.8108,1.8108,0.1304076409,2024-11-08
1.178,1.8223,1.8223,0.0063507842,2024-11-13
1.1113,1.7556,1.71911884,-0.0566213922,2024-11-15
1.1766,1.8209,1.82013428,0.0587600108,2024-11-22
1.2045,1.8488,1.86329402,0.0237123916,2024-11-29
1.2286,1.8729,1.90057537,0.0200083022,2024-12-06
1.2204,1.8647,1.88789042,-0.0066742634,2024-12-13
1.1708,1.8151,1.811162,-0.0406424123,2024-12-20
1.1114,1.7557,1.71927353,-0.0507345405,2024-12-27
1.0388,1.6831,1.6069654,-0.065323016,2024-12-31
0.9765,1.6208,1.51059079,-0.0599730458,2025-01-03
0.9811,1.6254,1.51770673,0.0047107015,2025-01-10
1.0321,1.6764,1.59660087,0.0519824687,2025-01-17
1.003,1.6473,1.5515848,-0.0281949424,2025-01-24
