nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-01-25
1.0,1.0,1.0,0.0,2022-01-28
0.9996,0.9996,0.9996,-0.0004,2022-02-11
0.9994,0.9994,0.9994,-0.00020008,2022-02-18
0.9994,0.9994,0.9994,0.0,2022-02-25
0.9992,0.9992,0.9992,-0.0002001201,2022-03-04
0.999,0.999,0.999,-0.0002001601,2022-03-11
0.9988,0.9988,0.9988,-0.0002002002,2022-03-18
0.9986,0.9986,0.9986,-0.0002002403,2022-03-25
0.9926,0.9926,0.9926,-0.0060084118,2022-04-01
0.9907,0.9907,0.9907,-0.0019141648,2022-04-08
1.0005,1.0005,1.0005,0.0098919956,2022-04-15
1.007,1.007,1.007,0.0064967516,2022-04-22
1.0169,1.0169,1.0169,0.0098311817,2022-04-29
1.0142,1.0142,1.0142,-0.0026551283,2022-05-06
1.0066,1.0066,1.0066,-0.007493591,2022-05-13
0.9987,0.9987,0.9987,-0.0078482019,2022-05-20
1.0087,1.0087,1.0087,0.0100130169,2022-05-27
1.0192,1.0192,1.0192,0.0104094379,2022-06-02
1.0354,1.0354,1.0354,0.0158948195,2022-06-10
1.024,1.024,1.024,-0.0110102376,2022-06-17
1.0376,1.0376,1.0376,0.01328125,2022-06-24
1.0312,1.0312,1.0312,-0.0061680802,2022-07-01
1.0501,1.0501,1.0501,0.0183281614,2022-07-08
1.0996,1.0996,1.0996,0.0471383678,2022-07-15
1.0687,1.0687,1.0687,-0.0281011277,2022-07-22
1.0607,1.0607,1.0607,-0.0074857303,2022-07-29
1.0511,1.0511,1.0511,-0.0090506269,2022-08-05
1.0468,1.0468,1.0468,-0.0040909523,2022-08-12
1.0443,1.0443,1.0443,-0.0023882308,2022-08-19
1.0358,1.0358,1.0358,-0.0081394235,2022-08-26
1.0364,1.0364,1.0364,0.0005792624,2022-09-02
1.0352,1.0352,1.0352,-0.0011578541,2022-09-09
1.0243,1.0243,1.0243,-0.0105293663,2022-09-16
1.0243,1.0243,1.0243,0.0,2022-09-23
1.0233,1.0233,1.0233,-0.0009762765,2022-09-30
1.0119,1.0119,1.0119,-0.011140428,2022-10-14
1.0152,1.0152,1.0152,0.0032611918,2022-10-21
0.9983,0.9983,0.9983,-0.0166469661,2022-10-28
0.9963,0.9963,0.9963,-0.0020034058,2022-11-04
1.0024,1.0024,1.0024,0.0061226538,2022-11-11
0.9846,0.9846,0.9846,-0.0177573823,2022-11-18
0.9703,0.9703,0.9703,-0.0145236644,2022-11-25
0.9847,0.9847,0.9847,0.0148407709,2022-12-02
1.009,1.009,1.009,0.0246775668,2022-12-09
0.9855,0.9855,0.9855,-0.0232903865,2022-12-16
0.9571,0.9571,0.9571,-0.028817859,2022-12-23
0.9667,0.9667,0.9667,0.0100302999,2022-12-30
0.9845,0.9845,0.9845,0.0184131582,2023-01-06
1.007,1.007,1.007,0.0228542407,2023-01-13
1.0239,1.0239,1.0239,0.0167825223,2023-01-20
1.022,1.022,1.022,-0.00185565,2023-02-03
1.0088,1.0088,1.0088,-0.0129158513,2023-02-10
0.9965,0.9965,0.9965,-0.0121927042,2023-02-17
0.9987,0.9987,0.9987,0.002207727,2023-02-24
0.9951,0.9951,0.9951,-0.0036046861,2023-03-03
0.9735,0.9735,0.9735,-0.0217063612,2023-03-10
0.9914,0.9914,0.9914,0.0183872625,2023-03-17
1.0061,1.0061,1.0061,0.0148275166,2023-03-24
1.0144,1.0144,1.0144,0.008249677,2023-03-31
1.0776,1.0776,1.0776,0.0623028391,2023-04-07
1.0389,1.0389,1.0389,-0.0359131403,2023-04-14
1.0328,1.0328,1.0328,-0.005871595,2023-04-21
1.0301,1.0301,1.0301,-0.0026142525,2023-04-28
1.0374,1.0374,1.0374,0.0070866906,2023-05-05
1.0252,1.0252,1.0252,-0.0117601697,2023-05-12
1.0487,1.0487,1.0487,0.0229223566,2023-05-19
1.0672,1.0672,1.0672,0.0176408887,2023-05-26
1.0576,1.0576,1.0576,-0.0089955022,2023-06-02
1.0527,1.0527,1.0527,-0.0046331316,2023-06-09
1.0657,1.0657,1.0657,0.0123491973,2023-06-16
1.0624,1.0624,1.0624,-0.0030965563,2023-06-21
1.0553,1.0553,1.0553,-0.0066829819,2023-06-30
1.0281,1.0281,1.0281,-0.0257746612,2023-07-07
1.0419,1.0419,1.0419,0.0134228188,2023-07-14
1.0077,1.0077,1.0077,-0.0328246473,2023-07-21
1.0128,1.0128,1.0128,0.0050610301,2023-07-28
1.0033,1.0033,1.0033,-0.0093799368,2023-08-04
0.9552,0.9552,0.9552,-0.0479417921,2023-08-11
0.9336,0.9336,0.9336,-0.0226130653,2023-08-18
0.9349,0.9349,0.9349,0.0013924593,2023-08-25
0.948,0.948,0.948,0.0140121938,2023-09-01
0.9567,0.9567,0.9567,0.0091772152,2023-09-08
0.9655,0.9655,0.9655,0.0091982858,2023-09-15
0.956,0.956,0.956,-0.0098394614,2023-09-22
0.9466,0.9466,0.9466,-0.009832636,2023-09-28
0.9385,0.9385,0.9385,-0.0085569406,2023-10-13
0.9166,0.9166,0.9166,-0.0233351092,2023-10-20
0.9227,0.9227,0.9227,0.0066550295,2023-10-27
0.9259,0.9259,0.9259,0.0034680828,2023-11-03
0.9178,0.9178,0.9178,-0.008748245,2023-11-10
0.9278,0.9278,0.9278,0.01089562,2023-11-17
0.9192,0.9192,0.9192,-0.0092692391,2023-11-24
0.926,0.926,0.926,0.0073977372,2023-12-01
0.9251,0.9251,0.9251,-0.0009719222,2023-12-08
0.9275,0.9275,0.9275,0.0025943141,2023-12-15
0.9083,0.9083,0.9083,-0.0207008086,2023-12-22
0.9193,0.9193,0.9193,0.0121105362,2023-12-29
0.8607,0.8607,0.8607,-0.0637441532,2024-01-05
0.8687,0.8687,0.8687,0.0092947601,2024-01-12
0.8647,0.8647,0.8647,-0.0046045816,2024-01-19
0.8637,0.8637,0.8637,-0.0011564705,2024-01-26
0.8681,0.8681,0.8681,0.0050943615,2024-02-02
0.8603,0.8603,0.8603,-0.00898514,2024-02-08
0.8589,0.8589,0.8589,-0.0016273393,2024-02-23
0.8481,0.8481,0.8481,-0.0125742228,2024-03-01
0.8525,0.8525,0.8525,0.0051880674,2024-03-08
0.8698,0.8698,0.8698,0.0202932551,2024-03-15
0.8462,0.8462,0.8462,-0.0271326742,2024-03-22
0.8609,0.8609,0.8609,0.0173717797,2024-03-29
0.8542,0.8542,0.8542,-0.0077825531,2024-04-03
0.8369,0.8369,0.8369,-0.0202528682,2024-04-12
0.8218,0.8218,0.8218,-0.0180427769,2024-04-19
0.8657,0.8657,0.8657,0.0534193234,2024-04-26
0.8683,0.8683,0.8683,0.0030033499,2024-04-30
0.8824,0.8824,0.8824,0.0162386272,2024-05-10
0.892,0.892,0.892,0.0108794198,2024-05-17
0.8509,0.8509,0.8509,-0.0460762332,2024-05-24
0.8291,0.8291,0.8291,-0.0256199318,2024-05-31
0.8117,0.8117,0.8117,-0.020986612,2024-06-07
0.7944,0.7944,0.7944,-0.0213132931,2024-06-14
0.7858,0.7858,0.7858,-0.0108257805,2024-06-21
0.7691,0.7691,0.7691,-0.021252227,2024-06-28
0.7692,0.7692,0.7692,0.0001300221,2024-07-05
0.7805,0.7805,0.7805,0.0146905876,2024-07-12
0.7705,0.7705,0.7705,-0.0128122998,2024-07-19
0.749,0.749,0.749,-0.0279039585,2024-07-26
0.7354,0.7354,0.7354,-0.0181575434,2024-08-02
