nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-12-16
1.0,1.0,1.0,0.0,2021-12-17
0.9998,0.9998,0.9998,-0.0002,2021-12-24
0.9995,0.9995,0.9995,-0.00030006,2021-12-31
0.9994,0.9994,0.9994,-0.00010005,2022-01-07
1.0007,1.0007,1.0007,0.0013007805,2022-01-14
1.0004,1.0004,1.0004,-0.0002997901,2022-01-21
1.003,1.003,1.003,0.0025989604,2022-01-28
1.0074,1.0074,1.0074,0.0043868395,2022-02-11
0.9962,0.9962,0.9962,-0.0111177288,2022-02-18
0.9945,0.9945,0.9945,-0.0017064846,2022-02-25
0.9943,0.9943,0.9943,-0.0002011061,2022-02-28
1.0439,1.0439,1.0439,0.0498843407,2022-03-04
1.0714,1.0714,1.0714,0.0263435195,2022-03-11
1.0046,1.0046,1.0046,-0.0623483293,2022-03-18
1.0063,1.0063,1.0063,0.0016922158,2022-03-25
0.9888,0.9888,0.9888,-0.0173904402,2022-03-31
0.9848,0.9848,0.9848,-0.0040453074,2022-04-01
0.9862,0.9862,0.9862,0.0014216084,2022-04-08
1.0128,1.0128,1.0128,0.0269722166,2022-04-15
1.0213,1.0213,1.0213,0.008392575,2022-04-22
1.0296,1.0296,1.0296,0.0081268971,2022-04-29
1.0273,1.0273,1.0273,-0.0022338772,2022-05-06
1.0372,1.0372,1.0372,0.0096369123,2022-05-13
1.0397,1.0397,1.0397,0.0024103355,2022-05-20
1.0845,1.0845,1.0845,0.0430893527,2022-05-27
1.0767,1.0767,1.0767,-0.0071922545,2022-05-31
1.0676,1.0676,1.0676,-0.0084517507,2022-06-02
1.0685,1.0685,1.0685,0.0008430124,2022-06-10
1.113,1.113,1.113,0.0416471689,2022-06-17
1.1422,1.1422,1.1422,0.0262353998,2022-06-24
1.1291,1.1291,1.1291,-0.0114690947,2022-06-30
1.1327,1.1327,1.1327,0.0031883801,2022-07-01
1.1707,1.1707,1.1707,0.0335481593,2022-07-08
1.1997,1.1997,1.1997,0.0247715042,2022-07-15
1.171,1.171,1.171,-0.0239226473,2022-07-22
1.1775,1.1775,1.1775,0.0055508113,2022-07-29
1.2003,1.2003,1.2003,0.0193630573,2022-08-05
1.2027,1.2027,1.2027,0.0019995001,2022-08-12
1.221,1.221,1.221,0.0152157645,2022-08-19
1.2118,1.2118,1.2118,-0.0075348075,2022-08-26
1.2206,1.2206,1.2206,0.0072619244,2022-08-31
1.223,1.223,1.223,0.0019662461,2022-09-02
1.2076,1.2076,1.2076,-0.0125919869,2022-09-09
