nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-09-19
1.0,1.0,1.0,0.0,2023-09-22
1.0001,1.0001,1.0001,0.0001,2023-09-28
0.9954,0.9954,0.9954,-0.00469953,2023-10-13
0.97,0.97,0.97,-0.0255173799,2023-10-20
0.9717,0.9717,0.9717,0.0017525773,2023-10-24
0.9902,0.9902,0.9902,0.019038798,2023-10-25
0.9887,0.9887,0.9887,-0.0015148455,2023-10-26
1.0037,1.0037,1.0037,0.0151714372,2023-10-27
1.0074,1.0074,1.0074,0.0036863605,2023-10-30
1.0069,1.0069,1.0069,-0.0004963272,2023-10-31
1.0134,1.0134,1.0134,0.0064554573,2023-11-01
1.0094,1.0094,1.0094,-0.0039471087,2023-11-02
1.0156,1.0156,1.0156,0.0061422627,2023-11-03
1.0229,1.0229,1.0229,0.0071878692,2023-11-06
1.0231,1.0231,1.0231,0.0001955225,2023-11-07
1.0212,1.0212,1.0212,-0.001857101,2023-11-08
1.0185,1.0185,1.0185,-0.0026439483,2023-11-09
1.0204,1.0204,1.0204,0.0018654885,2023-11-10
1.0286,1.0286,1.0286,0.0080360643,2023-11-13
1.031,1.031,1.031,0.0023332685,2023-11-14
1.0349,1.0349,1.0349,0.0037827352,2023-11-15
1.0272,1.0272,1.0272,-0.0074403324,2023-11-16
1.0304,1.0304,1.0304,0.0031152648,2023-11-17
1.0362,1.0362,1.0362,0.005628882,2023-11-20
1.0346,1.0346,1.0346,-0.0015441035,2023-11-21
1.0293,1.0293,1.0293,-0.0051227528,2023-11-22
1.0349,1.0349,1.0349,0.0054405907,2023-11-23
1.0264,1.0264,1.0264,-0.0082133539,2023-11-24
1.0254,1.0254,1.0254,-0.000974279,2023-11-27
1.0331,1.0331,1.0331,0.0075092647,2023-11-28
1.0288,1.0288,1.0288,-0.0041622302,2023-11-29
1.0255,1.0255,1.0255,-0.0032076205,2023-11-30
1.0292,1.0292,1.0292,0.0036079961,2023-12-01
1.0279,1.0279,1.0279,-0.001263117,2023-12-04
1.0183,1.0183,1.0183,-0.0093394299,2023-12-05
1.0234,1.0234,1.0234,0.0050083472,2023-12-06
1.0198,1.0198,1.0198,-0.0035176861,2023-12-07
1.0057,1.0057,1.0057,-0.0138262404,2023-12-08
