nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-21
0.9999,0.9999,0.9999,-0.0001,2025-07-25
0.9997,0.9997,0.9997,-0.00020002,2025-07-31
0.9996,0.9996,0.9996,-0.00010003,2025-08-01
0.9996,0.9996,0.9996,0.0,2025-08-08
1.0199,1.0199,1.0199,0.0203081232,2025-08-15
1.0188,1.0188,1.0188,-0.0010785371,2025-08-22
1.0108,1.0108,1.0108,-0.0078523753,2025-08-29
1.0566,1.0566,1.0566,0.045310645,2025-09-05
1.0467,1.0467,1.0467,-0.0093696763,2025-09-12
1.0325,1.0325,1.0325,-0.0135664469,2025-09-19
1.0405,1.0405,1.0405,0.007748184,2025-09-26
1.0634,1.0634,1.0634,0.0220086497,2025-09-30
1.0438,1.0438,1.0438,-0.0184314463,2025-10-10
1.0236,1.0236,1.0236,-0.0193523664,2025-10-17
1.0167,1.0167,1.0167,-0.0067409144,2025-10-24
1.0209,1.0209,1.0209,0.0041310121,2025-10-31
1.0008,1.0008,1.0008,-0.0196885101,2025-11-07
1.0256,1.0256,1.0256,0.0247801759,2025-11-14
0.9992,0.9992,0.9992,-0.0257410296,2025-11-21
1.0084,1.0084,1.0084,0.0092073659,2025-11-28
1.004,1.004,1.004,-0.0043633479,2025-12-05
0.9978,0.9978,0.9978,-0.0061752988,2025-12-12
1.0,1.0,1.0,0.0022048507,2025-12-19
0.9982,0.9982,0.9982,-0.0018,2025-12-26
0.9847,0.9847,0.9847,-0.0135243438,2025-12-31
1.0313,1.0313,1.0313,0.0473240581,2026-01-09
1.028,1.028,1.028,-0.0031998449,2026-01-16
1.0217,1.0217,1.0217,-0.0061284047,2026-01-23
1.0224,1.0224,1.0224,0.0006851326,2026-01-30
1.0181,1.0181,1.0181,-0.0042057903,2026-02-06
1.0359,1.0359,1.0359,0.0174835478,2026-02-13
1.0408,1.0408,1.0408,0.0047301863,2026-02-27
0.9891,0.9891,0.9891,-0.0496733282,2026-03-06
1.0102,1.0102,1.0102,0.0213325245,2026-03-13
0.9964,0.9964,0.9964,-0.0136606613,2026-03-20
1.1066,1.1066,1.1066,0.1105981534,2026-03-27
1.17,1.17,1.17,0.057292608,2026-03-31
1.2176,1.2176,1.2176,0.0406837607,2026-04-03
1.1746,1.1746,1.1746,-0.0353153745,2026-04-10
1.1773,1.1773,1.1773,0.0022986549,2026-04-17
1.1754,1.1754,1.1754,-0.0016138622,2026-04-24
1.1687,1.1687,1.1687,-0.0057001872,2026-04-30
1.2036,1.2036,1.2036,0.0298622401,2026-05-08
1.2057,1.2057,1.2057,0.0017447657,2026-05-15
1.2435,1.2435,1.2435,0.0313510824,2026-05-22
