nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-04-12
1.0003,1.0003,1.0003,0.0003,2024-04-19
1.0002,1.0002,1.0002,-9.997e-05,2024-04-26
1.0002,1.0002,1.0002,0.0,2024-04-30
1.0001,1.0001,1.0001,-9.998e-05,2024-05-10
1.001,1.001,1.001,0.00089991,2024-05-17
0.9977,0.9977,0.9977,-0.0032967033,2024-05-24
0.9985,0.9985,0.9985,0.0008018442,2024-05-31
0.9984,0.9984,0.9984,-0.0001001502,2024-06-07
0.9991,0.9991,0.9991,0.0007011218,2024-06-14
1.0002,1.0002,1.0002,0.0011009909,2024-06-21
1.0026,1.0026,1.0026,0.0023995201,2024-06-28
1.0028,1.0028,1.0028,0.0001994813,2024-07-05
1.0033,1.0033,1.0033,0.0004986039,2024-07-12
1.0047,1.0047,1.0047,0.0013953952,2024-07-19
1.0036,1.0036,1.0036,-0.0010948542,2024-07-26
1.0063,1.0063,1.0063,0.0026903149,2024-07-31
1.0085,1.0085,1.0085,0.0021862268,2024-08-02
1.0057,1.0057,1.0057,-0.0027764006,2024-08-09
1.0066,1.0066,1.0066,0.0008948991,2024-08-16
1.0074,1.0074,1.0074,0.0007947546,2024-08-23
1.0092,1.0092,1.0092,0.0017867778,2024-08-30
1.0043,1.0043,1.0043,-0.004855331,2024-09-06
1.0027,1.0027,1.0027,-0.0015931495,2024-09-13
1.0052,1.0052,1.0052,0.0024932682,2024-09-20
1.0043,1.0043,1.0043,-0.0008953442,2024-09-27
1.0044,1.0044,1.0044,9.95718e-05,2024-09-30
1.0006,1.0006,1.0006,-0.0037833532,2024-10-11
1.0062,1.0062,1.0062,0.005596642,2024-10-18
1.0059,1.0059,1.0059,-0.0002981515,2024-10-25
1.0054,1.0054,1.0054,-0.0004970673,2024-10-31
1.0054,1.0054,1.0054,0.0,2024-11-01
1.0064,1.0064,1.0064,0.000994629,2024-11-08
1.0074,1.0074,1.0074,0.0009936407,2024-11-15
1.0094,1.0094,1.0094,0.0019853087,2024-11-22
1.0122,1.0122,1.0122,0.0027739251,2024-11-29
1.0141,1.0141,1.0141,0.0018770994,2024-12-06
1.0156,1.0156,1.0156,0.0014791441,2024-12-13
1.0158,1.0158,1.0158,0.0001969279,2024-12-20
1.0171,1.0171,1.0171,0.0012797795,2024-12-27
1.0172,1.0172,1.0172,9.83187e-05,2024-12-31
1.0189,1.0189,1.0189,0.0016712544,2025-01-03
1.0215,1.0215,1.0215,0.0025517715,2025-01-10
1.03,1.03,1.03,0.0083210964,2025-01-17
1.0318,1.0318,1.0318,0.0017475728,2025-01-24
1.0324,1.0324,1.0324,0.000581508,2025-01-27
1.0401,1.0401,1.0401,0.0074583495,2025-02-07
1.0399,1.0399,1.0399,-0.0001922892,2025-02-14
1.0396,1.0396,1.0396,-0.0002884893,2025-02-21
1.0388,1.0388,1.0388,-0.0007695267,2025-02-28
1.0408,1.0408,1.0408,0.0019252984,2025-03-07
1.0425,1.0425,1.0425,0.001633359,2025-03-14
1.0445,1.0445,1.0445,0.0019184652,2025-03-21
