nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-14
0.9726,0.9726,0.9726,-0.0274,2022-09-16
0.9418,0.9418,0.9418,-0.0316676948,2022-09-23
0.8303,0.8303,0.8303,-0.1183903164,2022-09-30
1.0936,1.0936,1.0936,0.317114296,2022-10-14
0.9403,0.9403,0.9403,-0.1401792246,2022-10-21
0.6089,0.6089,0.6089,-0.3524407104,2022-10-28
0.6936,0.6936,0.6936,0.139103301,2022-11-04
0.6763,0.6763,0.6763,-0.0249423299,2022-11-11
0.6846,0.6846,0.6846,0.0122726601,2022-11-18
0.6503,0.6503,0.6503,-0.0501022495,2022-11-25
0.7265,0.7265,0.7265,0.1171766877,2022-12-02
0.6922,0.6922,0.6922,-0.0472126635,2022-12-09
0.6835,0.6835,0.6835,-0.0125686218,2022-12-16
0.6153,0.6153,0.6153,-0.0997805413,2022-12-23
0.632,0.632,0.632,0.0271412319,2022-12-30
0.6148,0.6148,0.6148,-0.0272151899,2023-01-06
0.6316,0.6316,0.6316,0.0273259597,2023-01-13
0.6483,0.6483,0.6483,0.0264407853,2023-01-20
0.6817,0.6817,0.6817,0.0515193583,2023-02-03
0.69,0.69,0.69,0.0121754437,2023-02-10
0.6472,0.6472,0.6472,-0.0620289855,2023-02-17
0.8498,0.8498,0.8498,0.3130407911,2023-02-24
0.8623,0.8623,0.8623,0.0147093434,2023-03-03
0.8214,0.8214,0.8214,-0.0474312884,2023-03-10
0.8091,0.8091,0.8091,-0.0149744339,2023-03-17
0.8086,0.8086,0.8086,-0.0006179706,2023-03-24
0.8088,0.8088,0.8088,0.0002473411,2023-03-31
0.8093,0.8093,0.8093,0.0006181998,2023-04-07
0.7902,0.7902,0.7902,-0.0236006425,2023-04-14
0.7683,0.7683,0.7683,-0.0277145027,2023-04-21
0.6239,0.6239,0.6239,-0.1879474164,2023-04-28
0.4839,0.4839,0.4839,-0.2243949351,2023-05-05
0.4673,0.4673,0.4673,-0.0343046084,2023-05-12
0.3882,0.3882,0.3882,-0.1692702761,2023-08-04
0.3882,0.3882,0.3882,0.0,2023-08-11
0.3882,0.3882,0.3882,0.0,2023-08-18
0.4062,0.4062,0.4062,0.0463678516,2023-08-25
0.4234,0.4234,0.4234,0.0423436731,2023-09-01
0.4196,0.4196,0.4196,-0.0089749646,2023-09-08
