nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-23
1.0,1.0,1.0,0.0,2019-12-24
1.0,1.0,1.0,0.0,2019-12-25
1.0,1.0,1.0,0.0,2019-12-26
1.0,1.0,1.0,0.0,2019-12-27
1.0,1.0,1.0,0.0,2019-12-30
1.0,1.0,1.0,0.0,2019-12-31
1.0,1.0,1.0,0.0,2020-01-02
1.0,1.0,1.0,0.0,2020-01-03
1.005,1.005,1.005,0.005,2020-01-06
1.011,1.011,1.011,0.0059701493,2020-01-07
1.0,1.0,1.0,-0.0108803165,2020-01-08
1.033,1.033,1.033,0.033,2020-01-09
1.041,1.041,1.041,0.0077444337,2020-01-10
1.073,1.073,1.073,0.0307396734,2020-01-13
1.075,1.075,1.075,0.0018639329,2020-01-14
1.064,1.064,1.064,-0.0102325581,2020-01-15
1.068,1.068,1.068,0.0037593985,2020-01-16
1.062,1.062,1.062,-0.0056179775,2020-01-17
1.09,1.09,1.09,0.0263653484,2020-01-20
1.081,1.081,1.081,-0.0082568807,2020-01-21
1.12,1.12,1.12,0.0360777058,2020-01-22
1.088,1.088,1.088,-0.0285714286,2020-01-23
1.012,1.012,1.012,-0.0698529412,2020-02-03
1.063,1.063,1.063,0.0503952569,2020-02-04
1.084,1.084,1.084,0.0197554092,2020-02-05
1.128,1.128,1.128,0.0405904059,2020-02-06
1.109,1.109,1.109,-0.0168439716,2020-02-07
1.121,1.121,1.121,0.0108205591,2020-02-10
1.111,1.111,1.111,-0.0089206066,2020-02-11
1.143,1.143,1.143,0.0288028803,2020-02-12
1.143,1.143,1.143,0.0,2020-02-13
1.141,1.141,1.141,-0.0017497813,2020-02-14
1.152,1.152,1.152,0.0096406661,2020-02-17
1.151,1.151,1.151,-0.0008680556,2020-02-18
1.151,1.151,1.151,0.0,2020-02-19
1.179,1.179,1.179,0.0243266725,2020-02-20
1.198,1.198,1.198,0.016115352,2020-02-21
1.224,1.224,1.224,0.0217028381,2020-02-24
1.263,1.263,1.263,0.0318627451,2020-02-25
1.214,1.214,1.214,-0.0387965162,2020-02-26
1.212,1.212,1.212,-0.0016474465,2020-02-27
1.151,1.151,1.151,-0.050330033,2020-02-28
1.175,1.175,1.175,0.0208514335,2020-03-02
1.183,1.183,1.183,0.0068085106,2020-03-03
1.179,1.179,1.179,-0.0033812342,2020-03-04
1.194,1.194,1.194,0.0127226463,2020-03-05
1.178,1.178,1.178,-0.013400335,2020-03-06
1.121,1.121,1.121,-0.0483870968,2020-03-09
1.13,1.13,1.13,0.0080285459,2020-03-10
1.117,1.117,1.117,-0.0115044248,2020-03-11
1.094,1.094,1.094,-0.0205908684,2020-03-12
1.087,1.087,1.087,-0.0063985375,2020-03-13
1.025,1.025,1.025,-0.0570377185,2020-03-16
1.023,1.023,1.023,-0.0019512195,2020-03-17
1.029,1.029,1.029,0.0058651026,2020-03-18
1.029,1.029,1.029,0.0,2020-03-19
1.034,1.034,1.034,0.0048590865,2020-03-20
0.991,0.991,0.991,-0.0415860735,2020-03-23
1.014,1.014,1.014,0.0232088799,2020-03-24
1.043,1.043,1.043,0.0285996055,2020-03-25
1.048,1.048,1.048,0.0047938639,2020-03-26
1.029,1.029,1.029,-0.018129771,2020-03-27
1.024,1.024,1.024,-0.0048590865,2020-03-30
1.081,1.081,1.081,0.0556640625,2020-03-31
1.068,1.068,1.068,-0.0120259019,2020-04-01
1.061,1.061,1.061,-0.0065543071,2020-04-02
1.097,1.097,1.097,0.0339302545,2020-04-03
1.165,1.165,1.165,0.0619872379,2020-04-07
1.14,1.14,1.14,-0.0214592275,2020-04-08
1.176,1.176,1.176,0.0315789474,2020-04-09
1.178,1.178,1.178,0.0017006803,2020-04-10
1.124,1.124,1.124,-0.0458404075,2020-04-13
1.131,1.131,1.131,0.006227758,2020-04-14
1.105,1.105,1.105,-0.0229885057,2020-04-15
1.085,1.085,1.085,-0.0180995475,2020-04-16
1.092,1.092,1.092,0.0064516129,2020-04-17
1.099,1.099,1.099,0.0064102564,2020-04-20
1.098,1.098,1.098,-0.0009099181,2020-04-21
1.136,1.136,1.136,0.0346083789,2020-04-22
1.124,1.124,1.124,-0.0105633803,2020-04-23
1.132,1.132,1.132,0.0071174377,2020-04-24
1.136,1.136,1.136,0.0035335689,2020-04-27
1.132,1.132,1.132,-0.0035211268,2020-04-28
1.101,1.101,1.101,-0.027385159,2020-04-29
1.103,1.103,1.103,0.0018165304,2020-04-30
1.116,1.116,1.116,0.0117860381,2020-05-06
1.118,1.118,1.118,0.0017921147,2020-05-07
1.127,1.127,1.127,0.0080500894,2020-05-08
1.1,1.1,1.1,-0.0239574091,2020-05-11
1.113,1.113,1.113,0.0118181818,2020-05-12
1.111,1.111,1.111,-0.0017969452,2020-05-13
1.104,1.104,1.104,-0.0063006301,2020-05-14
1.109,1.109,1.109,0.0045289855,2020-05-15
1.048,1.048,1.048,-0.0550045086,2020-05-18
1.077,1.077,1.077,0.0276717557,2020-05-19
1.075,1.075,1.075,-0.0018570102,2020-05-20
1.047,1.047,1.047,-0.0260465116,2020-05-21
1.02,1.02,1.02,-0.0257879656,2020-05-22
1.017,1.017,1.017,-0.0029411765,2020-05-25
1.045,1.045,1.045,0.0275319567,2020-05-26
1.035,1.035,1.035,-0.009569378,2020-05-27
1.034,1.034,1.034,-0.0009661836,2020-05-28
1.048,1.048,1.048,0.0135396518,2020-05-29
1.074,1.074,1.074,0.0248091603,2020-06-01
1.072,1.072,1.072,-0.0018621974,2020-06-02
1.067,1.067,1.067,-0.0046641791,2020-06-03
1.075,1.075,1.075,0.007497657,2020-06-04
1.085,1.085,1.085,0.0093023256,2020-06-05
1.083,1.083,1.083,-0.001843318,2020-06-08
1.095,1.095,1.095,0.0110803324,2020-06-09
1.124,1.124,1.124,0.0264840183,2020-06-10
1.11,1.11,1.11,-0.012455516,2020-06-11
1.112,1.112,1.112,0.0018018018,2020-06-12
1.101,1.101,1.101,-0.0098920863,2020-06-15
1.135,1.135,1.135,0.0308810173,2020-06-16
1.138,1.138,1.138,0.0026431718,2020-06-17
1.156,1.156,1.156,0.0158172232,2020-06-18
1.166,1.166,1.166,0.008650519,2020-06-19
1.176,1.176,1.176,0.0085763293,2020-06-22
1.189,1.189,1.189,0.0110544218,2020-06-23
1.182,1.182,1.182,-0.0058873003,2020-06-24
1.167,1.167,1.167,-0.0126903553,2020-06-29
1.214,1.214,1.214,0.0402742074,2020-06-30
1.219,1.219,1.219,0.0041186161,2020-07-01
1.217,1.217,1.217,-0.0016406891,2020-07-02
1.226,1.226,1.226,0.0073952342,2020-07-03
1.275,1.275,1.275,0.0399673736,2020-07-06
1.295,1.295,1.295,0.0156862745,2020-07-07
1.33,1.33,1.33,0.027027027,2020-07-08
1.379,1.379,1.379,0.0368421053,2020-07-09
1.35,1.35,1.35,-0.0210297317,2020-07-10
1.065,1.39,1.39,0.0296296296,2020-07-13
1.029,1.354,1.34301408,-0.0338028169,2020-07-14
0.98,1.305,1.27906103,-0.0476190476,2020-07-15
0.911,1.236,1.18900469,-0.0704081633,2020-07-16
0.918,1.243,1.19814085,0.0076838639,2020-07-17
0.938,1.263,1.22424413,0.0217864924,2020-07-20
0.952,1.277,1.24251643,0.0149253731,2020-07-21
0.964,1.289,1.2581784,0.012605042,2020-07-22
0.968,1.293,1.26339906,0.0041493776,2020-07-23
0.912,1.237,1.19030986,-0.0578512397,2020-07-24
0.913,1.238,1.19161502,0.0010964912,2020-07-27
0.925,1.25,1.207277,0.013143483,2020-07-28
0.952,1.277,1.24251643,0.0291891892,2020-07-29
0.943,1.268,1.23076995,-0.0094537815,2020-07-30
0.963,1.288,1.25687324,0.0212089077,2020-07-31
0.987,1.312,1.28819718,0.0249221184,2020-08-03
0.972,1.297,1.26861972,-0.0151975684,2020-08-04
0.991,1.316,1.29341784,0.0195473251,2020-08-05
0.992,1.317,1.294723,0.0010090817,2020-08-06
0.978,1.303,1.2764507,-0.0141129032,2020-08-07
0.967,1.292,1.2620939,-0.0112474438,2020-08-10
0.953,1.278,1.2438216,-0.0144777663,2020-08-11
0.949,1.274,1.23860094,-0.0041972718,2020-08-12
0.943,1.268,1.23076995,-0.0063224447,2020-08-13
0.96,1.285,1.25295775,0.0180275716,2020-08-14
0.966,1.291,1.26078873,0.00625,2020-08-17
0.973,1.298,1.26992488,0.0072463768,2020-08-18
0.952,1.277,1.24251643,-0.0215827338,2020-08-19
0.942,1.267,1.22946479,-0.0105042017,2020-08-20
0.953,1.278,1.2438216,0.0116772824,2020-08-21
0.973,1.298,1.26992488,0.0209863589,2020-08-24
0.969,1.294,1.26470423,-0.0041109969,2020-08-25
0.944,1.269,1.23207512,-0.0257997936,2020-08-26
0.941,1.266,1.22815962,-0.0031779661,2020-08-27
0.962,1.287,1.25556808,0.0223166844,2020-08-28
0.95,1.275,1.2399061,-0.0124740125,2020-08-31
0.956,1.281,1.24773709,0.0063157895,2020-09-01
0.961,1.286,1.25426291,0.0052301255,2020-09-02
0.955,1.28,1.24643192,-0.0062434964,2020-09-03
0.946,1.271,1.23468545,-0.0094240838,2020-09-04
0.913,1.238,1.19161502,-0.0348837209,2020-09-07
0.903,1.228,1.17856338,-0.0109529025,2020-09-08
0.877,1.202,1.14462911,-0.0287929125,2020-09-09
0.876,1.201,1.14332394,-0.0011402509,2020-09-10
0.893,1.218,1.16551174,0.0194063927,2020-09-11
0.893,1.218,1.16551174,0.0,2020-09-14
0.896,1.221,1.16942723,0.0033594625,2020-09-15
0.889,1.214,1.16029108,-0.0078125,2020-09-16
0.888,1.213,1.15898592,-0.0011248594,2020-09-17
0.9,1.225,1.17464789,0.0135135135,2020-09-18
0.894,1.219,1.1668169,-0.0066666667,2020-09-21
0.886,1.211,1.15637559,-0.0089485459,2020-09-22
0.896,1.221,1.16942723,0.0112866817,2020-09-23
0.876,1.201,1.14332394,-0.0223214286,2020-09-24
0.877,1.202,1.14462911,0.0011415525,2020-09-25
0.879,1.204,1.14723944,0.0022805017,2020-09-28
0.889,1.214,1.16029108,0.0113765643,2020-09-29
0.887,1.212,1.15768075,-0.0022497188,2020-09-30
0.906,1.231,1.18247887,0.0214205186,2020-10-09
