nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-12-02
1.0,1.0,1.0,0.0,2021-12-03
1.0,1.0,1.0,0.0,2021-12-06
1.0,1.0,1.0,0.0,2021-12-07
1.0,1.0,1.0,0.0,2021-12-08
1.0,1.0,1.0,0.0,2021-12-09
1.0,1.0,1.0,0.0,2021-12-10
1.0,1.0,1.0,0.0,2021-12-13
1.0,1.0,1.0,0.0,2021-12-14
1.0,1.0,1.0,0.0,2021-12-15
1.0,1.0,1.0,0.0,2021-12-16
1.0,1.0,1.0,0.0,2021-12-17
1.0,1.0,1.0,0.0,2021-12-20
1.0,1.0,1.0,0.0,2021-12-21
1.0,1.0,1.0,0.0,2021-12-22
1.0,1.0,1.0,0.0,2021-12-23
1.0,1.0,1.0,0.0,2021-12-24
1.0,1.0,1.0,0.0,2021-12-27
1.0,1.0,1.0,0.0,2021-12-28
1.0,1.0,1.0,0.0,2021-12-29
1.0,1.0,1.0,0.0,2021-12-30
1.0,1.0,1.0,0.0,2021-12-31
1.002,1.002,1.002,0.002,2022-01-04
0.985,0.985,0.985,-0.0169660679,2022-01-05
0.989,0.989,0.989,0.0040609137,2022-01-06
0.984,0.984,0.984,-0.0050556117,2022-01-07
0.99,0.99,0.99,0.006097561,2022-01-10
0.988,0.988,0.988,-0.002020202,2022-01-11
0.997,0.997,0.997,0.0091093117,2022-01-12
0.989,0.989,0.989,-0.0080240722,2022-01-13
0.992,0.992,0.992,0.003033367,2022-01-14
0.999,0.999,0.999,0.0070564516,2022-01-17
0.994,0.994,0.994,-0.005005005,2022-01-18
0.995,0.995,0.995,0.0010060362,2022-01-19
0.981,0.981,0.981,-0.0140703518,2022-01-20
0.979,0.979,0.979,-0.002038736,2022-01-21
0.982,0.982,0.982,0.0030643514,2022-01-24
0.98,0.98,0.98,-0.0020366599,2022-01-25
0.986,0.986,0.986,0.006122449,2022-01-26
0.985,0.985,0.985,-0.0010141988,2022-01-27
0.992,0.992,0.992,0.007106599,2022-01-28
0.994,0.994,0.994,0.002016129,2022-02-07
0.997,0.997,0.997,0.0030181087,2022-02-08
1.007,1.007,1.007,0.0100300903,2022-02-09
1.005,1.005,1.005,-0.0019860973,2022-02-10
0.998,0.998,0.998,-0.0069651741,2022-02-11
1.001,1.001,1.001,0.003006012,2022-02-14
1.002,1.002,1.002,0.000999001,2022-02-15
1.007,1.007,1.007,0.00499002,2022-02-16
1.006,1.006,1.006,-0.0009930487,2022-02-17
1.004,1.004,1.004,-0.0019880716,2022-02-18
1.006,1.006,1.006,0.0019920319,2022-02-21
1.01,1.01,1.01,0.0039761431,2022-02-22
1.011,1.011,1.011,0.000990099,2022-02-23
