nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-08-08
1.0,1.0,1.0,0.0,2022-08-09
1.0,1.0,1.0,0.0,2022-08-10
1.0,1.0,1.0,0.0,2022-08-11
1.0,1.0,1.0,0.0,2022-08-12
1.0,1.0,1.0,0.0,2022-08-15
1.0,1.0,1.0,0.0,2022-08-16
1.0,1.0,1.0,0.0,2022-08-17
1.0,1.0,1.0,0.0,2022-08-18
1.0,1.0,1.0,0.0,2022-08-19
1.0,1.0,1.0,0.0,2022-08-22
1.0,1.0,1.0,0.0,2022-08-23
1.0,1.0,1.0,0.0,2022-08-24
1.0,1.0,1.0,0.0,2022-08-25
1.0,1.0,1.0,0.0,2022-08-26
1.0,1.0,1.0,0.0,2022-08-29
1.0,1.0,1.0,0.0,2022-08-30
1.0,1.0,1.0,0.0,2022-08-31
1.0,1.0,1.0,0.0,2022-09-01
1.0,1.0,1.0,0.0,2022-09-02
1.0,1.0,1.0,0.0,2022-09-05
1.0,1.0,1.0,0.0,2022-09-06
1.0,1.0,1.0,0.0,2022-09-07
1.0,1.0,1.0,0.0,2022-09-08
1.0,1.0,1.0,0.0,2022-09-09
1.0,1.0,1.0,0.0,2022-09-13
1.0,1.0,1.0,0.0,2022-09-14
1.002,1.002,1.002,0.002,2022-09-15
1.002,1.002,1.002,0.0,2022-09-16
1.002,1.002,1.002,0.0,2022-09-19
1.002,1.002,1.002,0.0,2022-09-20
1.002,1.002,1.002,0.0,2022-09-21
1.002,1.002,1.002,0.0,2022-09-22
1.002,1.002,1.002,0.0,2022-09-23
1.002,1.002,1.002,0.0,2022-09-26
1.002,1.002,1.002,0.0,2022-09-27
1.001,1.001,1.001,-0.000998004,2022-09-28
1.001,1.001,1.001,0.0,2022-09-29
1.001,1.001,1.001,0.0,2022-09-30
1.001,1.001,1.001,0.0,2022-10-10
1.001,1.001,1.001,0.0,2022-10-11
1.001,1.001,1.001,0.0,2022-10-12
1.001,1.001,1.001,0.0,2022-10-13
1.001,1.001,1.001,0.0,2022-10-14
1.001,1.001,1.001,0.0,2022-10-17
1.001,1.001,1.001,0.0,2022-10-18
1.001,1.001,1.001,0.0,2022-10-19
1.001,1.001,1.001,0.0,2022-10-20
1.001,1.001,1.001,0.0,2022-10-21
1.001,1.001,1.001,0.0,2022-10-24
1.008,1.008,1.008,0.006993007,2022-10-25
1.008,1.008,1.008,0.0,2022-10-26
1.008,1.008,1.008,0.0,2022-10-27
1.008,1.008,1.008,0.0,2022-10-28
1.006,1.006,1.006,-0.001984127,2022-10-31
1.006,1.006,1.006,0.0,2022-11-01
1.006,1.006,1.006,0.0,2022-11-02
1.006,1.006,1.006,0.0,2022-11-03
1.006,1.006,1.006,0.0,2022-11-04
1.006,1.006,1.006,0.0,2022-11-07
1.006,1.006,1.006,0.0,2022-11-08
1.006,1.006,1.006,0.0,2022-11-09
1.006,1.006,1.006,0.0,2022-11-10
1.006,1.006,1.006,0.0,2022-11-11
1.006,1.006,1.006,0.0,2022-11-14
1.037,1.037,1.037,0.0308151093,2022-11-15
1.037,1.037,1.037,0.0,2022-11-16
1.037,1.037,1.037,0.0,2022-11-17
1.037,1.037,1.037,0.0,2022-11-18
1.037,1.037,1.037,0.0,2022-11-21
1.037,1.037,1.037,0.0,2022-11-22
