nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-01-07
1.0,1.0,1.0,0.0,2021-01-08
0.997,0.997,0.997,-0.003,2021-01-15
0.988,0.988,0.988,-0.0090270812,2021-01-22
0.994,0.994,0.994,0.0060728745,2021-01-29
0.986,0.986,0.986,-0.0080482897,2021-02-05
0.993,0.993,0.993,0.0070993915,2021-02-10
1.006,1.006,1.006,0.0130916415,2021-02-19
1.025,1.025,1.025,0.0188866799,2021-02-26
1.032,1.032,1.032,0.0068292683,2021-03-05
1.061,1.061,1.061,0.0281007752,2021-03-12
1.052,1.052,1.052,-0.0084825636,2021-03-19
1.059,1.059,1.059,0.0066539924,2021-03-26
1.053,1.053,1.053,-0.0056657224,2021-03-31
1.033,1.033,1.033,-0.0189933523,2021-04-02
1.031,1.031,1.031,-0.0019361084,2021-04-09
1.026,1.026,1.026,-0.0048496605,2021-04-16
1.041,1.041,1.041,0.014619883,2021-04-23
1.027,1.027,1.027,-0.0134486071,2021-04-30
1.077,1.077,1.077,0.0486854917,2021-05-07
1.075,1.075,1.075,-0.0018570102,2021-05-14
1.043,1.043,1.043,-0.0297674419,2021-05-21
1.033,1.033,1.033,-0.0095877277,2021-05-28
1.029,1.029,1.029,-0.0038722168,2021-05-31
1.02,1.02,1.02,-0.0087463557,2021-06-04
1.014,1.014,1.014,-0.0058823529,2021-06-11
1.014,1.014,1.014,0.0,2021-06-18
0.999,0.999,0.999,-0.0147928994,2021-06-25
0.99,0.99,0.99,-0.009009009,2021-06-30
0.987,0.987,0.987,-0.003030303,2021-07-02
0.976,0.976,0.976,-0.0111448835,2021-07-09
0.99,0.99,0.99,0.0143442623,2021-07-16
0.969,0.969,0.969,-0.0212121212,2021-07-23
0.979,0.979,0.979,0.0103199174,2021-07-30
0.929,0.929,0.929,-0.051072523,2021-08-06
0.94,0.94,0.94,0.0118406889,2021-08-13
0.952,0.952,0.952,0.0127659574,2021-08-20
0.958,0.958,0.958,0.006302521,2021-08-27
0.958,0.958,0.958,0.0,2021-08-31
0.954,0.954,0.954,-0.0041753653,2021-09-03
0.973,0.973,0.973,0.0199161426,2021-09-10
0.973,0.973,0.973,0.0,2021-09-17
0.987,0.987,0.987,0.0143884892,2021-09-24
0.989,0.989,0.989,0.0020263425,2021-09-30
1.004,1.004,1.004,0.0151668352,2021-10-08
1.006,1.006,1.006,0.0019920319,2021-10-15
0.994,0.994,0.994,-0.0119284294,2021-10-22
0.996,0.996,0.996,0.0020120724,2021-10-29
