nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-04-25
0.9999,0.9999,0.9999,-0.0001,2024-04-26
0.9999,0.9999,0.9999,0.0,2024-04-30
1.0002,1.0002,1.0002,0.00030003,2024-05-10
1.02,1.02,1.02,0.0197960408,2024-05-17
0.9872,0.9872,0.9872,-0.0321568627,2024-05-24
0.999,0.999,0.999,0.0119529984,2024-05-31
0.934,0.934,0.934,-0.0650650651,2024-06-07
0.9425,0.9425,0.9425,0.0091006424,2024-06-14
0.9234,0.9234,0.9234,-0.020265252,2024-06-21
0.9006,0.9006,0.9006,-0.024691358,2024-06-28
0.8886,0.8886,0.8886,-0.0133244504,2024-07-05
0.8989,0.8989,0.8989,0.0115912672,2024-07-12
0.8784,0.8784,0.8784,-0.0228056514,2024-07-19
0.8672,0.8672,0.8672,-0.0127504554,2024-07-26
0.9035,0.9035,0.9035,0.0418588561,2024-07-31
0.8917,0.8917,0.8917,-0.013060321,2024-08-02
0.8812,0.8812,0.8812,-0.0117752607,2024-08-09
0.8746,0.8746,0.8746,-0.0074897867,2024-08-16
0.8391,0.8391,0.8391,-0.040589984,2024-08-23
0.8755,0.8755,0.8755,0.0433798117,2024-08-30
0.8524,0.8524,0.8524,-0.0263849229,2024-09-06
0.8411,0.8411,0.8411,-0.013256687,2024-09-13
0.8467,0.8467,0.8467,0.0066579479,2024-09-20
0.9617,0.9617,0.9617,0.1358214244,2024-09-27
1.0553,1.0553,1.0553,0.097327649,2024-09-30
1.0004,1.0004,1.0004,-0.0520231214,2024-10-11
1.0339,1.0339,1.0339,0.0334866054,2024-10-18
1.075,1.075,1.075,0.0397523938,2024-10-25
1.0889,1.0889,1.0889,0.0129302326,2024-10-31
1.0634,1.0634,1.0634,-0.0234181284,2024-11-01
1.1443,1.1443,1.1443,0.076076735,2024-11-08
1.1094,1.1094,1.1094,-0.030498995,2024-11-15
1.1105,1.1105,1.1105,0.000991527,2024-11-22
1.1585,1.1585,1.1585,0.0432237731,2024-11-29
1.1955,1.1955,1.1955,0.0319378507,2024-12-06
