nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-09-24
1.0,1.0,1.0,0.0,2024-09-27
0.9999,0.9999,0.9999,-0.0001,2024-09-30
0.9998,0.9998,0.9998,-0.00010001,2024-10-11
0.9999,0.9999,0.9999,0.00010002,2024-10-18
1.0001,1.0001,1.0001,0.00020002,2024-10-25
1.0003,1.0003,1.0003,0.00019998,2024-10-31
1.0003,1.0003,1.0003,0.0,2024-11-01
1.0005,1.0005,1.0005,0.00019994,2024-11-08
1.0007,1.0007,1.0007,0.0001999,2024-11-15
1.0008,1.0008,1.0008,9.993e-05,2024-11-22
0.9989,0.9989,0.9989,-0.0018984812,2024-11-29
1.0032,1.0032,1.0032,0.0043047352,2024-12-06
1.0004,1.0004,1.0004,-0.0027910686,2024-12-13
1.0092,1.0092,1.0092,0.0087964814,2024-12-20
1.0089,1.0089,1.0089,-0.0002972652,2024-12-27
1.0095,1.0095,1.0095,0.0005947071,2024-12-31
1.0116,1.0116,1.0116,0.0020802377,2025-01-03
1.0144,1.0144,1.0144,0.0027678924,2025-01-10
1.0166,1.0166,1.0166,0.0021687697,2025-01-17
1.0137,1.0137,1.0137,-0.0028526461,2025-01-24
1.0137,1.0137,1.0137,0.0,2025-01-27
1.0149,1.0149,1.0149,0.0011837822,2025-02-07
1.0159,1.0159,1.0159,0.0009853188,2025-02-14
1.0185,1.0185,1.0185,0.002559307,2025-02-21
1.0168,1.0168,1.0168,-0.0016691213,2025-02-28
1.0202,1.0202,1.0202,0.0033438238,2025-03-07
1.0192,1.0192,1.0192,-0.0009802,2025-03-14
1.0232,1.0232,1.0232,0.0039246468,2025-03-21
1.0214,1.0214,1.0214,-0.0017591869,2025-03-28
1.0215,1.0215,1.0215,9.79048e-05,2025-03-31
1.0213,1.0213,1.0213,-0.0001957905,2025-04-03
1.0158,1.0158,1.0158,-0.0053852933,2025-04-11
1.0173,1.0173,1.0173,0.0014766686,2025-04-18
1.0175,1.0175,1.0175,0.0001965988,2025-04-25
1.017,1.017,1.017,-0.0004914005,2025-04-30
1.019,1.019,1.019,0.0019665683,2025-05-09
1.0134,1.0134,1.0134,-0.0054955839,2025-05-16
1.0126,1.0126,1.0126,-0.0007894217,2025-05-23
1.0159,1.0159,1.0159,0.0032589374,2025-05-30
1.0152,1.0152,1.0152,-0.0006890442,2025-06-06
1.0168,1.0168,1.0168,0.0015760441,2025-06-13
1.0173,1.0173,1.0173,0.0004917388,2025-06-20
1.0178,1.0178,1.0178,0.0004914971,2025-06-27
1.0182,1.0182,1.0182,0.0003930045,2025-06-30
1.0174,1.0174,1.0174,-0.0007857003,2025-07-04
1.0177,1.0177,1.0177,0.0002948693,2025-07-11
1.0191,1.0191,1.0191,0.001375651,2025-07-18
1.0255,1.0255,1.0255,0.006280051,2025-07-25
1.0216,1.0216,1.0216,-0.0038030229,2025-07-31
1.0224,1.0224,1.0224,0.0007830854,2025-08-01
1.0272,1.0272,1.0272,0.0046948357,2025-08-08
1.0317,1.0317,1.0317,0.0043808411,2025-08-15
1.0419,1.0419,1.0419,0.0098865949,2025-08-22
1.0414,1.0414,1.0414,-0.0004798925,2025-08-29
1.0377,1.0377,1.0377,-0.0035529095,2025-09-05
1.0466,1.0466,1.0466,0.0085766599,2025-09-12
1.042,1.042,1.042,-0.0043951844,2025-09-19
1.0425,1.0425,1.0425,0.0004798464,2025-09-26
1.0497,1.0497,1.0497,0.0069064748,2025-09-30
1.051,1.051,1.051,0.0012384491,2025-10-10
1.0448,1.0448,1.0448,-0.0058991437,2025-10-17
1.0421,1.0421,1.0421,-0.0025842266,2025-10-24
1.044,1.044,1.044,0.0018232415,2025-10-31
1.0427,1.0427,1.0427,-0.0012452107,2025-11-07
1.0453,1.0453,1.0453,0.0024935264,2025-11-14
1.0373,1.0373,1.0373,-0.0076533053,2025-11-21
1.0406,1.0406,1.0406,0.0031813362,2025-11-28
1.0414,1.0414,1.0414,0.0007687872,2025-12-05
1.0452,1.0452,1.0452,0.0036489341,2025-12-12
1.0411,1.0411,1.0411,-0.0039226942,2025-12-19
1.0565,1.0565,1.0565,0.0147920469,2025-12-26
1.0548,1.0548,1.0548,-0.0016090866,2025-12-31
1.0831,1.0831,1.0831,0.0268297308,2026-01-09
1.0868,1.0868,1.0868,0.0034161204,2026-01-16
1.1057,1.1057,1.1057,0.0173905042,2026-01-23
1.1049,1.1049,1.1049,-0.0007235236,2026-01-30
1.0863,1.0863,1.0863,-0.0168341026,2026-02-06
1.0935,1.0935,1.0935,0.0066280033,2026-02-13
1.1072,1.1072,1.1072,0.012528578,2026-02-27
1.0945,1.0945,1.0945,-0.0114703757,2026-03-06
1.0804,1.0804,1.0804,-0.0128825948,2026-03-13
0.978,1.0572,1.0572,-0.0214735283,2026-03-20
0.9699,1.0491,1.04844405,-0.0082822086,2026-03-27
0.959,1.0382,1.03666135,-0.011238272,2026-04-03
0.9837,1.0629,1.0633616,0.0257559958,2026-04-10
1.0009,1.0801,1.08195448,0.0174850056,2026-04-17
1.0034,1.0826,1.08465693,0.002497752,2026-04-24
1.0138,1.093,1.09589914,0.0103647598,2026-04-30
1.0372,1.1164,1.12119411,0.0230814756,2026-05-08
1.0382,1.1174,1.12227509,0.0009641342,2026-05-15
1.0373,1.1165,1.12130221,-0.000866885,2026-05-22
