nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-08-14
1.0491,1.0491,1.0491,0.0491,2017-10-27
1.0493,1.0493,1.0493,0.0001906396,2017-11-03
1.151,1.151,1.151,0.0969217574,2017-11-10
1.1271,1.1271,1.1271,-0.0207645526,2017-11-17
1.1032,1.1032,1.1032,-0.021204862,2017-11-24
1.0744,1.0744,1.0744,-0.0261058738,2017-12-01
1.1017,1.1017,1.1017,0.0254095309,2017-12-08
1.1209,1.1209,1.1209,0.0174276119,2017-12-15
1.1309,1.1309,1.1309,0.0089214024,2017-12-22
1.0705,1.0705,1.0705,-0.0534087895,2017-12-29
1.0683,1.0683,1.0683,-0.0020551144,2018-01-05
0.9976,0.9976,0.9976,-0.066179912,2018-01-12
1.0065,1.0065,1.0065,0.0089214114,2018-01-19
0.9943,0.9943,0.9943,-0.0121212121,2018-01-26
0.9574,0.9574,0.9574,-0.0371115358,2018-02-02
0.9098,0.9098,0.9098,-0.0497179862,2018-02-09
0.9726,0.9726,0.9726,0.0690261596,2018-02-14
1.0036,1.0036,1.0036,0.0318733292,2018-02-23
1.0276,1.0276,1.0276,0.0239139099,2018-03-02
1.0714,1.0714,1.0714,0.0426235889,2018-03-09
1.0556,1.0556,1.0556,-0.0147470599,2018-03-16
0.9897,0.9897,0.9897,-0.0624289504,2018-03-23
0.9939,0.9939,0.9939,0.0042437102,2018-03-30
0.9642,0.9642,0.9642,-0.0298822819,2018-04-04
0.9664,0.9664,0.9664,0.0022816843,2018-04-13
0.9028,0.9028,0.9028,-0.0658112583,2018-04-20
0.8699,0.8699,0.8699,-0.0364421799,2018-04-27
0.8746,0.8746,0.8746,0.0054029199,2018-05-04
0.9015,0.9015,0.9015,0.0307569174,2018-05-11
0.909,0.909,0.909,0.0083194676,2018-05-18
0.9015,0.9015,0.9015,-0.0082508251,2018-05-25
0.8663,0.8663,0.8663,-0.0390460344,2018-06-01
0.9166,0.9166,0.9166,0.0580630267,2018-06-08
0.8796,0.8796,0.8796,-0.0403665721,2018-06-15
0.8313,0.8313,0.8313,-0.0549113233,2018-06-22
0.8115,0.8115,0.8115,-0.0238181162,2018-06-29
0.8093,0.8093,0.8093,-0.002711029,2018-07-06
0.8348,0.8348,0.8348,0.0315087112,2018-07-13
0.8193,0.8193,0.8193,-0.0185673215,2018-07-20
0.7916,0.7916,0.7916,-0.0338093494,2018-07-27
0.7624,0.7624,0.7624,-0.0368873168,2018-08-03
0.7596,0.7596,0.7596,-0.0036726128,2018-08-10
0.7487,0.7487,0.7487,-0.0143496577,2018-08-17
0.7517,0.7517,0.7517,0.0040069454,2018-08-24
0.748,0.748,0.748,-0.0049221764,2018-08-31
0.7403,0.7403,0.7403,-0.0102941176,2018-09-07
0.7278,0.7278,0.7278,-0.0168850466,2018-09-14
0.7441,0.7441,0.7441,0.0223962627,2018-09-21
0.7535,0.7535,0.7535,0.0126327107,2018-09-28
0.7218,0.7218,0.7218,-0.0420703384,2018-10-12
0.7246,0.7246,0.7246,0.0038791909,2018-10-19
0.7217,0.7217,0.7217,-0.0040022081,2018-10-26
0.725,0.725,0.725,0.0045725371,2018-11-02
0.7112,0.7112,0.7112,-0.0190344828,2018-11-09
0.7258,0.7258,0.7258,0.0205286839,2018-11-16
0.701,0.701,0.701,-0.0341691926,2018-11-23
0.706,0.706,0.706,0.0071326676,2018-11-30
0.6956,0.6956,0.6956,-0.0147308782,2018-12-07
0.6954,0.6954,0.6954,-0.0002875216,2018-12-14
0.6698,0.6698,0.6698,-0.0368133448,2018-12-21
0.6781,0.6781,0.6781,0.0123917587,2018-12-28
0.679,0.679,0.679,0.0013272379,2019-01-04
0.6907,0.6907,0.6907,0.0172312224,2019-01-11
0.7077,0.7077,0.7077,0.0246127117,2019-01-18
0.7093,0.7093,0.7093,0.002260845,2019-01-25
0.7148,0.7148,0.7148,0.0077541238,2019-02-01
0.7389,0.7389,0.7389,0.0337157247,2019-02-15
0.7555,0.7555,0.7555,0.0224658276,2019-02-22
0.7857,0.7857,0.7857,0.0399735275,2019-03-01
0.775,0.775,0.775,-0.0136184294,2019-03-08
0.8067,0.8067,0.8067,0.0409032258,2019-03-15
0.8319,0.8319,0.8319,0.0312383786,2019-03-22
0.8383,0.8383,0.8383,0.0076932324,2019-03-29
0.8871,0.8871,0.8871,0.0582130502,2019-04-04
0.8947,0.8947,0.8947,0.0085672416,2019-04-12
0.8842,0.8842,0.8842,-0.0117357774,2019-04-19
0.8457,0.8457,0.8457,-0.043542185,2019-04-26
0.8403,0.8403,0.8403,-0.006385243,2019-04-30
0.8105,0.8105,0.8105,-0.0354635249,2019-05-10
0.7906,0.7906,0.7906,-0.0245527452,2019-05-17
0.7679,0.7679,0.7679,-0.0287123704,2019-05-24
0.7802,0.7802,0.7802,0.0160177106,2019-05-31
0.7497,0.7497,0.7497,-0.0390925404,2019-06-06
0.7609,0.7609,0.7609,0.0149393091,2019-06-14
0.7924,0.7924,0.7924,0.0413983441,2019-06-21
0.8027,0.8027,0.8027,0.0129984856,2019-06-28
0.8117,0.8117,0.8117,0.011212159,2019-07-05
0.791,0.791,0.791,-0.0255020328,2019-07-12
0.7863,0.7863,0.7863,-0.0059418458,2019-07-19
0.7871,0.7871,0.7871,0.0010174234,2019-07-26
0.7637,0.7637,0.7637,-0.0297293864,2019-08-02
0.7324,0.7324,0.7324,-0.0409846798,2019-08-09
0.7489,0.7489,0.7489,0.0225286729,2019-08-16
0.7418,0.7418,0.7418,-0.0094805715,2019-08-23
0.7536,0.7536,0.7536,0.0159072526,2019-08-30
0.7665,0.7665,0.7665,0.0171178344,2019-09-06
0.7674,0.7674,0.7674,0.0011741683,2019-09-12
0.7597,0.7597,0.7597,-0.0100338806,2019-09-20
0.7352,0.7352,0.7352,-0.0322495722,2019-09-27
0.7356,0.7356,0.7356,0.0005440696,2019-09-30
0.7486,0.7486,0.7486,0.0176726482,2019-10-11
0.7303,0.7303,0.7303,-0.0244456318,2019-10-18
0.7481,0.7481,0.7481,0.0243735451,2019-10-25
0.7465,0.7465,0.7465,-0.0021387515,2019-11-01
0.7519,0.7519,0.7519,0.0072337575,2019-11-08
0.7353,0.7353,0.7353,-0.0220774039,2019-11-15
0.7217,0.7217,0.7217,-0.018495852,2019-11-22
0.7169,0.7169,0.7169,-0.006650963,2019-11-29
0.7359,0.7359,0.7359,0.026502999,2019-12-06
0.7398,0.7398,0.7398,0.0052996331,2019-12-13
0.7445,0.7445,0.7445,0.0063530684,2019-12-20
0.7419,0.7419,0.7419,-0.0034922767,2019-12-27
0.7738,0.7738,0.7738,0.0429977086,2020-01-03
0.8036,0.8036,0.8036,0.0385112432,2020-01-10
0.8149,0.8149,0.8149,0.0140617222,2020-01-17
0.8184,0.8184,0.8184,0.0042950055,2020-01-23
0.826,0.826,0.826,0.0092864125,2020-02-07
0.8311,0.8311,0.8311,0.0061743341,2020-02-14
0.8781,0.8781,0.8781,0.0565515582,2020-02-21
0.853,0.853,0.853,-0.0285844437,2020-02-28
0.8991,0.8991,0.8991,0.0540445487,2020-03-06
0.8565,0.8565,0.8565,-0.047380714,2020-03-13
0.7882,0.7882,0.7882,-0.0797431407,2020-03-20
0.7786,0.7786,0.7786,-0.0121796498,2020-03-27
0.7908,0.7908,0.7908,0.0156691498,2020-04-03
0.7922,0.7922,0.7922,0.0017703591,2020-04-10
0.7922,0.7922,0.7922,0.0,2020-04-17
0.7995,0.7995,0.7995,0.0092148447,2020-04-24
0.8263,0.8263,0.8263,0.0335209506,2020-04-30
0.8367,0.8367,0.8367,0.0125862278,2020-05-08
0.8555,0.8555,0.8555,0.0224692243,2020-05-15
0.8264,0.8264,0.8264,-0.0340151958,2020-05-22
0.8293,0.8293,0.8293,0.0035091965,2020-05-29
0.8591,0.8591,0.8591,0.0359339202,2020-06-05
0.874,0.874,0.874,0.0173437318,2020-06-12
0.8827,0.8827,0.8827,0.0099542334,2020-06-19
0.8845,0.8845,0.8845,0.0020391979,2020-06-24
0.9457,0.9457,0.9457,0.0691916337,2020-07-03
1.0338,1.0338,1.0338,0.0931585069,2020-07-10
0.9805,0.9805,0.9805,-0.0515573612,2020-07-17
0.9719,0.9719,0.9719,-0.0087710352,2020-07-24
1.0422,1.0422,1.0422,0.0723325445,2020-07-31
1.0622,1.0622,1.0622,0.0191901746,2020-08-07
1.035,1.035,1.035,-0.0256072303,2020-08-14
1.0472,1.0472,1.0472,0.0117874396,2020-08-21
1.0704,1.0704,1.0704,0.0221543163,2020-08-28
1.07,1.07,1.07,-0.0003736921,2020-09-04
1.0074,1.0074,1.0074,-0.0585046729,2020-09-11
1.0216,1.0216,1.0216,0.0140956919,2020-09-18
0.9777,0.9777,0.9777,-0.0429718089,2020-09-25
0.9894,0.9894,0.9894,0.011966861,2020-09-30
1.0132,1.0132,1.0132,0.0240549828,2020-10-09
1.0307,1.0307,1.0307,0.0172720095,2020-10-16
1.0039,1.0039,1.0039,-0.0260017464,2020-10-23
0.9899,0.9899,0.9899,-0.0139456121,2020-10-30
1.0342,1.0342,1.0342,0.0447519952,2020-11-06
1.0446,1.0446,1.0446,0.010056082,2020-11-13
1.0503,1.0503,1.0503,0.0054566341,2020-11-20
1.041,1.041,1.041,-0.008854613,2020-11-27
1.0575,1.0575,1.0575,0.0158501441,2020-12-04
1.0156,1.0156,1.0156,-0.0396217494,2020-12-11
1.029,1.029,1.029,0.0131941709,2020-12-18
1.0194,1.0194,1.0194,-0.0093294461,2020-12-25
1.0424,1.0424,1.0424,0.0225622915,2020-12-31
1.0742,1.0742,1.0742,0.0305065234,2021-01-08
1.0963,1.0963,1.0963,0.02057345,2021-01-15
1.1086,1.1086,1.1086,0.0112195567,2021-01-22
