nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-05
1.0,1.0,1.0,0.0,2019-12-06
0.9998,0.9998,0.9998,-0.0002,2019-12-13
0.9997,0.9997,0.9997,-0.00010002,2019-12-20
0.9999,0.9999,0.9999,0.00020006,2019-12-27
1.0,1.0,1.0,0.00010001,2019-12-31
1.0002,1.0002,1.0002,0.0002,2020-01-03
1.0074,1.0074,1.0074,0.0071985603,2020-01-10
1.0132,1.0132,1.0132,0.0057573953,2020-01-17
0.9985,0.9985,0.9985,-0.014508488,2020-01-23
0.951,0.951,0.951,-0.047571357,2020-02-07
0.9431,0.9431,0.9431,-0.0083070452,2020-02-14
1.0084,1.0084,1.0084,0.0692397413,2020-02-21
0.9752,0.9752,0.9752,-0.0329234431,2020-02-28
0.9829,0.9829,0.9829,0.0078958162,2020-03-06
0.9597,0.9597,0.9597,-0.0236036219,2020-03-13
0.893,0.893,0.893,-0.0695008857,2020-03-20
0.8383,0.8383,0.8383,-0.0612541993,2020-03-27
0.7862,0.7862,0.7862,-0.0621495885,2020-03-31
0.8096,0.8096,0.8096,0.029763419,2020-04-03
0.8067,0.8067,0.8067,-0.0035820158,2020-04-10
0.7965,0.7965,0.7965,-0.0126441056,2020-04-17
0.7786,0.7786,0.7786,-0.0224733208,2020-04-24
0.8235,0.8235,0.8235,0.0576676085,2020-04-30
0.8584,0.8584,0.8584,0.042380085,2020-05-08
0.8616,0.8616,0.8616,0.0037278658,2020-05-15
0.8055,0.8055,0.8055,-0.0651114206,2020-05-22
0.7941,0.7941,0.7941,-0.0141527002,2020-05-29
0.8505,0.8505,0.8505,0.0710238005,2020-06-05
0.8651,0.8651,0.8651,0.0171663727,2020-06-12
0.8895,0.8895,0.8895,0.0282048318,2020-06-19
0.8818,0.8818,0.8818,-0.0086565486,2020-06-24
0.8887,0.8887,0.8887,0.0078249036,2020-06-30
0.9011,0.9011,0.9011,0.013952965,2020-07-03
1.0595,1.0595,1.0595,0.1757851515,2020-07-10
0.9722,0.9722,0.9722,-0.0823973572,2020-07-17
0.9602,0.9602,0.9602,-0.0123431393,2020-07-24
1.0342,1.0342,1.0342,0.0770672777,2020-07-31
1.0704,1.0704,1.0704,0.0350029008,2020-08-07
1.0013,1.0013,1.0013,-0.0645553064,2020-08-14
