nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-12-01
0.9999,0.9999,0.9999,-0.0001,2021-12-03
0.9998,0.9998,0.9998,-0.00010001,2021-12-08
0.9998,0.9998,0.9998,0.0,2021-12-10
0.9996,0.9996,0.9996,-0.00020004,2021-12-15
0.9981,0.9981,0.9981,-0.0015006002,2021-12-17
1.0014,1.0014,1.0014,0.0033062819,2021-12-22
1.0015,1.0015,1.0015,9.98602e-05,2021-12-24
0.9931,0.9931,0.9931,-0.0083874189,2021-12-29
0.9965,0.9965,0.9965,0.003423623,2021-12-31
0.9861,0.9861,0.9861,-0.0104365278,2022-01-05
0.981,0.981,0.981,-0.0051718893,2022-01-07
0.9811,0.9811,0.9811,0.0001019368,2022-01-12
0.9815,0.9815,0.9815,0.0004077056,2022-01-14
0.9821,0.9821,0.9821,0.0006113092,2022-01-19
0.971,0.971,0.971,-0.0113023114,2022-01-21
0.9671,0.9671,0.9671,-0.0040164779,2022-01-26
0.9498,0.9498,0.9498,-0.0178885327,2022-01-28
0.9501,0.9501,0.9501,0.000315856,2022-02-07
0.9469,0.9469,0.9469,-0.0033680665,2022-02-09
0.9429,0.9429,0.9429,-0.0042243109,2022-02-11
0.942,0.942,0.942,-0.0009545021,2022-02-16
0.9459,0.9459,0.9459,0.0041401274,2022-02-18
0.9467,0.9467,0.9467,0.0008457554,2022-02-23
0.935,0.935,0.935,-0.0123587198,2022-02-25
0.9352,0.9352,0.9352,0.0002139037,2022-02-28
0.926,0.926,0.926,-0.0098374679,2022-03-02
0.9205,0.9205,0.9205,-0.0059395248,2022-03-04
0.9019,0.9019,0.9019,-0.0202064096,2022-03-09
0.9015,0.9015,0.9015,-0.0004435081,2022-03-11
0.888,0.888,0.888,-0.0149750416,2022-03-16
0.8914,0.8914,0.8914,0.0038288288,2022-03-18
0.8915,0.8915,0.8915,0.0001121831,2022-03-23
0.8862,0.8862,0.8862,-0.0059450365,2022-03-25
0.8909,0.8909,0.8909,0.0053035432,2022-03-30
0.8858,0.8858,0.8858,-0.0057245482,2022-03-31
0.8892,0.8892,0.8892,0.0038383382,2022-04-01
0.8884,0.8884,0.8884,-0.0008996851,2022-04-06
0.883,0.883,0.883,-0.0060783431,2022-04-08
0.8721,0.8721,0.8721,-0.0123442809,2022-04-13
0.8759,0.8759,0.8759,0.0043572985,2022-04-15
0.8684,0.8684,0.8684,-0.0085626213,2022-04-20
0.8659,0.8659,0.8659,-0.0028788577,2022-04-22
0.8607,0.8607,0.8607,-0.0060053124,2022-04-27
0.8678,0.8678,0.8678,0.0082490996,2022-04-29
0.8666,0.8666,0.8666,-0.0013828071,2022-05-05
0.8595,0.8595,0.8595,-0.0081929379,2022-05-06
0.8612,0.8612,0.8612,0.0019778941,2022-05-11
0.8644,0.8644,0.8644,0.0037157455,2022-05-13
0.872,0.872,0.872,0.0087922258,2022-05-18
0.8745,0.8745,0.8745,0.0028669725,2022-05-20
0.8688,0.8688,0.8688,-0.0065180103,2022-05-25
0.8694,0.8694,0.8694,0.0006906077,2022-05-27
0.8812,0.8812,0.8812,0.0135725788,2022-05-31
0.8855,0.8855,0.8855,0.0048797095,2022-06-01
0.8907,0.8907,0.8907,0.0058723885,2022-06-02
0.8994,0.8994,0.8994,0.0097675985,2022-06-10
0.8886,0.8886,0.8886,-0.0120080053,2022-06-15
0.9011,0.9011,0.9011,0.0140670718,2022-06-17
0.8974,0.8974,0.8974,-0.0041060926,2022-06-22
0.9201,0.9201,0.9201,0.0252952975,2022-06-24
0.9101,0.9101,0.9101,-0.0108683839,2022-06-29
0.9172,0.9172,0.9172,0.0078013405,2022-06-30
0.9138,0.9138,0.9138,-0.0037069341,2022-07-01
0.9115,0.9115,0.9115,-0.0025169621,2022-07-06
0.9185,0.9185,0.9185,0.0076796489,2022-07-08
0.9116,0.9116,0.9116,-0.0075122482,2022-07-13
0.9309,0.9309,0.9309,0.0211715665,2022-07-15
0.9374,0.9374,0.9374,0.0069824901,2022-07-20
0.9334,0.9334,0.9334,-0.0042671218,2022-07-22
0.9509,0.9509,0.9509,0.0187486608,2022-07-27
0.9614,0.9614,0.9614,0.0110421706,2022-07-29
0.9427,0.9427,0.9427,-0.0194508009,2022-08-03
0.935,0.935,0.935,-0.008168028,2022-08-05
0.9475,0.9475,0.9475,0.013368984,2022-08-10
0.9422,0.9422,0.9422,-0.0055936675,2022-08-12
0.9581,0.9581,0.9581,0.016875398,2022-08-17
0.9477,0.9477,0.9477,-0.0108548168,2022-08-19
0.9222,0.9222,0.9222,-0.0269072491,2022-08-24
0.9119,0.9119,0.9119,-0.0111689438,2022-08-26
0.887,0.887,0.887,-0.0273056256,2022-08-31
0.8923,0.8923,0.8923,0.0059751973,2022-09-02
0.9109,0.9109,0.9109,0.0208450073,2022-09-07
0.9057,0.9057,0.9057,-0.0057086398,2022-09-09
0.904,0.904,0.904,-0.0018770012,2022-09-14
0.8857,0.8857,0.8857,-0.0202433628,2022-09-16
0.8939,0.8939,0.8939,0.0092582138,2022-09-21
0.884,0.884,0.884,-0.0110750643,2022-09-23
0.8797,0.8797,0.8797,-0.0048642534,2022-09-28
0.8699,0.8699,0.8699,-0.0111401614,2022-09-30
0.8558,0.8558,0.8558,-0.0162087596,2022-10-10
0.8643,0.8643,0.8643,0.0099322272,2022-10-12
0.8675,0.8675,0.8675,0.0037024181,2022-10-14
0.8749,0.8749,0.8749,0.0085302594,2022-10-19
0.8712,0.8712,0.8712,-0.0042290547,2022-10-21
0.8682,0.8682,0.8682,-0.0034435262,2022-10-26
0.8537,0.8537,0.8537,-0.0167012209,2022-10-28
0.8577,0.8577,0.8577,0.0046854867,2022-10-31
0.8713,0.8713,0.8713,0.01585636,2022-11-02
0.8773,0.8773,0.8773,0.0068862619,2022-11-04
0.871,0.871,0.871,-0.0071811239,2022-11-09
0.8551,0.8551,0.8551,-0.0182548794,2022-11-11
0.857,0.857,0.857,0.0022219623,2022-11-16
0.851,0.851,0.851,-0.0070011669,2022-11-18
0.8364,0.8364,0.8364,-0.0171562867,2022-11-23
0.8282,0.8282,0.8282,-0.0098039216,2022-11-25
0.823,0.823,0.823,-0.0062786766,2022-11-30
0.8259,0.8259,0.8259,0.0035236938,2022-12-02
0.8219,0.8219,0.8219,-0.0048432014,2022-12-07
0.8218,0.8218,0.8218,-0.0001216693,2022-12-09
0.8168,0.8168,0.8168,-0.0060842054,2022-12-14
0.8122,0.8122,0.8122,-0.0056317336,2022-12-16
0.8017,0.8017,0.8017,-0.0129278503,2022-12-21
0.7985,0.7985,0.7985,-0.003991518,2022-12-23
0.8085,0.8085,0.8085,0.0125234815,2022-12-28
0.8089,0.8089,0.8089,0.0004947434,2022-12-30
0.8133,0.8133,0.8133,0.0054394857,2023-01-04
0.8252,0.8252,0.8252,0.0146317472,2023-01-06
0.8315,0.8315,0.8315,0.0076345128,2023-01-11
0.8327,0.8327,0.8327,0.001443175,2023-01-13
0.836,0.836,0.836,0.0039630119,2023-01-18
0.8457,0.8457,0.8457,0.0116028708,2023-01-20
0.8453,0.8453,0.8453,-0.000472981,2023-01-30
0.8386,0.8386,0.8386,-0.0079261801,2023-01-31
0.8463,0.8463,0.8463,0.0091819699,2023-02-01
0.8455,0.8455,0.8455,-0.0009452913,2023-02-03
0.8348,0.8348,0.8348,-0.0126552336,2023-02-08
0.8357,0.8357,0.8357,0.0010781025,2023-02-10
