nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-01-12
1.0,1.0,1.0,0.0,2023-01-13
1.0001,1.0001,1.0001,0.0001,2023-01-16
1.0001,1.0001,1.0001,0.0,2023-01-17
1.0001,1.0001,1.0001,0.0,2023-01-18
1.0001,1.0001,1.0001,0.0,2023-01-19
1.0001,1.0001,1.0001,0.0,2023-01-20
1.0001,1.0001,1.0001,0.0,2023-01-30
1.0001,1.0001,1.0001,0.0,2023-01-31
1.0002,1.0002,1.0002,9.999e-05,2023-02-01
1.0002,1.0002,1.0002,0.0,2023-02-02
1.0002,1.0002,1.0002,0.0,2023-02-03
1.0002,1.0002,1.0002,0.0,2023-02-06
1.0002,1.0002,1.0002,0.0,2023-02-07
0.9986,0.9986,0.9986,-0.0015996801,2023-02-08
0.9989,0.9989,0.9989,0.0003004206,2023-02-09
0.995,0.995,0.995,-0.0039042947,2023-02-10
0.9958,0.9958,0.9958,0.0008040201,2023-02-13
0.9964,0.9964,0.9964,0.0006025306,2023-02-14
0.9919,0.9919,0.9919,-0.0045162585,2023-02-15
0.9886,0.9886,0.9886,-0.0033269483,2023-02-16
0.972,0.972,0.972,-0.0167914222,2023-02-17
1.0045,1.0045,1.0045,0.033436214,2023-02-20
1.0094,1.0094,1.0094,0.0048780488,2023-02-21
0.9975,0.9975,0.9975,-0.0117891817,2023-02-22
0.9924,0.9924,0.9924,-0.005112782,2023-02-23
0.9848,0.9848,0.9848,-0.0076582023,2023-02-24
0.982,0.982,0.982,-0.0028432169,2023-02-27
0.996,0.996,0.996,0.0142566191,2023-02-28
1.0042,1.0042,1.0042,0.0082329317,2023-03-01
1.0022,1.0022,1.0022,-0.0019916351,2023-03-02
1.0071,1.0071,1.0071,0.0048892437,2023-03-03
1.0014,1.0014,1.0014,-0.0056598153,2023-03-06
0.991,0.991,0.991,-0.0103854604,2023-03-07
0.9779,0.9779,0.9779,-0.0132189707,2023-03-08
0.9674,0.9674,0.9674,-0.0107372942,2023-03-09
0.9617,0.9617,0.9617,-0.0058920819,2023-03-10
0.9751,0.9751,0.9751,0.0139336591,2023-03-13
0.9836,0.9836,0.9836,0.0087170547,2023-03-14
0.9784,0.9784,0.9784,-0.0052867019,2023-03-15
0.9915,0.9915,0.9915,0.0133892069,2023-03-16
0.99,0.99,0.99,-0.0015128593,2023-03-17
0.972,0.972,0.972,-0.0181818182,2023-03-20
0.9759,0.9759,0.9759,0.0040123457,2023-03-21
0.9778,0.9778,0.9778,0.0019469208,2023-03-22
0.9746,0.9746,0.9746,-0.0032726529,2023-03-23
0.9658,0.9658,0.9658,-0.0090293454,2023-03-24
0.9344,0.9344,0.9344,-0.0325119072,2023-03-27
0.9266,0.9266,0.9266,-0.0083476027,2023-03-28
0.9625,0.9625,0.9625,0.0387437945,2023-03-29
0.9959,0.9959,0.9959,0.0347012987,2023-03-30
0.9998,0.9998,0.9998,0.0039160558,2023-03-31
0.9879,0.9879,0.9879,-0.0119023805,2023-04-03
1.0001,1.0001,1.0001,0.0123494281,2023-04-04
0.9936,0.9936,0.9936,-0.0064993501,2023-04-06
0.9851,0.9851,0.9851,-0.0085547504,2023-04-07
0.9932,0.9932,0.9932,0.0082225155,2023-04-10
0.9931,0.9931,0.9931,-0.0001006847,2023-04-11
0.9957,0.9957,0.9957,0.0026180646,2023-04-12
0.9822,0.9822,0.9822,-0.0135583007,2023-04-13
0.985,0.985,0.985,0.0028507432,2023-04-14
0.9945,0.9945,0.9945,0.0096446701,2023-04-17
0.9923,0.9923,0.9923,-0.0022121669,2023-04-18
0.9806,0.9806,0.9806,-0.0117907891,2023-04-19
0.982,0.982,0.982,0.0014276973,2023-04-20
0.9757,0.9757,0.9757,-0.0064154786,2023-04-21
0.9714,0.9714,0.9714,-0.0044070923,2023-04-24
0.9826,0.9826,0.9826,0.0115297509,2023-04-25
0.9845,0.9845,0.9845,0.0019336454,2023-04-26
1.032,1.032,1.032,0.0482478415,2023-04-27
1.0315,1.0315,1.0315,-0.0004844961,2023-04-28
1.0725,1.0725,1.0725,0.0397479399,2023-05-04
1.0519,1.0519,1.0519,-0.0192074592,2023-05-05
1.0506,1.0506,1.0506,-0.0012358589,2023-05-08
1.0695,1.0695,1.0695,0.0179897202,2023-05-09
1.0544,1.0544,1.0544,-0.0141187471,2023-05-10
1.0695,1.0695,1.0695,0.0143209408,2023-05-11
1.0701,1.0701,1.0701,0.0005610098,2023-05-12
