nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-03-28
0.9999,0.9999,0.9999,-0.0001,2025-03-31
0.9999,0.9999,0.9999,0.0,2025-04-03
0.9997,0.9997,0.9997,-0.00020002,2025-04-11
0.9994,0.9994,0.9994,-0.00030009,2025-04-18
0.9992,0.9992,0.9992,-0.0002001201,2025-04-25
0.9973,0.9973,0.9973,-0.0019015212,2025-04-30
1.0041,1.0041,1.0041,0.0068184097,2025-05-09
1.0111,1.0111,1.0111,0.0069714172,2025-05-16
1.0225,1.0225,1.0225,0.0112748492,2025-05-23
1.0165,1.0165,1.0165,-0.0058679707,2025-05-30
1.032,1.032,1.032,0.0152484014,2025-06-06
1.0504,1.0504,1.0504,0.0178294574,2025-06-13
1.0357,1.0357,1.0357,-0.0139946687,2025-06-20
1.0637,1.0637,1.0637,0.0270348557,2025-06-27
1.0695,1.0695,1.0695,0.0054526652,2025-06-30
1.0917,1.0917,1.0917,0.0207573633,2025-07-04
1.0981,1.0981,1.0981,0.0058624164,2025-07-11
1.1268,1.1268,1.1268,0.0261360532,2025-07-18
1.1566,1.1566,1.1566,0.0264465744,2025-07-25
1.1406,1.1406,1.1406,-0.0138336504,2025-07-31
1.1351,1.1351,1.1351,-0.0048220235,2025-08-01
1.166,1.166,1.166,0.0272222712,2025-08-08
1.2009,1.2009,1.2009,0.0299313894,2025-08-15
1.2528,1.2528,1.2528,0.0432175868,2025-08-22
1.2894,1.2894,1.2894,0.0292145594,2025-08-29
1.2727,1.2727,1.2727,-0.0129517605,2025-09-05
1.2967,1.2967,1.2967,0.0188575469,2025-09-12
1.2982,1.2982,1.2982,0.0011567826,2025-09-19
1.2849,1.2849,1.2849,-0.0102449546,2025-09-26
1.3167,1.3167,1.3167,0.0247490077,2025-09-30
1.3021,1.3021,1.3021,-0.0110883269,2025-10-10
1.2505,1.2505,1.2505,-0.0396282928,2025-10-17
1.2724,1.2724,1.2724,0.0175129948,2025-10-24
1.2735,1.2735,1.2735,0.000864508,2025-10-31
1.2769,1.2769,1.2769,0.0026698076,2025-11-07
1.2785,1.2785,1.2785,0.0012530347,2025-11-14
1.2324,1.2324,1.2324,-0.0360578803,2025-11-21
1.2509,1.2509,1.2509,0.0150113599,2025-11-28
1.2545,1.2545,1.2545,0.0028779279,2025-12-05
1.2504,1.2504,1.2504,-0.0032682344,2025-12-12
1.2381,1.2381,1.2381,-0.0098368522,2025-12-19
1.2517,1.2517,1.2517,0.0109845731,2025-12-26
1.2449,1.2449,1.2449,-0.0054326116,2025-12-31
1.2944,1.2944,1.2944,0.0397622299,2026-01-09
1.3125,1.3125,1.3125,0.0139833127,2026-01-16
1.34,1.34,1.34,0.020952381,2026-01-23
1.3323,1.3323,1.3323,-0.0057462687,2026-01-30
1.3159,1.3159,1.3159,-0.0123095399,2026-02-06
1.3122,1.3122,1.3122,-0.0028117638,2026-02-13
1.3174,1.3174,1.3174,0.0039628105,2026-02-27
1.3061,1.3061,1.3061,-0.0085775011,2026-03-06
1.3109,1.3109,1.3109,0.0036750632,2026-03-13
1.2745,1.2745,1.2745,-0.0277671829,2026-03-20
1.2519,1.2519,1.2519,-0.0177324441,2026-03-27
1.2537,1.2537,1.2537,0.0014378145,2026-04-03
1.2687,1.2687,1.2687,0.0119645848,2026-04-10
1.2928,1.2928,1.2928,0.0189958225,2026-04-17
1.2861,1.2861,1.2861,-0.0051825495,2026-04-24
1.2926,1.2926,1.2926,0.0050540393,2026-04-30
1.3115,1.3115,1.3115,0.0146216927,2026-05-08
1.2866,1.2866,1.2866,-0.018985894,2026-05-15
1.2762,1.2762,1.2762,-0.0080833204,2026-05-22
