nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-20
1.0001,1.0001,1.0001,0.0001,2022-09-23
0.9998,0.9998,0.9998,-0.00029997,2022-09-30
0.9998,0.9998,0.9998,0.0,2022-10-14
0.9915,0.9915,0.9915,-0.0083016603,2022-10-21
0.9777,0.9777,0.9777,-0.0139183056,2022-10-28
0.9755,0.9755,0.9755,-0.002250179,2022-10-31
1.0021,1.0021,1.0021,0.0272680677,2022-11-04
1.0099,1.0099,1.0099,0.0077836543,2022-11-11
0.9893,0.9893,0.9893,-0.0203980592,2022-11-18
0.984,0.984,0.984,-0.0053573234,2022-11-25
0.9937,0.9937,0.9937,0.0098577236,2022-11-30
1.0091,1.0091,1.0091,0.0154976351,2022-12-02
0.9989,0.9989,0.9989,-0.010108017,2022-12-09
0.9734,0.9734,0.9734,-0.0255280809,2022-12-16
0.9399,0.9399,0.9399,-0.034415451,2022-12-23
0.9598,0.9598,0.9598,0.0211724652,2022-12-30
1.0061,1.0061,1.0061,0.0482392165,2023-01-06
1.0057,1.0057,1.0057,-0.0003975748,2023-01-13
1.0336,1.0336,1.0336,0.0277418713,2023-01-20
1.048,1.048,1.048,0.0139318885,2023-01-31
1.0646,1.0646,1.0646,0.0158396947,2023-02-03
1.0667,1.0667,1.0667,0.0019725719,2023-02-10
1.0443,1.0443,1.0443,-0.0209993438,2023-02-17
1.0516,1.0516,1.0516,0.0069903284,2023-02-24
1.043,1.043,1.043,-0.0081780145,2023-02-28
1.0546,1.0546,1.0546,0.0111217641,2023-03-03
1.0337,1.0337,1.0337,-0.0198179405,2023-03-10
1.0273,1.0273,1.0273,-0.0061913515,2023-03-17
1.0525,1.0525,1.0525,0.0245303222,2023-03-24
1.0365,1.0365,1.0365,-0.0152019002,2023-03-31
1.0432,1.0432,1.0432,0.0064640617,2023-04-07
1.0274,1.0274,1.0274,-0.0151457055,2023-04-14
0.9835,0.9835,0.9835,-0.0427292194,2023-04-21
0.9887,0.9887,0.9887,0.0052872395,2023-04-28
0.9703,0.9703,0.9703,-0.0186102963,2023-05-05
0.9593,0.9593,0.9593,-0.0113367,2023-05-12
0.9767,0.9767,0.9767,0.0181382258,2023-05-19
0.971,0.971,0.971,-0.0058359783,2023-05-26
0.9687,0.9687,0.9687,-0.0023686921,2023-05-31
0.9896,0.9896,0.9896,0.0215753071,2023-06-02
0.9904,0.9904,0.9904,0.0008084074,2023-06-09
1.034,1.034,1.034,0.0440226171,2023-06-16
1.0316,1.0316,1.0316,-0.0023210832,2023-06-21
1.048,1.048,1.048,0.0158976347,2023-06-30
1.066,1.066,1.066,0.0171755725,2023-07-07
1.0732,1.0732,1.0732,0.0067542214,2023-07-14
1.0723,1.0723,1.0723,-0.0008386135,2023-07-21
1.0817,1.0817,1.0817,0.0087662035,2023-07-28
1.0826,1.0826,1.0826,0.0008320237,2023-07-31
1.0809,1.0809,1.0809,-0.0015702937,2023-08-04
1.0707,1.0707,1.0707,-0.0094365806,2023-08-11
