nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.1676,1.1676,1.1676,0.0,2023-06-30
1.1344,1.1344,1.1344,-0.0284343953,2023-07-07
1.1814,1.1814,1.1814,0.0414315938,2023-07-14
1.1617,1.1617,1.1617,-0.0166751312,2023-07-21
1.1477,1.1477,1.1477,-0.0120513041,2023-07-28
1.1516,1.1516,1.1516,0.0033981005,2023-07-31
1.1553,1.1553,1.1553,0.0032129212,2023-08-04
1.1237,1.1237,1.1237,-0.0273522029,2023-08-11
1.1168,1.1168,1.1168,-0.0061404289,2023-08-18
1.1141,1.1141,1.1141,-0.0024176218,2023-08-25
1.1423,1.1423,1.1423,0.025311911,2023-08-31
1.128,1.128,1.128,-0.0125186028,2023-09-01
1.1295,1.1295,1.1295,0.0013297872,2023-09-08
1.1192,1.1192,1.1192,-0.0091190792,2023-09-15
1.0983,1.0983,1.0983,-0.0186740529,2023-09-22
1.1075,1.1075,1.1075,0.008376582,2023-09-28
1.0819,1.0819,1.0819,-0.0231151242,2023-10-13
1.0585,1.0585,1.0585,-0.0216286163,2023-10-20
1.0723,1.0723,1.0723,0.013037317,2023-10-27
1.0698,1.0698,1.0698,-0.0023314371,2023-10-31
1.0732,1.0732,1.0732,0.0031781641,2023-11-03
1.0666,1.0666,1.0666,-0.0061498323,2023-11-10
1.0744,1.0744,1.0744,0.0073129571,2023-11-17
1.0702,1.0702,1.0702,-0.0039091586,2023-11-24
1.0764,1.0764,1.0764,0.0057933097,2023-11-30
1.0864,1.0864,1.0864,0.0092902267,2023-12-01
1.081,1.081,1.081,-0.0049705449,2023-12-08
1.0744,1.0744,1.0744,-0.0061054579,2023-12-15
1.0509,1.0509,1.0509,-0.0218726731,2023-12-22
1.0563,1.0563,1.0563,0.0051384528,2023-12-29
1.0184,1.0184,1.0184,-0.0358799583,2024-01-05
1.0155,1.0155,1.0155,-0.0028476041,2024-01-12
1.0217,1.0217,1.0217,0.0061053668,2024-01-19
1.0176,1.0176,1.0176,-0.0040129196,2024-01-26
0.9873,0.9873,0.9873,-0.0297759434,2024-01-31
0.987,0.987,0.987,-0.000303859,2024-02-02
1.0277,1.0277,1.0277,0.0412360689,2024-02-08
1.0379,1.0379,1.0379,0.0099250754,2024-02-23
1.0376,1.0376,1.0376,-0.0002890452,2024-02-29
1.0504,1.0504,1.0504,0.0123361604,2024-03-01
1.0713,1.0713,1.0713,0.019897182,2024-03-08
1.0839,1.0839,1.0839,0.0117614114,2024-03-15
1.0817,1.0817,1.0817,-0.0020297075,2024-03-22
1.0704,1.0704,1.0704,-0.0104465194,2024-03-29
1.0778,1.0778,1.0778,0.0069133034,2024-04-03
