nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2022-08-25
1.0001,1.0001,1.0001,0.0,2022-08-26
1.0002,1.0002,1.0002,9.999e-05,2022-08-31
1.0003,1.0003,1.0003,9.998e-05,2022-09-02
1.0005,1.0005,1.0005,0.00019994,2022-09-09
0.9548,0.9548,0.9548,-0.0456771614,2022-09-16
0.94,0.94,0.94,-0.0155006284,2022-09-23
0.9062,0.9062,0.9062,-0.0359574468,2022-09-30
0.9414,0.9414,0.9414,0.0388435224,2022-10-14
0.934,0.934,0.934,-0.0078606331,2022-10-21
0.9241,0.9241,0.9241,-0.0105995717,2022-10-28
0.9303,0.9303,0.9303,0.0067092306,2022-10-31
0.9712,0.9712,0.9712,0.0439643126,2022-11-04
0.9677,0.9677,0.9677,-0.0036037891,2022-11-11
0.9729,0.9729,0.9729,0.0053735662,2022-11-18
0.9612,0.9612,0.9612,-0.0120259019,2022-11-25
0.9691,0.9691,0.9691,0.0082188931,2022-11-30
0.9764,0.9764,0.9764,0.0075327624,2022-12-02
0.9747,0.9747,0.9747,-0.0017410897,2022-12-09
0.9665,0.9665,0.9665,-0.008412845,2022-12-16
0.9253,0.9253,0.9253,-0.0426280393,2022-12-23
0.9451,0.9451,0.9451,0.0213984654,2022-12-30
0.9772,0.9772,0.9772,0.0339646598,2023-01-06
0.9738,0.9738,0.9738,-0.0034793287,2023-01-13
1.0106,1.0106,1.0106,0.0377901006,2023-01-20
1.0091,1.0091,1.0091,-0.0014842668,2023-01-31
1.0181,1.0281,1.0281,0.0188286592,2023-02-01
1.0205,1.0305,1.03052357,0.0023573323,2023-02-03
1.0257,1.0357,1.03577465,0.0050955414,2023-02-10
1.0012,1.0112,1.011034,-0.0238861265,2023-02-17
1.0143,1.0243,1.02426268,0.0130842988,2023-02-24
1.0204,1.0304,1.03042259,0.0060139998,2023-02-28
1.0269,1.0469,1.04708466,0.0161701294,2023-03-01
1.0151,1.0351,1.03505272,-0.0114908949,2023-03-03
0.9882,1.0082,1.00762397,-0.0264998522,2023-03-10
0.9797,0.9997,0.9989569,-0.0086014977,2023-03-17
0.9923,1.0123,1.01180456,0.0128610799,2023-03-24
1.017,1.037,1.03699006,0.0248916658,2023-03-31
1.0325,1.0625,1.06299129,0.0250737463,2023-04-04
1.0552,1.0852,1.08636166,0.0219854722,2023-04-07
1.064,1.094,1.09542153,0.0083396513,2023-04-14
1.0021,1.0321,1.03169353,-0.0581766917,2023-04-21
0.9983,1.0283,1.02778131,-0.0037920367,2023-04-28
0.9751,1.0051,1.00389618,-0.0232395072,2023-05-05
0.9761,1.0061,1.00492571,0.0010255358,2023-05-12
0.9801,1.0101,1.00904384,0.0040979408,2023-05-19
0.97,1.0,0.99864557,-0.0103050709,2023-05-26
0.968,0.998,0.99658651,-0.0020618557,2023-05-31
0.9816,1.0116,1.01058814,0.0140495868,2023-06-02
0.9597,0.9897,0.9880414,-0.0223105134,2023-06-09
0.991,1.021,1.02026573,0.0326143587,2023-06-16
0.9749,1.0049,1.00369027,-0.0162462159,2023-06-21
0.9804,1.0104,1.0093527,0.0056416043,2023-06-30
0.974,1.004,1.0027637,-0.0065279478,2023-07-07
0.977,1.007,1.00585229,0.0030800821,2023-07-14
0.9567,0.9867,0.9849528,-0.0207778915,2023-07-21
0.9658,0.9958,0.99432154,0.0095118637,2023-07-28
0.9761,1.0061,1.00492571,0.0106647339,2023-07-31
0.9795,1.0095,1.00842612,0.0034832497,2023-08-04
0.9456,0.9756,0.973525,-0.0346094946,2023-08-11
