nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-06-15
1.0025,1.0025,1.0025,0.0025,2019-08-01
1.0029,1.0029,1.0029,0.0003990025,2019-08-02
1.0467,1.0467,1.0467,0.0436733473,2019-08-09
1.048,1.048,1.048,0.0012419987,2019-08-16
1.043,1.043,1.043,-0.0047709924,2019-08-23
1.0442,1.0442,1.0442,0.0011505273,2019-08-30
1.0378,1.0378,1.0378,-0.006129094,2019-09-06
1.0348,1.0348,1.0348,-0.0028907304,2019-09-12
1.0245,1.0245,1.0245,-0.0099536142,2019-09-20
1.029,1.029,1.029,0.0043923865,2019-09-27
1.0306,1.0306,1.0306,0.0015549077,2019-09-30
1.0341,1.0341,1.0341,0.00339608,2019-10-11
1.0378,1.0378,1.0378,0.0035779905,2019-10-18
1.0398,1.0398,1.0398,0.0019271536,2019-10-25
1.042,1.042,1.042,0.0021157915,2019-10-31
1.0432,1.0432,1.0432,0.0011516315,2019-11-01
1.0547,1.0547,1.0547,0.011023773,2019-11-08
1.0697,1.0697,1.0697,0.0142220537,2019-11-15
1.0517,1.0517,1.0517,-0.0168271478,2019-11-22
1.0533,1.0533,1.0533,0.0015213464,2019-11-29
1.0528,1.0528,1.0528,-0.0004746986,2019-12-06
1.052,1.052,1.052,-0.0007598784,2019-12-13
1.0533,1.0533,1.0533,0.0012357414,2019-12-20
1.0546,1.0546,1.0546,0.0012342163,2019-12-27
1.056,1.056,1.056,0.0013275175,2019-12-31
1.056,1.056,1.056,0.0,2020-01-03
1.0532,1.0532,1.0532,-0.0026515152,2020-01-10
1.0583,1.0583,1.0583,0.0048423851,2020-01-17
1.0628,1.0628,1.0628,0.0042521024,2020-01-23
1.0684,1.0684,1.0684,0.0052691005,2020-02-07
1.0719,1.0719,1.0719,0.0032759266,2020-02-14
1.0762,1.0762,1.0762,0.0040115682,2020-02-21
1.0862,1.0862,1.0862,0.0092919532,2020-02-28
1.0858,1.0858,1.0858,-0.0003682563,2020-03-06
1.089,1.089,1.089,0.0029471358,2020-03-13
1.0893,1.0893,1.0893,0.0002754821,2020-03-20
1.0892,1.0892,1.0892,-9.18021e-05,2020-03-27
1.0926,1.0926,1.0926,0.0031215571,2020-03-31
1.0889,1.0889,1.0889,-0.0033864177,2020-04-03
1.0896,1.0896,1.0896,0.0006428506,2020-04-10
1.0924,1.0924,1.0924,0.0025697504,2020-04-17
1.0933,1.0933,1.0933,0.000823874,2020-04-24
1.0915,1.0915,1.0915,-0.0016463917,2020-04-30
1.1007,1.1007,1.1007,0.0084287678,2020-05-08
1.1019,1.1019,1.1019,0.0010902153,2020-05-15
1.1061,1.1061,1.1061,0.0038115981,2020-05-22
1.1083,1.1083,1.1083,0.0019889703,2020-05-29
1.1042,1.1042,1.1042,-0.0036993594,2020-06-05
1.0964,1.0964,1.0964,-0.0070639377,2020-06-12
1.1035,1.1035,1.1035,0.0064757388,2020-06-19
1.1056,1.1056,1.1056,0.0019030358,2020-06-24
1.1061,1.1061,1.1061,0.0004522431,2020-06-30
1.1073,1.1073,1.1073,0.0010848929,2020-07-03
1.1091,1.1091,1.1091,0.0016255757,2020-07-10
1.1131,1.1131,1.1131,0.0036065278,2020-07-17
1.115,1.115,1.115,0.0017069446,2020-07-24
1.1223,1.1223,1.1223,0.0065470852,2020-07-31
1.1213,1.1213,1.1213,-0.0008910274,2020-08-07
1.1227,1.1227,1.1227,0.0012485508,2020-08-14
1.1263,1.1263,1.1263,0.0032065556,2020-08-21
1.1305,1.1305,1.1305,0.0037290242,2020-08-28
1.1311,1.1311,1.1311,0.0005307386,2020-08-31
1.1321,1.1321,1.1321,0.0008840951,2020-09-04
1.1388,1.1388,1.1388,0.0059182051,2020-09-11
1.1418,1.1418,1.1418,0.0026343519,2020-09-18
1.1404,1.1404,1.1404,-0.0012261342,2020-09-25
1.1445,1.1445,1.1445,0.0035952297,2020-09-30
1.1447,1.1447,1.1447,0.0001747488,2020-10-09
1.1443,1.1443,1.1443,-0.0003494365,2020-10-16
1.1524,1.1524,1.1524,0.0070785633,2020-10-23
1.154,1.154,1.154,0.0013884068,2020-10-30
1.1528,1.1528,1.1528,-0.0010398614,2020-11-06
1.1581,1.1581,1.1581,0.0045975017,2020-11-13
1.158,1.158,1.158,-8.63483e-05,2020-11-20
1.152,1.152,1.152,-0.0051813472,2020-11-27
1.1572,1.1572,1.1572,0.0045138889,2020-11-30
1.1585,1.1585,1.1585,0.0011234013,2020-12-04
1.1563,1.1563,1.1563,-0.0018990073,2020-12-11
1.15,1.15,1.15,-0.005448413,2020-12-18
1.1405,1.1405,1.1405,-0.0082608696,2020-12-25
1.1466,1.1466,1.1466,0.0053485313,2020-12-31
1.1403,1.1403,1.1403,-0.0054945055,2021-01-08
1.1424,1.1424,1.1424,0.0018416206,2021-01-15
1.1533,1.1533,1.1533,0.0095413165,2021-01-22
1.1369,1.1369,1.1369,-0.0142200642,2021-01-29
1.1363,1.1363,1.1363,-0.0005277509,2021-02-05
1.1413,1.1413,1.1413,0.0044002464,2021-02-10
1.1514,1.1514,1.1514,0.0088495575,2021-02-19
1.1431,1.1431,1.1431,-0.0072086156,2021-02-26
1.1537,1.1537,1.1537,0.0092730295,2021-03-05
1.1688,1.1688,1.1688,0.0130883245,2021-03-12
1.1709,1.1709,1.1709,0.0017967146,2021-03-19
1.1742,1.1742,1.1742,0.0028183449,2021-03-26
1.1848,1.1848,1.1848,0.0090274229,2021-03-31
1.1812,1.1812,1.1812,-0.0030384875,2021-04-02
1.1953,1.1953,1.1953,0.0119370132,2021-04-09
1.193,1.193,1.193,-0.0019242031,2021-04-16
1.1957,1.1957,1.1957,0.002263202,2021-04-23
1.2096,1.2096,1.2096,0.0116249895,2021-04-30
1.2146,1.2146,1.2146,0.0041335979,2021-05-07
1.2208,1.2208,1.2208,0.0051045612,2021-05-14
1.2318,1.2318,1.2318,0.0090104849,2021-05-21
1.2398,1.2398,1.2398,0.0064945608,2021-05-28
1.2393,1.2393,1.2393,-0.0004032909,2021-05-31
1.2366,1.2366,1.2366,-0.0021786492,2021-06-04
1.2618,1.2618,1.2618,0.0203784571,2021-06-11
1.2904,1.2904,1.2904,0.0226660327,2021-06-18
1.2934,1.2934,1.2934,0.0023248605,2021-06-25
1.2946,1.2946,1.2946,0.0009277872,2021-06-30
1.2823,1.2823,1.2823,-0.0095010042,2021-07-02
1.2859,1.2859,1.2859,0.0028074554,2021-07-09
1.2911,1.2911,1.2911,0.0040438603,2021-07-16
1.2717,1.2717,1.2717,-0.0150259469,2021-07-23
1.2815,1.2815,1.2815,0.00770622,2021-07-30
