nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-12-01
1.0,1.0,1.0,0.0,2020-12-04
1.005,1.005,1.005,0.005,2020-12-11
1.009,1.009,1.009,0.0039800995,2020-12-18
0.998,0.998,0.998,-0.0109018831,2020-12-25
1.008,1.008,1.008,0.0100200401,2020-12-31
0.961,0.961,0.961,-0.0466269841,2021-01-08
0.957,0.957,0.957,-0.0041623309,2021-01-15
0.953,0.953,0.953,-0.0041797283,2021-01-22
0.93,0.93,0.93,-0.0241343127,2021-01-29
0.959,0.959,0.959,0.0311827957,2021-02-05
0.973,0.973,0.973,0.0145985401,2021-02-10
0.967,0.967,0.967,-0.0061664954,2021-02-19
0.963,0.963,0.963,-0.0041365047,2021-02-26
0.956,0.956,0.956,-0.0072689512,2021-03-05
0.95,0.95,0.95,-0.0062761506,2021-03-12
0.958,0.958,0.958,0.0084210526,2021-03-19
0.94,0.94,0.94,-0.0187891441,2021-03-26
0.942,0.942,0.942,0.0021276596,2021-03-31
0.941,0.941,0.941,-0.0010615711,2021-04-02
0.957,0.957,0.957,0.0170031881,2021-04-09
0.942,0.942,0.942,-0.0156739812,2021-04-16
0.926,0.926,0.926,-0.016985138,2021-04-23
0.932,0.932,0.932,0.0064794816,2021-04-30
0.936,0.936,0.936,0.0042918455,2021-05-07
0.927,0.927,0.927,-0.0096153846,2021-05-14
0.933,0.933,0.933,0.0064724919,2021-05-21
0.907,0.907,0.907,-0.0278670954,2021-05-28
0.91,0.91,0.91,0.0033076075,2021-05-31
0.942,0.942,0.942,0.0351648352,2021-06-04
0.958,0.958,0.958,0.016985138,2021-06-11
0.961,0.961,0.961,0.003131524,2021-06-18
0.975,0.975,0.975,0.0145681582,2021-06-25
0.983,0.983,0.983,0.0082051282,2021-06-30
0.977,0.977,0.977,-0.006103764,2021-07-02
0.991,0.991,0.991,0.0143295803,2021-07-09
1.0,1.0,1.0,0.0090817356,2021-07-16
1.013,1.013,1.013,0.013,2021-07-23
0.954,0.954,0.954,-0.058242843,2021-07-30
0.961,0.961,0.961,0.0073375262,2021-08-06
0.951,0.951,0.951,-0.0104058273,2021-08-13
0.921,0.921,0.921,-0.0315457413,2021-08-20
0.921,0.921,0.921,0.0,2021-08-27
0.925,0.925,0.925,0.0043431053,2021-08-31
0.919,0.919,0.919,-0.0064864865,2021-09-03
0.944,0.944,0.944,0.027203482,2021-09-10
0.951,0.951,0.951,0.0074152542,2021-09-17
0.962,0.962,0.962,0.0115667718,2021-09-24
0.959,0.959,0.959,-0.0031185031,2021-09-30
0.969,0.969,0.969,0.0104275287,2021-10-08
0.966,0.966,0.966,-0.0030959752,2021-10-15
0.965,0.965,0.965,-0.0010351967,2021-10-22
0.963,0.963,0.963,-0.0020725389,2021-10-29
0.985,0.985,0.985,0.0228452752,2021-11-05
0.975,0.975,0.975,-0.0101522843,2021-11-12
0.99,0.99,0.99,0.0153846154,2021-11-19
1.015,1.015,1.015,0.0252525253,2021-11-26
1.019,1.019,1.019,0.0039408867,2021-11-30
1.028,1.028,1.028,0.0088321884,2021-12-03
1.036,1.036,1.036,0.0077821012,2021-12-10
1.033,1.033,1.033,-0.0028957529,2021-12-17
1.042,1.042,1.042,0.0087124879,2021-12-24
1.047,1.047,1.047,0.0047984645,2021-12-31
1.041,1.041,1.041,-0.005730659,2022-01-07
1.023,1.023,1.023,-0.0172910663,2022-01-14
1.023,1.023,1.023,0.0,2022-01-21
1.011,1.011,1.011,-0.0117302053,2022-01-28
1.016,1.016,1.016,0.0049455984,2022-02-11
1.002,1.002,1.002,-0.0137795276,2022-02-18
0.947,0.947,0.947,-0.0548902196,2022-02-25
0.943,0.943,0.943,-0.0042238648,2022-02-28
0.932,0.932,0.932,-0.0116648993,2022-03-04
