nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2023-09-19
1.0,1.0,1.0,-9.999e-05,2023-09-22
0.9999,0.9999,0.9999,-0.0001,2023-09-28
0.9998,0.9998,0.9998,-0.00010001,2023-10-09
1.0055,1.0055,1.0055,0.0057011402,2023-10-13
0.9614,0.9614,0.9614,-0.0438587767,2023-10-20
0.995,0.995,0.995,0.0349490327,2023-10-27
1.0067,1.0067,1.0067,0.011758794,2023-10-31
1.0114,1.0114,1.0114,0.0046687196,2023-11-03
1.0408,1.0408,1.0408,0.0290686178,2023-11-10
1.077,1.077,1.077,0.0347809377,2023-11-17
1.0704,1.0704,1.0704,-0.0061281337,2023-11-24
1.067,1.067,1.067,-0.0031763827,2023-11-30
1.0773,1.0773,1.0773,0.0096532334,2023-12-01
1.0589,1.0589,1.0589,-0.0170797364,2023-12-08
1.056,1.056,1.056,-0.0027386911,2023-12-15
1.0299,1.0299,1.0299,-0.0247159091,2023-12-22
1.0614,1.0614,1.0614,0.0305854937,2023-12-29
1.0275,1.0275,1.0275,-0.0319389486,2024-01-05
1.0147,1.0147,1.0147,-0.0124574209,2024-01-12
0.9722,0.9722,0.9722,-0.0418843008,2024-01-19
0.9556,0.9556,0.9556,-0.017074676,2024-01-26
0.8592,0.8592,0.8592,-0.1008790289,2024-01-31
0.815,0.815,0.815,-0.051443203,2024-02-02
0.8029,0.8029,0.8029,-0.0148466258,2024-02-08
0.8653,0.8653,0.8653,0.0777182713,2024-02-23
0.8833,0.8833,0.8833,0.020802034,2024-02-29
0.8958,0.8958,0.8958,0.0141514774,2024-03-01
0.9038,0.9038,0.9038,0.0089305649,2024-03-08
0.9438,0.9438,0.9438,0.0442575791,2024-03-15
0.9728,0.9728,0.9728,0.0307268489,2024-03-22
0.9535,0.9535,0.9535,-0.0198396382,2024-03-29
0.9601,0.9601,0.9601,0.0069218668,2024-04-03
0.9408,0.9408,0.9408,-0.0201020727,2024-04-12
0.9154,0.9154,0.9154,-0.0269982993,2024-04-19
0.9387,0.9387,0.9387,0.0254533537,2024-04-26
0.9503,0.9503,0.9503,0.0123575157,2024-04-30
0.9774,0.9774,0.9774,0.0285173103,2024-05-10
0.9802,0.9802,0.9802,0.0028647432,2024-05-17
0.9572,0.9572,0.9572,-0.0234645991,2024-05-24
0.9576,0.9576,0.9576,0.0004178855,2024-05-31
0.9119,0.9119,0.9119,-0.0477234754,2024-06-07
0.9259,0.9259,0.9259,0.0153525606,2024-06-14
0.9137,0.9137,0.9137,-0.0131763689,2024-06-21
0.8924,0.8924,0.8924,-0.0233118091,2024-06-28
0.8718,0.8718,0.8718,-0.0230838189,2024-07-05
0.8856,0.8856,0.8856,0.0158293187,2024-07-12
0.8739,0.8739,0.8739,-0.0132113821,2024-07-19
0.8571,0.8571,0.8571,-0.0192241675,2024-07-26
0.8894,0.8894,0.8894,0.0376852176,2024-07-31
0.8768,0.8768,0.8768,-0.0141668541,2024-08-02
0.8544,0.8544,0.8544,-0.0255474453,2024-08-09
0.8523,0.8523,0.8523,-0.0024578652,2024-08-16
0.8191,0.8191,0.8191,-0.0389534202,2024-08-23
0.8401,0.8401,0.8401,0.0256378953,2024-08-30
0.8197,0.8197,0.8197,-0.0242828235,2024-09-06
0.8029,0.8029,0.8029,-0.0204953032,2024-09-13
0.8129,0.8129,0.8129,0.0124548512,2024-09-20
0.9446,0.9446,0.9446,0.1620125477,2024-09-27
1.0548,1.0548,1.0548,0.1166631378,2024-09-30
1.0102,1.0102,1.0102,-0.0422828972,2024-10-11
1.0758,1.0758,1.0758,0.0649376361,2024-10-18
1.1315,1.1315,1.1315,0.0517754229,2024-10-25
1.1807,1.1807,1.1807,0.0434821034,2024-10-31
1.1466,1.1466,1.1466,-0.0288811722,2024-11-01
1.256,1.256,1.256,0.095412524,2024-11-08
1.1929,1.1929,1.1929,-0.0502388535,2024-11-15
1.1805,1.1805,1.1805,-0.0103948361,2024-11-22
