nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-09-13
1.0,1.0,1.0,0.0,2018-09-14
1.0,1.0,1.0,0.0,2018-09-21
1.0,1.0,1.0,0.0,2018-09-28
1.0,1.0,1.0,0.0,2018-10-12
1.004,1.004,1.004,0.004,2018-10-19
0.998,0.998,0.998,-0.0059760956,2018-10-26
1.0,1.0,1.0,0.002004008,2018-11-01
0.999,0.999,0.999,-0.001,2018-11-02
1.001,1.001,1.001,0.002002002,2018-11-05
1.002,1.002,1.002,0.000999001,2018-11-06
1.006,1.006,1.006,0.003992016,2018-11-07
1.007,1.007,1.007,0.0009940358,2018-11-08
1.011,1.011,1.011,0.0039721946,2018-11-09
1.021,1.021,1.021,0.0098911968,2018-11-12
1.022,1.022,1.022,0.0009794319,2018-11-13
1.023,1.023,1.023,0.0009784736,2018-11-14
1.022,1.022,1.022,-0.0009775171,2018-11-15
1.018,1.018,1.018,-0.0039138943,2018-11-16
1.019,1.019,1.019,0.0009823183,2018-11-19
1.023,1.023,1.023,0.0039254171,2018-11-20
1.027,1.027,1.027,0.0039100684,2018-11-21
1.031,1.031,1.031,0.0038948393,2018-11-22
1.037,1.037,1.037,0.0058195926,2018-11-23
1.036,1.036,1.036,-0.0009643202,2018-11-26
1.027,1.027,1.027,-0.0086872587,2018-11-27
1.029,1.029,1.029,0.0019474197,2018-11-28
1.03,1.03,1.03,0.0009718173,2018-11-29
1.037,1.037,1.037,0.0067961165,2018-11-30
1.026,1.026,1.026,-0.0106075217,2018-12-07
1.013,1.013,1.013,-0.0126705653,2018-12-12
1.014,1.014,1.014,0.0009871668,2018-12-14
1.014,1.014,1.014,0.0,2018-12-21
1.014,1.014,1.014,0.0,2018-12-24
0.99,0.99,0.99,-0.0236686391,2018-12-28
0.994,0.994,0.994,0.004040404,2019-01-04
1.002,1.002,1.002,0.0080482897,2019-01-11
1.03,1.03,1.03,0.0279441118,2019-01-18
1.057,1.057,1.057,0.0262135922,2019-01-25
1.075,1.075,1.075,0.0170293283,2019-02-01
1.109,1.109,1.109,0.031627907,2019-02-15
1.104,1.104,1.104,-0.0045085663,2019-02-22
1.099,1.099,1.099,-0.0045289855,2019-03-01
1.105,1.105,1.105,0.0054595086,2019-03-04
1.1,1.1,1.1,-0.0045248869,2019-03-05
1.107,1.107,1.107,0.0063636364,2019-03-06
1.098,1.098,1.098,-0.0081300813,2019-03-07
1.1,1.1,1.1,0.0018214936,2019-03-08
1.104,1.104,1.104,0.0036363636,2019-03-11
1.109,1.109,1.109,0.0045289855,2019-03-12
1.111,1.111,1.111,0.0018034265,2019-03-13
1.112,1.112,1.112,0.00090009,2019-03-14
1.12,1.12,1.12,0.0071942446,2019-03-15
1.132,1.132,1.132,0.0107142857,2019-03-18
1.131,1.131,1.131,-0.0008833922,2019-03-19
1.128,1.128,1.128,-0.0026525199,2019-03-20
1.12,1.12,1.12,-0.0070921986,2019-03-21
1.115,1.115,1.115,-0.0044642857,2019-03-22
1.116,1.116,1.116,0.000896861,2019-03-25
1.104,1.104,1.104,-0.0107526882,2019-03-26
1.096,1.096,1.096,-0.0072463768,2019-03-27
1.096,1.096,1.096,0.0,2019-03-28
1.102,1.102,1.102,0.0054744526,2019-03-29
1.098,1.098,1.098,-0.0036297641,2019-04-01
1.108,1.108,1.108,0.0091074681,2019-04-02
1.148,1.148,1.148,0.036101083,2019-04-03
1.137,1.137,1.137,-0.0095818815,2019-04-04
1.121,1.121,1.121,-0.0140721196,2019-04-08
1.009,1.113,1.113,-0.0071364853,2019-04-09
1.016,1.12,1.12072151,0.0069375619,2019-04-10
1.01,1.114,1.11410307,-0.0059055118,2019-04-11
1.011,1.115,1.11520614,0.000990099,2019-04-12
1.028,1.132,1.13395837,0.0168150346,2019-04-15
1.029,1.133,1.13506145,0.0009727626,2019-04-16
1.029,1.133,1.13506145,0.0,2019-04-17
1.031,1.135,1.13726759,0.0019436346,2019-04-18
1.032,1.136,1.13837066,0.0009699321,2019-04-19
