nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-01-10
0.9998,0.9998,0.9998,-0.0002,2025-01-17
0.9996,0.9996,0.9996,-0.00020004,2025-01-24
0.9996,0.9996,0.9996,0.0,2025-01-27
0.9997,0.9997,0.9997,0.00010004,2025-02-07
0.9998,0.9998,0.9998,0.00010003,2025-02-14
0.9998,0.9998,0.9998,0.0,2025-02-21
0.9752,0.9752,0.9752,-0.024604921,2025-02-28
0.9735,0.9735,0.9735,-0.0017432322,2025-03-07
0.9894,0.9894,0.9894,0.0163328197,2025-03-14
0.9561,0.9561,0.9561,-0.0336567617,2025-03-21
0.975,0.975,0.975,0.0197678067,2025-03-28
0.9655,0.9655,0.9655,-0.0097435897,2025-03-31
0.9667,0.9667,0.9667,0.0012428793,2025-04-03
0.9161,0.9161,0.9161,-0.0523430227,2025-04-11
0.9205,0.9205,0.9205,0.0048029691,2025-04-18
0.9175,0.9175,0.9175,-0.0032590983,2025-04-25
0.921,0.921,0.921,0.0038147139,2025-04-30
0.9177,0.9177,0.9177,-0.0035830619,2025-05-09
0.8659,0.8659,0.8659,-0.0564454615,2025-05-16
0.8853,0.8853,0.8853,0.0224044347,2025-05-23
0.873,0.873,0.873,-0.0138935954,2025-05-30
0.8954,0.8954,0.8954,0.0256586483,2025-06-06
0.9072,0.9072,0.9072,0.0131784677,2025-06-13
0.9078,0.9078,0.9078,0.0006613757,2025-06-20
0.9207,0.9207,0.9207,0.0142101785,2025-06-27
0.9162,0.9162,0.9162,-0.0048875855,2025-06-30
0.9353,0.9353,0.9353,0.0208469766,2025-07-04
0.9322,0.9322,0.9322,-0.0033144446,2025-07-11
0.9444,0.9444,0.9444,0.0130873203,2025-07-18
0.9692,0.9692,0.9692,0.0262600593,2025-07-25
0.9466,0.9466,0.9466,-0.0233182006,2025-07-31
0.9389,0.9389,0.9389,-0.0081343757,2025-08-01
0.9684,0.9684,0.9684,0.0314197465,2025-08-08
0.9858,0.9858,0.9858,0.0179677819,2025-08-15
0.9811,0.9811,0.9811,-0.0047677014,2025-08-22
1.0132,1.0132,1.0132,0.0327183773,2025-08-29
1.0243,1.0243,1.0243,0.0109553889,2025-09-05
1.0544,1.0544,1.0544,0.0293859221,2025-09-12
1.0371,1.0371,1.0371,-0.0164074355,2025-09-19
1.0623,1.0623,1.0623,0.0242985247,2025-09-26
1.0993,1.0993,1.0993,0.0348300857,2025-09-30
1.1366,1.1366,1.1366,0.0339306832,2025-10-10
1.1488,1.1488,1.1488,0.0107337674,2025-10-17
1.14,1.14,1.14,-0.0076601671,2025-10-24
1.176,1.176,1.176,0.0315789474,2025-10-31
1.1449,1.1449,1.1449,-0.0264455782,2025-11-07
1.1541,1.1541,1.1541,0.0080356363,2025-11-14
1.119,1.119,1.119,-0.0304133091,2025-11-21
1.1196,1.1196,1.1196,0.000536193,2025-11-28
1.1511,1.1511,1.1511,0.0281350482,2025-12-05
1.1472,1.1472,1.1472,-0.0033880636,2025-12-12
1.1537,1.1537,1.1537,0.0056659693,2025-12-19
1.0,1.2329,1.2329,0.0686486955,2025-12-26
0.9782,1.2111,1.20602278,-0.0218,2025-12-31
1.0246,1.2575,1.26322934,0.0474340626,2026-01-09
1.0611,1.294,1.30823019,0.035623658,2026-01-16
1.093,1.3259,1.3475597,0.030063142,2026-01-23
1.1364,1.3693,1.40106756,0.0397072278,2026-01-30
1.055,1.2879,1.3007095,-0.0716297078,2026-02-06
1.0732,1.3061,1.32314828,0.0172511848,2026-02-13
1.0909,1.3238,1.34497061,0.016492732,2026-02-27
1.098,1.3309,1.3537242,0.0065083876,2026-03-06
1.1271,1.36,1.38960159,0.0265027322,2026-03-13
1.0926,1.3255,1.34706654,-0.0306095289,2026-03-20
1.0834,1.3163,1.33572386,-0.0084202819,2026-03-27
1.0738,1.3067,1.32388802,-0.0088609932,2026-04-03
1.0891,1.322,1.34275139,0.0142484634,2026-04-10
1.1346,1.3675,1.39884834,0.0417776145,2026-04-17
1.1435,1.3764,1.40982115,0.0078441742,2026-04-24
1.1358,1.3687,1.40032782,-0.0067337123,2026-04-30
1.16,1.3929,1.430164,0.0213065681,2026-05-08
1.17,1.4029,1.442493,0.0086206897,2026-05-15
1.1633,1.3962,1.43423257,-0.0057264957,2026-05-22
