nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-30
1.0,1.0,1.0,0.0,2025-07-01
1.0,1.0,1.0,0.0,2025-07-02
1.0,1.0,1.0,0.0,2025-07-03
1.0,1.0,1.0,0.0,2025-07-04
0.9999,0.9999,0.9999,-0.0001,2025-07-07
0.9999,0.9999,0.9999,0.0,2025-07-08
0.9999,0.9999,0.9999,0.0,2025-07-09
0.9999,0.9999,0.9999,0.0,2025-07-10
0.9999,0.9999,0.9999,0.0,2025-07-11
0.9998,0.9998,0.9998,-0.00010001,2025-07-14
0.9998,0.9998,0.9998,0.0,2025-07-15
0.9998,0.9998,0.9998,0.0,2025-07-16
1.0,1.0,1.0,0.00020004,2025-07-17
1.0005,1.0005,1.0005,0.0005,2025-07-18
1.0031,1.0031,1.0031,0.0025987006,2025-07-21
1.0092,1.0092,1.0092,0.0060811484,2025-07-22
1.0105,1.0105,1.0105,0.001288149,2025-07-23
1.0201,1.0201,1.0201,0.0095002474,2025-07-24
1.0192,1.0192,1.0192,-0.0008822664,2025-07-25
1.0193,1.0193,1.0193,9.81162e-05,2025-07-28
1.022,1.022,1.022,0.0026488767,2025-07-29
1.0231,1.0231,1.0231,0.0010763209,2025-07-30
1.0154,1.0154,1.0154,-0.007526146,2025-07-31
1.0136,1.0136,1.0136,-0.0017727004,2025-08-01
1.0212,1.0212,1.0212,0.0074980268,2025-08-04
1.0275,1.0275,1.0275,0.0061692127,2025-08-05
1.0325,1.0325,1.0325,0.00486618,2025-08-06
1.0339,1.0339,1.0339,0.0013559322,2025-08-07
1.0334,1.0334,1.0334,-0.0004836058,2025-08-08
1.0363,1.0363,1.0363,0.0028062706,2025-08-11
1.0369,1.0369,1.0369,0.0005789829,2025-08-12
1.0452,1.0452,1.0452,0.0080046292,2025-08-13
1.0423,1.0423,1.0423,-0.0027745886,2025-08-14
1.0499,1.0499,1.0499,0.0072915667,2025-08-15
1.056,1.056,1.056,0.0058100772,2025-08-18
1.0547,1.0547,1.0547,-0.0012310606,2025-08-19
1.0569,1.0569,1.0569,0.0020859012,2025-08-20
1.0575,1.0575,1.0575,0.000567698,2025-08-21
1.0631,1.0631,1.0631,0.0052955083,2025-08-22
1.0734,1.0734,1.0734,0.0096886464,2025-08-25
1.076,1.076,1.076,0.0024222098,2025-08-26
1.0661,1.0661,1.0661,-0.0092007435,2025-08-27
1.0659,1.0659,1.0659,-0.0001875997,2025-08-28
1.0704,1.0704,1.0704,0.0042217844,2025-08-29
1.083,1.083,1.083,0.0117713004,2025-09-01
1.0777,1.0777,1.0777,-0.0048938135,2025-09-02
1.077,1.077,1.077,-0.0006495314,2025-09-03
1.0601,1.0601,1.0601,-0.0156917363,2025-09-04
1.079,1.079,1.079,0.0178285067,2025-09-05
1.0838,1.0838,1.0838,0.0044485635,2025-09-08
1.0827,1.0827,1.0827,-0.0010149474,2025-09-09
1.0818,1.0818,1.0818,-0.0008312552,2025-09-10
1.092,1.092,1.092,0.0094287299,2025-09-11
1.0954,1.0954,1.0954,0.0031135531,2025-09-12
1.0946,1.0946,1.0946,-0.0007303268,2025-09-15
1.0968,1.0968,1.0968,0.0020098666,2025-09-16
1.1001,1.1001,1.1001,0.0030087527,2025-09-17
1.0897,1.0897,1.0897,-0.009453686,2025-09-18
1.0902,1.0902,1.0902,0.0004588419,2025-09-19
1.0927,1.0927,1.0927,0.0022931572,2025-09-22
1.09,1.09,1.09,-0.0024709435,2025-09-23
1.1003,1.1003,1.1003,0.0094495413,2025-09-24
1.1048,1.1048,1.1048,0.0040897937,2025-09-25
1.0986,1.0986,1.0986,-0.0056118755,2025-09-26
1.1085,1.1085,1.1085,0.0090114691,2025-09-29
1.1166,1.1166,1.1166,0.0073071719,2025-09-30
1.1332,1.1332,1.1332,0.0148665592,2025-10-09
1.1225,1.1225,1.1225,-0.0094422873,2025-10-10
1.1222,1.1222,1.1222,-0.0002672606,2025-10-13
1.1059,1.1059,1.1059,-0.0145250401,2025-10-14
1.117,1.117,1.117,0.0100370739,2025-10-15
1.1115,1.1115,1.1115,-0.0049239033,2025-10-16
1.0983,1.0983,1.0983,-0.0118758435,2025-10-17
1.1,1.1,1.1,0.0015478467,2025-10-20
1.1085,1.1085,1.1085,0.0077272727,2025-10-21
1.1026,1.1026,1.1026,-0.0053225079,2025-10-22
1.1025,1.1025,1.1025,-9.06947e-05,2025-10-23
