nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0009,1.0009,1.0009,0.0,2026-04-01
0.9973,0.9973,0.9973,-0.0035967629,2026-04-02
0.995,0.995,0.995,-0.0023062268,2026-04-03
0.9915,0.9915,0.9915,-0.0035175879,2026-04-07
1.0085,1.0085,1.0085,0.0171457388,2026-04-08
1.0214,1.0214,1.0214,0.0127912742,2026-04-21
1.0281,1.0281,1.0281,0.006559624,2026-04-22
1.0234,1.0234,1.0234,-0.0045715397,2026-04-23
1.0216,1.0216,1.0216,-0.0017588431,2026-04-24
1.0148,1.0148,1.0148,-0.0066562255,2026-04-27
1.0168,1.0168,1.0168,0.0019708317,2026-04-28
1.0368,1.0368,1.0368,0.0196695515,2026-04-29
1.0254,1.0254,1.0254,-0.0109953704,2026-04-30
1.045,1.045,1.045,0.0191144919,2026-05-06
1.0439,1.0439,1.0439,-0.0010526316,2026-05-07
1.0339,1.0339,1.0339,-0.0095794616,2026-05-08
1.0487,1.0487,1.0487,0.0143147306,2026-05-11
1.0343,1.0343,1.0343,-0.0137312864,2026-05-12
1.0449,1.0449,1.0449,0.0102484772,2026-05-13
1.0285,1.0285,1.0285,-0.0156952818,2026-05-14
1.0328,1.0328,1.0328,0.0041808459,2026-05-15
1.0149,1.0149,1.0149,-0.0173315259,2026-05-18
1.0178,1.0178,1.0178,0.0028574244,2026-05-19
1.0177,1.0177,1.0177,-9.82511e-05,2026-05-20
1.0156,1.0156,1.0156,-0.0020634765,2026-05-21
1.024,1.024,1.024,0.0082709728,2026-05-22
1.025,1.025,1.025,0.0009765625,2026-05-25
1.0303,1.0303,1.0303,0.0051707317,2026-05-26
