nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9198,0.9198,0.9198,0.0,2024-04-23
0.9434,0.9434,0.9434,0.0256577517,2024-04-26
0.9622,0.9622,0.9622,0.0199279203,2024-04-30
0.9832,0.9832,0.9832,0.0218249844,2024-05-10
0.997,0.997,0.997,0.0140358015,2024-05-17
0.958,0.958,0.958,-0.0391173521,2024-05-24
0.978,0.978,0.978,0.0208768267,2024-05-31
0.9343,0.9343,0.9343,-0.0446830266,2024-06-07
0.9533,0.9533,0.9533,0.0203360805,2024-06-14
0.9575,0.9575,0.9575,0.0044057485,2024-06-21
0.9503,0.9503,0.9503,-0.0075195822,2024-06-28
0.9344,0.9344,0.9344,-0.0167315585,2024-07-05
0.9753,0.9753,0.9753,0.0437714041,2024-07-12
0.9478,0.9478,0.9478,-0.0281964524,2024-07-19
0.9186,0.9186,0.9186,-0.0308081874,2024-07-26
0.9521,0.9521,0.9521,0.0364685391,2024-07-31
0.9516,0.9516,0.9516,-0.0005251549,2024-08-02
0.9236,0.9236,0.9236,-0.0294241278,2024-08-09
0.9207,0.9207,0.9207,-0.0031398874,2024-08-16
0.8919,0.8919,0.8919,-0.0312805474,2024-08-23
0.9296,0.9296,0.9296,0.0422693127,2024-08-30
0.9222,0.9222,0.9222,-0.0079604131,2024-09-06
0.9066,0.9066,0.9066,-0.0169160703,2024-09-13
0.8992,0.8992,0.8992,-0.0081623649,2024-09-20
0.9973,0.9973,0.9973,0.1090969751,2024-09-27
1.0769,1.0769,1.0769,0.0798155019,2024-09-30
1.0555,1.0555,1.0555,-0.0198718544,2024-10-11
1.0691,1.0691,1.0691,0.0128848887,2024-10-18
1.0858,1.0858,1.0858,0.0156206155,2024-10-25
1.0921,1.0921,1.0921,0.0058021735,2024-10-31
1.0723,1.0723,1.0723,-0.0181302079,2024-11-01
1.1235,1.1235,1.1235,0.0477478318,2024-11-08
1.0833,1.0833,1.0833,-0.0357810414,2024-11-15
1.0494,1.0494,1.0494,-0.0312932706,2024-11-22
1.0701,1.0701,1.0701,0.0197255575,2024-11-29
1.0789,1.0789,1.0789,0.0082235305,2024-12-06
1.0976,1.0976,1.0976,0.0173324683,2024-12-13
1.0895,1.0895,1.0895,-0.0073797376,2024-12-20
1.0,1.0803,1.0803,-0.0084442405,2024-12-24
1.0076,1.0879,1.08851028,0.0076,2024-12-27
0.986,1.0663,1.0651758,-0.0214370782,2024-12-31
0.9398,1.0201,1.01526594,-0.0468559838,2025-01-03
0.95,1.0303,1.026285,0.0108533731,2025-01-10
0.9928,1.0731,1.07252184,0.0450526316,2025-01-17
0.9996,1.0799,1.07986788,0.0068493151,2025-01-24
0.9914,1.0717,1.07100942,-0.0082032813,2025-01-27
1.019,1.0993,1.1008257,0.027839419,2025-02-07
1.025,1.1053,1.1073075,0.0058881256,2025-02-14
1.0541,1.1344,1.13874423,0.0283902439,2025-02-21
1.0496,1.1299,1.13388288,-0.0042690447,2025-02-28
1.0751,1.1554,1.16143053,0.0242949695,2025-03-07
1.0917,1.172,1.17936351,0.0154404241,2025-03-14
1.1095,1.1898,1.19859285,0.0163048457,2025-03-21
1.0852,1.1655,1.17234156,-0.0219017575,2025-03-28
1.0791,1.1594,1.16575173,-0.0056210837,2025-03-31
1.0849,1.1652,1.17201747,0.0053748494,2025-04-03
1.0366,1.1169,1.11983898,-0.0445202323,2025-04-11
1.0551,1.1354,1.13982453,0.0178468069,2025-04-18
1.094,1.1743,1.1818482,0.0368685433,2025-04-25
1.0842,1.1645,1.17126126,-0.0089579525,2025-04-30
1.1208,1.2011,1.21080024,0.0337576093,2025-05-09
1.1223,1.2026,1.21242069,0.0013383298,2025-05-16
1.1153,1.1956,1.20485859,-0.0062371915,2025-05-23
1.1376,1.2179,1.22894928,0.0199946203,2025-05-30
1.1591,1.2394,1.25217573,0.0188994374,2025-06-06
1.1605,1.2408,1.25368815,0.0012078337,2025-06-13
1.134,1.2143,1.2250602,-0.0228349849,2025-06-20
1.1746,1.2549,1.26892038,0.0358024691,2025-06-27
1.1871,1.2674,1.28242413,0.0106419207,2025-06-30
1.2153,1.2956,1.31288859,0.0237553702,2025-07-04
1.2426,1.3229,1.34238078,0.0224635892,2025-07-11
1.2509,1.3312,1.35134727,0.0066795429,2025-07-18
1.2848,1.3651,1.38796944,0.0271004876,2025-07-25
1.2945,1.3748,1.39844835,0.0075498132,2025-07-31
1.2948,1.3751,1.39877244,0.0002317497,2025-08-01
1.3475,1.4278,1.45570425,0.0407012666,2025-08-08
1.401,1.4813,1.5135003,0.039703154,2025-08-15
1.4433,1.5236,1.55919699,0.0301927195,2025-08-22
1.444,1.5243,1.5599532,0.0004849997,2025-08-29
1.4577,1.538,1.57475331,0.0094875346,2025-09-05
1.4869,1.5672,1.60629807,0.0200315566,2025-09-12
1.4841,1.5644,1.60327323,-0.0018831125,2025-09-19
1.4836,1.5639,1.60273308,-0.0003369045,2025-09-26
1.5111,1.5914,1.63244133,0.0185359935,2025-09-30
1.5246,1.6049,1.64702538,0.0089338892,2025-10-10
1.485,1.5653,1.6042455,-0.025974026,2025-10-17
1.5199,1.6002,1.64194797,0.0235016835,2025-10-24
1.5241,1.6044,1.64648523,0.0027633397,2025-10-31
1.5488,1.6291,1.67316864,0.0162062857,2025-11-07
1.5526,1.6329,1.67727378,0.0024535124,2025-11-14
1.4415,1.5218,1.55725245,-0.0715573876,2025-11-21
1.4975,1.5778,1.61774925,0.0388484218,2025-11-28
1.0625,1.5864,1.63274484,0.0092694173,2025-12-05
1.0467,1.5706,1.60846497,-0.0148705882,2025-12-12
1.0581,1.582,1.62598336,0.0108913729,2025-12-19
1.0861,1.61,1.66901099,0.0264625272,2025-12-26
1.0843,1.6082,1.66624493,-0.001657306,2025-12-31
1.1369,1.6608,1.7470754,0.0485105598,2026-01-09
1.1533,1.6772,1.7722773,0.0144251913,2026-01-16
1.2057,1.7296,1.85280043,0.0454348392,2026-01-23
1.1763,1.7002,1.80762142,-0.0243841752,2026-01-30
1.1708,1.6947,1.79916956,-0.004675678,2026-02-06
1.1858,1.7097,1.82222008,0.0128117526,2026-02-13
1.2263,1.7502,1.88445647,0.0341541575,2026-02-27
1.1983,1.7222,1.84142884,-0.022832912,2026-03-06
1.1921,1.716,1.8319013,-0.0051739965,2026-03-13
1.139,1.6629,1.75030247,-0.044543243,2026-03-20
1.1506,1.6745,1.7681282,0.0101843723,2026-03-27
1.1478,1.6717,1.76382544,-0.0024335129,2026-03-31
1.1335,1.6574,1.74185062,-0.0124586165,2026-04-03
1.1873,1.7112,1.82452513,0.0474636083,2026-04-10
1.2159,1.7398,1.86847478,0.0240882675,2026-04-17
1.2241,1.748,1.88107573,0.0067439757,2026-04-24
1.2311,1.755,1.89183264,0.0057184871,2026-04-30
1.2585,1.7824,1.93393824,0.0222565186,2026-05-08
1.2325,1.7564,1.89398402,-0.0206595153,2026-05-15
1.2056,1.7295,1.85264676,-0.0218255578,2026-05-22
