nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-01-21
0.9999,0.9999,0.9999,-0.0001,2025-01-24
0.9999,0.9999,0.9999,0.0,2025-01-27
0.9996,0.9996,0.9996,-0.00030003,2025-02-07
0.9994,0.9994,0.9994,-0.00020008,2025-02-14
0.9992,0.9992,0.9992,-0.0002001201,2025-02-21
0.999,0.999,0.999,-0.0002001601,2025-02-28
1.0192,1.0192,1.0192,0.0202202202,2025-03-07
1.0179,1.0179,1.0179,-0.0012755102,2025-03-14
0.9768,0.9768,0.9768,-0.0403772473,2025-03-21
0.9822,0.9822,0.9822,0.0055282555,2025-03-28
0.9572,0.9572,0.9572,-0.0254530645,2025-03-31
0.9541,0.9541,0.9541,-0.0032386126,2025-04-03
1.0049,1.0049,1.0049,0.0532438948,2025-04-11
1.0095,1.0095,1.0095,0.0045775699,2025-04-18
1.022,1.022,1.022,0.0123823675,2025-04-25
1.0165,1.0165,1.0165,-0.0053816047,2025-04-30
1.0081,1.0081,1.0081,-0.0082636498,2025-05-09
1.0069,1.0069,1.0069,-0.0011903581,2025-05-16
0.9938,0.9938,0.9938,-0.0130102294,2025-05-23
0.9995,0.9995,0.9995,0.0057355605,2025-05-30
1.0185,1.0185,1.0185,0.0190095048,2025-06-06
1.0176,1.0176,1.0176,-0.0008836524,2025-06-13
0.9765,0.9765,0.9765,-0.0403891509,2025-06-20
1.0226,1.0226,1.0226,0.0472094214,2025-06-27
1.0353,1.0353,1.0353,0.0124193233,2025-06-30
1.012,1.012,1.012,-0.0225055539,2025-07-04
1.0462,1.0462,1.0462,0.0337944664,2025-07-11
1.0447,1.0447,1.0447,-0.0014337603,2025-07-18
1.0861,1.0861,1.0861,0.0396286015,2025-07-25
1.1104,1.1104,1.1104,0.0223736304,2025-07-31
1.0823,1.0823,1.0823,-0.025306196,2025-08-01
1.0918,1.0918,1.0918,0.0087776033,2025-08-08
1.1862,1.1862,1.1862,0.0864627221,2025-08-15
1.1035,1.2284,1.2284,0.0355757882,2025-08-20
1.1209,1.2458,1.24776942,0.0157680109,2025-08-22
1.1702,1.2951,1.30264946,0.0439825141,2025-08-29
1.0921,1.217,1.21570969,-0.0667407281,2025-09-05
1.135,1.2599,1.26346534,0.039282117,2025-09-12
1.1231,1.248,1.25021843,-0.0104845815,2025-09-19
1.1029,1.2278,1.22773209,-0.0179859318,2025-09-26
1.143,1.2679,1.27237082,0.0363586907,2025-09-30
1.1111,1.236,1.23686021,-0.0279090114,2025-10-10
1.0327,1.1576,1.14958648,-0.0705607056,2025-10-17
1.06,1.1849,1.17997644,0.0264355573,2025-10-24
1.0694,1.1943,1.19044038,0.0088679245,2025-10-31
1.0445,1.1694,1.16272207,-0.0232840845,2025-11-07
1.0111,1.136,1.12554168,-0.0319770225,2025-11-14
0.9315,1.0564,1.03693213,-0.0787261398,2025-11-21
0.9512,1.0761,1.05886188,0.0211486849,2025-11-28
0.9518,1.0767,1.05952979,0.0006307822,2025-12-05
0.9755,1.1004,1.08591228,0.0249001891,2025-12-12
0.9766,1.1015,1.08713678,0.0011276269,2025-12-19
1.0398,1.1647,1.1574901,0.064714315,2025-12-26
1.0515,1.1764,1.17051436,0.0112521639,2025-12-31
1.1505,1.2754,1.28071971,0.0941512126,2026-01-09
1.1694,1.2943,1.30175891,0.0164276402,2026-01-16
1.1711,1.296,1.30365133,0.001453737,2026-01-23
1.0998,1.2247,1.22428121,-0.0608829306,2026-01-30
1.1033,1.2282,1.22817736,0.0031823968,2026-02-06
1.1215,1.2464,1.24843734,0.0164959666,2026-02-13
1.1554,1.2803,1.28617432,0.0302273741,2026-02-27
1.1101,1.235,1.23574702,-0.039207201,2026-03-06
1.0429,1.1678,1.16094097,-0.0605350869,2026-03-13
0.9763,1.1012,1.08680283,-0.0638603893,2026-03-20
0.9463,1.0712,1.05340727,-0.0307282598,2026-03-27
0.9426,1.0675,1.04928848,-0.0039099651,2026-03-31
0.9194,1.0443,1.02346258,-0.0246127732,2026-04-03
0.9885,1.1134,1.10038369,0.0751577116,2026-04-10
1.0761,1.201,1.19789872,0.0886191199,2026-04-17
1.0419,1.1668,1.15982778,-0.031781433,2026-04-24
1.0451,1.17,1.16338998,0.003071312,2026-04-30
1.1341,1.259,1.26246347,0.0851593149,2026-05-08
1.1094,1.2343,1.23496779,-0.0217793845,2026-05-15
1.1294,1.2543,1.2572315,0.0180277628,2026-05-22
