nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-08-19
1.0,1.0,1.0,0.0,2022-08-22
1.0,1.0,1.0,0.0,2022-08-23
1.0,1.0,1.0,0.0,2022-08-24
1.0,1.0,1.0,0.0,2022-08-25
1.0,1.0,1.0,0.0,2022-08-26
1.0,1.0,1.0,0.0,2022-08-29
1.0,1.0,1.0,0.0,2022-08-30
1.0,1.0,1.0,0.0,2022-08-31
0.999,0.999,0.999,-0.001,2022-09-01
1.001,1.001,1.001,0.002002002,2022-09-02
1.0,1.0,1.0,-0.000999001,2022-09-05
1.004,1.004,1.004,0.004,2022-09-06
1.002,1.002,1.002,-0.0019920319,2022-09-07
0.998,0.998,0.998,-0.003992016,2022-09-08
1.004,1.004,1.004,0.006012024,2022-09-09
1.004,1.004,1.004,0.0,2022-09-13
1.002,1.002,1.002,-0.0019920319,2022-09-14
0.997,0.997,0.997,-0.00499002,2022-09-15
0.981,0.981,0.981,-0.0160481444,2022-09-16
0.97,0.97,0.97,-0.0112130479,2022-09-19
0.976,0.976,0.976,0.006185567,2022-09-20
0.988,0.988,0.988,0.012295082,2022-09-21
0.986,0.986,0.986,-0.0020242915,2022-09-22
0.973,0.973,0.973,-0.0131845842,2022-09-23
0.95,0.95,0.95,-0.0236382323,2022-09-26
0.972,0.972,0.972,0.0231578947,2022-09-27
0.95,0.95,0.95,-0.0226337449,2022-09-28
0.936,0.936,0.936,-0.0147368421,2022-09-29
0.932,0.932,0.932,-0.0042735043,2022-09-30
0.915,0.915,0.915,-0.0182403433,2022-10-10
0.918,0.918,0.918,0.0032786885,2022-10-11
0.946,0.946,0.946,0.0305010893,2022-10-12
0.956,0.956,0.956,0.0105708245,2022-10-13
0.984,0.984,0.984,0.0292887029,2022-10-14
1.004,1.004,1.004,0.0203252033,2022-10-17
1.003,1.003,1.003,-0.0009960159,2022-10-18
0.999,0.999,0.999,-0.0039880359,2022-10-19
1.003,1.003,1.003,0.004004004,2022-10-20
1.0,1.0,1.0,-0.0029910269,2022-10-21
0.977,0.977,0.977,-0.023,2022-10-24
0.971,0.971,0.971,-0.0061412487,2022-10-25
1.003,1.003,1.003,0.0329557158,2022-10-26
1.005,1.005,1.005,0.0019940179,2022-10-27
0.963,0.963,0.963,-0.0417910448,2022-10-28
0.983,0.983,0.983,0.020768432,2022-10-31
1.01,1.01,1.01,0.0274669379,2022-11-01
1.029,1.029,1.029,0.0188118812,2022-11-02
1.024,1.024,1.024,-0.0048590865,2022-11-03
1.042,1.042,1.042,0.017578125,2022-11-04
1.055,1.055,1.055,0.0124760077,2022-11-07
1.057,1.057,1.057,0.0018957346,2022-11-08
1.058,1.058,1.058,0.0009460738,2022-11-09
1.061,1.061,1.061,0.0028355388,2022-11-10
1.074,1.074,1.074,0.0122525919,2022-11-11
1.085,1.085,1.085,0.0102420857,2022-11-14
1.106,1.106,1.106,0.0193548387,2022-11-15
1.104,1.104,1.104,-0.0018083183,2022-11-16
1.113,1.113,1.113,0.0081521739,2022-11-17
1.108,1.108,1.108,-0.004492363,2022-11-18
1.101,1.101,1.101,-0.0063176895,2022-11-21
1.092,1.092,1.092,-0.0081743869,2022-11-22
1.087,1.087,1.087,-0.0045787546,2022-11-23
1.092,1.092,1.092,0.004599816,2022-11-24
1.092,1.092,1.092,0.0,2022-11-25
1.086,1.086,1.086,-0.0054945055,2022-11-28
1.121,1.121,1.121,0.032228361,2022-11-29
1.12,1.12,1.12,-0.0008920607,2022-11-30
1.133,1.133,1.133,0.0116071429,2022-12-01
1.14,1.14,1.14,0.0061782877,2022-12-02
1.154,1.154,1.154,0.0122807018,2022-12-05
1.149,1.149,1.149,-0.0043327556,2022-12-06
1.147,1.147,1.147,-0.001740644,2022-12-07
1.145,1.145,1.145,-0.0017436792,2022-12-08
1.15,1.15,1.15,0.0043668122,2022-12-09
1.141,1.141,1.141,-0.007826087,2022-12-12
1.143,1.143,1.143,0.0017528484,2022-12-13
1.138,1.138,1.138,-0.0043744532,2022-12-14
1.139,1.139,1.139,0.0008787346,2022-12-15
1.132,1.132,1.132,-0.0061457419,2022-12-16
1.112,1.112,1.112,-0.0176678445,2022-12-19
1.106,1.106,1.106,-0.0053956835,2022-12-20
1.099,1.099,1.099,-0.0063291139,2022-12-21
1.089,1.089,1.089,-0.0090991811,2022-12-22
1.092,1.092,1.092,0.0027548209,2022-12-23
1.103,1.103,1.103,0.0100732601,2022-12-26
1.113,1.113,1.113,0.0090661831,2022-12-27
1.104,1.104,1.104,-0.0080862534,2022-12-28
1.098,1.098,1.098,-0.0054347826,2022-12-29
1.104,1.104,1.104,0.0054644809,2022-12-30
1.125,1.125,1.125,0.0190217391,2023-01-03
1.137,1.137,1.137,0.0106666667,2023-01-04
1.145,1.145,1.145,0.0070360598,2023-01-05
1.146,1.146,1.146,0.0008733624,2023-01-06
1.157,1.157,1.157,0.0095986038,2023-01-09
1.153,1.153,1.153,-0.0034572169,2023-01-10
1.151,1.151,1.151,-0.0017346054,2023-01-11
1.153,1.153,1.153,0.0017376195,2023-01-12
1.157,1.157,1.157,0.0034692108,2023-01-13
1.17,1.17,1.17,0.0112359551,2023-01-16
1.174,1.174,1.174,0.0034188034,2023-01-17
1.176,1.176,1.176,0.0017035775,2023-01-18
1.181,1.181,1.181,0.0042517007,2023-01-19
1.191,1.191,1.191,0.0084674005,2023-01-20
1.202,1.202,1.202,0.0092359362,2023-01-30
1.208,1.208,1.208,0.0049916805,2023-01-31
1.224,1.224,1.224,0.0132450331,2023-02-01
1.23,1.23,1.23,0.0049019608,2023-02-02
1.229,1.229,1.229,-0.0008130081,2023-02-03
1.223,1.223,1.223,-0.0048820179,2023-02-06
1.227,1.227,1.227,0.003270646,2023-02-07
1.221,1.221,1.221,-0.0048899756,2023-02-08
1.232,1.232,1.232,0.009009009,2023-02-09
1.232,1.232,1.232,0.0,2023-02-10
1.235,1.235,1.235,0.0024350649,2023-02-13
1.235,1.235,1.235,0.0,2023-02-14
1.235,1.235,1.235,0.0,2023-02-15
1.216,1.216,1.216,-0.0153846154,2023-02-16
1.217,1.217,1.217,0.0008223684,2023-02-17
1.225,1.225,1.225,0.0065735415,2023-02-20
1.23,1.23,1.23,0.0040816327,2023-02-21
1.23,1.23,1.23,0.0,2023-02-22
1.228,1.228,1.228,-0.0016260163,2023-02-23
1.222,1.222,1.222,-0.0048859935,2023-02-24
1.225,1.225,1.225,0.0024549918,2023-02-28
1.229,1.229,1.229,0.0032653061,2023-03-03
1.212,1.212,1.212,-0.0138323841,2023-03-10
1.199,1.199,1.199,-0.0107260726,2023-03-17
1.234,1.234,1.234,0.0291909925,2023-03-24
1.226,1.226,1.226,-0.0064829822,2023-03-31
1.232,1.232,1.232,0.0048939641,2023-04-07
1.22,1.22,1.22,-0.0097402597,2023-04-10
1.227,1.227,1.227,0.0057377049,2023-04-14
