nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-23
1.0,1.0,1.0,0.0,2022-09-26
1.0,1.0,1.0,0.0,2022-09-27
1.0,1.0,1.0,0.0,2022-09-28
1.0,1.0,1.0,0.0,2022-09-29
1.0,1.0,1.0,0.0,2022-09-30
1.0,1.0,1.0,0.0,2022-10-10
1.0,1.0,1.0,0.0,2022-10-11
1.002,1.002,1.002,0.002,2022-10-12
0.999,0.999,0.999,-0.002994012,2022-10-13
1.004,1.004,1.004,0.005005005,2022-10-14
1.005,1.005,1.005,0.0009960159,2022-10-17
1.004,1.004,1.004,-0.0009950249,2022-10-18
0.999,0.999,0.999,-0.0049800797,2022-10-19
0.996,0.996,0.996,-0.003003003,2022-10-20
0.997,0.997,0.997,0.0010040161,2022-10-21
0.988,0.988,0.988,-0.0090270812,2022-10-24
0.986,0.986,0.986,-0.0020242915,2022-10-25
0.992,0.992,0.992,0.0060851927,2022-10-26
0.994,0.994,0.994,0.002016129,2022-10-27
0.982,0.982,0.982,-0.0120724346,2022-10-28
0.98,0.98,0.98,-0.0020366599,2022-10-31
0.989,0.989,0.989,0.0091836735,2022-11-01
0.995,0.995,0.995,0.0060667341,2022-11-02
0.991,0.991,0.991,-0.0040201005,2022-11-03
1.007,1.007,1.007,0.0161453078,2022-11-04
1.007,1.007,1.007,0.0,2022-11-07
1.002,1.002,1.002,-0.0049652433,2022-11-08
0.998,0.998,0.998,-0.003992016,2022-11-09
0.994,0.994,0.994,-0.004008016,2022-11-10
1.009,1.009,1.009,0.0150905433,2022-11-11
1.011,1.011,1.011,0.0019821606,2022-11-14
1.03,1.03,1.03,0.018793274,2022-11-15
1.023,1.023,1.023,-0.0067961165,2022-11-16
1.022,1.022,1.022,-0.0009775171,2022-11-17
1.015,1.015,1.015,-0.0068493151,2022-11-18
1.013,1.013,1.013,-0.0019704433,2022-11-21
1.005,1.005,1.005,-0.0078973346,2022-11-22
1.005,1.005,1.005,0.0,2022-11-23
1.004,1.004,1.004,-0.0009950249,2022-11-24
1.008,1.008,1.008,0.0039840637,2022-11-25
1.001,1.001,1.001,-0.0069444444,2022-11-28
1.015,1.015,1.015,0.013986014,2022-11-29
1.013,1.013,1.013,-0.0019704433,2022-11-30
1.013,1.013,1.013,0.0,2022-12-01
1.012,1.012,1.012,-0.0009871668,2022-12-02
1.02,1.02,1.02,0.0079051383,2022-12-05
1.014,1.014,1.014,-0.0058823529,2022-12-06
1.008,1.008,1.008,-0.0059171598,2022-12-07
1.009,1.009,1.009,0.0009920635,2022-12-08
1.013,1.013,1.013,0.0039643211,2022-12-09
1.007,1.007,1.007,-0.005923001,2022-12-12
1.003,1.003,1.003,-0.0039721946,2022-12-13
1.004,1.004,1.004,0.000997009,2022-12-14
1.002,1.002,1.002,-0.0019920319,2022-12-15
0.999,0.999,0.999,-0.002994012,2022-12-16
0.991,0.991,0.991,-0.008008008,2022-12-19
0.988,0.988,0.988,-0.0030272452,2022-12-20
0.987,0.987,0.987,-0.0010121457,2022-12-21
0.986,0.986,0.986,-0.0010131712,2022-12-22
0.985,0.985,0.985,-0.0010141988,2022-12-23
0.987,0.987,0.987,0.0020304569,2022-12-26
0.99,0.99,0.99,0.0030395137,2022-12-27
0.989,0.989,0.989,-0.001010101,2022-12-28
0.986,0.986,0.986,-0.003033367,2022-12-29
0.988,0.988,0.988,0.0020283976,2022-12-30
0.994,0.994,0.994,0.0060728745,2023-01-03
0.997,0.997,0.997,0.0030181087,2023-01-04
