nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-05-27
1.0001,1.0001,1.0001,0.0001,2025-05-30
1.0011,1.0011,1.0011,0.0009999,2025-06-06
1.0116,1.0116,1.0116,0.0104884627,2025-06-13
1.0009,1.0009,1.0009,-0.0105773033,2025-06-20
1.0117,1.0117,1.0117,0.0107902887,2025-06-27
1.0139,1.0139,1.0139,0.0021745577,2025-06-30
1.0275,1.0275,1.0275,0.0134135516,2025-07-04
1.045,1.045,1.045,0.0170316302,2025-07-11
1.0515,1.0515,1.0515,0.0062200957,2025-07-18
1.0813,1.0813,1.0813,0.028340466,2025-07-25
1.055,1.055,1.055,-0.0243225747,2025-07-31
1.0565,1.0565,1.0565,0.0014218009,2025-08-01
1.1068,1.1068,1.1068,0.0476100331,2025-08-08
1.1595,1.1595,1.1595,0.0476147452,2025-08-15
1.1922,1.1922,1.1922,0.0282018111,2025-08-22
1.2038,1.2038,1.2038,0.0097299111,2025-08-29
1.2493,1.2493,1.2493,0.0377969762,2025-09-05
1.2709,1.2709,1.2709,0.0172896822,2025-09-12
1.2982,1.2982,1.2982,0.0214808403,2025-09-19
1.2645,1.2645,1.2645,-0.0259590202,2025-09-26
1.2787,1.2787,1.2787,0.0112297351,2025-09-30
1.2813,1.2813,1.2813,0.0020333151,2025-10-10
1.2267,1.2267,1.2267,-0.0426129712,2025-10-17
1.2789,1.2789,1.2789,0.0425531915,2025-10-24
1.303,1.303,1.303,0.0188443193,2025-10-31
1.3299,1.3299,1.3299,0.0206446662,2025-11-07
1.3124,1.3124,1.3124,-0.0131588841,2025-11-14
1.2538,1.2538,1.2538,-0.044651021,2025-11-21
1.2734,1.2734,1.2734,0.0156324773,2025-11-28
1.2863,1.2863,1.2863,0.0101303597,2025-12-05
1.2993,1.2993,1.2993,0.010106507,2025-12-12
1.291,1.291,1.291,-0.0063880551,2025-12-19
1.2892,1.2892,1.2892,-0.001394268,2025-12-26
1.2763,1.2763,1.2763,-0.0100062054,2025-12-31
1.2822,1.2822,1.2822,0.0046227376,2026-01-09
1.2808,1.2808,1.2808,-0.0010918733,2026-01-16
1.3178,1.3178,1.3178,0.0288881949,2026-01-23
1.3264,1.3264,1.3264,0.0065260282,2026-01-30
1.309,1.309,1.309,-0.0131182147,2026-02-06
1.3259,1.3259,1.3259,0.0129106188,2026-02-13
1.3071,1.3071,1.3071,-0.0141790482,2026-02-27
1.3066,1.3066,1.3066,-0.0003825262,2026-03-06
1.3235,1.3235,1.3235,0.0129343334,2026-03-13
1.2799,1.2799,1.2799,-0.0329429543,2026-03-20
1.2744,1.2744,1.2744,-0.0042972107,2026-03-27
1.2598,1.2598,1.2598,-0.0114563716,2026-04-03
1.2884,1.2884,1.2884,0.0227020162,2026-04-10
1.2757,1.2757,1.2757,-0.0098571872,2026-04-17
1.279,1.279,1.279,0.0025868151,2026-04-24
1.2671,1.2671,1.2671,-0.0093041439,2026-04-30
1.2939,1.2939,1.2939,0.021150659,2026-05-08
1.2575,1.2575,1.2575,-0.028132004,2026-05-15
1.2079,1.2079,1.2079,-0.03944334,2026-05-22
