nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-03-10
0.9999,0.9999,0.9999,-0.0001,2025-03-14
0.9998,0.9998,0.9998,-0.00010001,2025-03-21
0.9997,0.9997,0.9997,-0.00010002,2025-03-28
0.9996,0.9996,0.9996,-0.00010003,2025-03-31
1.0013,1.0013,1.0013,0.0017006803,2025-04-03
1.0952,1.0952,1.0952,0.0937780885,2025-04-11
1.1892,1.1892,1.1892,0.0858290723,2025-04-18
1.1358,1.1358,1.1358,-0.0449041372,2025-04-25
1.149,1.149,1.149,0.0116217644,2025-04-30
1.1652,1.1652,1.1652,0.0140992167,2025-05-09
1.1586,1.1586,1.1586,-0.0056642636,2025-05-16
1.143,1.143,1.143,-0.0134645262,2025-05-23
1.1593,1.1593,1.1593,0.0142607174,2025-05-30
1.1559,1.1559,1.1559,-0.0029328043,2025-06-06
1.1591,1.1591,1.1591,0.0027684056,2025-06-13
1.1574,1.1574,1.1574,-0.0014666552,2025-06-20
1.1966,1.1966,1.1966,0.0338690168,2025-06-27
1.1995,1.1995,1.1995,0.0024235333,2025-06-30
1.1891,1.1891,1.1891,-0.0086702793,2025-07-04
1.169,1.169,1.169,-0.0169035405,2025-07-11
1.1375,1.1375,1.1375,-0.0269461078,2025-07-18
1.1469,1.1469,1.1469,0.0082637363,2025-07-25
1.1262,1.1262,1.1262,-0.0180486529,2025-07-31
1.1315,1.1315,1.1315,0.0047060913,2025-08-01
1.1705,1.1705,1.1705,0.034467521,2025-08-08
1.2121,1.2121,1.2121,0.0355403674,2025-08-15
1.2869,1.2869,1.2869,0.0617110799,2025-08-22
1.3164,1.3164,1.3164,0.0229233041,2025-08-29
1.2506,1.2506,1.2506,-0.049984807,2025-09-05
1.2519,1.2519,1.2519,0.001039501,2025-09-12
1.2924,1.2924,1.2924,0.0323508267,2025-09-19
1.3015,1.3015,1.3015,0.0070411637,2025-09-26
1.2788,1.2788,1.2788,-0.0174414138,2025-09-30
1.2822,1.2822,1.2822,0.0026587426,2025-10-10
1.2201,1.2201,1.2201,-0.0484323818,2025-10-17
1.2434,1.2434,1.2434,0.0190967953,2025-10-24
1.3177,1.3177,1.3177,0.0597555091,2025-10-31
1.3031,1.3031,1.3031,-0.011079912,2025-11-07
1.2855,1.2855,1.2855,-0.0135062543,2025-11-14
1.1885,1.1885,1.1885,-0.0754570206,2025-11-21
1.2089,1.2089,1.2089,0.0171644931,2025-11-28
1.2241,1.2241,1.2241,0.0125734138,2025-12-05
1.2621,1.2621,1.2621,0.0310432154,2025-12-12
1.2501,1.2501,1.2501,-0.0095079629,2025-12-19
1.267,1.267,1.267,0.0135189185,2025-12-26
1.2703,1.2703,1.2703,0.0026045777,2025-12-31
1.0303,1.3303,1.3303,0.0472329371,2026-01-09
1.058,1.358,1.36606561,0.0268853732,2026-01-16
1.0774,1.3774,1.39111445,0.0183364839,2026-01-23
1.0734,1.3734,1.38594974,-0.0037126415,2026-01-30
1.0592,1.3592,1.36761502,-0.013228992,2026-02-06
1.0642,1.3642,1.37407091,0.0047205438,2026-02-13
1.0496,1.3496,1.35521972,-0.0137192257,2026-02-27
0.9915,1.2915,1.28020232,-0.0553544207,2026-03-06
0.9631,1.2631,1.24353288,-0.0286434695,2026-03-13
0.9178,1.2178,1.18504255,-0.0470356142,2026-03-20
0.8936,1.1936,1.15379606,-0.0263674003,2026-03-27
0.8741,1.1741,1.1286181,-0.0218218442,2026-04-03
0.9258,1.2258,1.19537197,0.0591465507,2026-04-10
0.9798,1.2798,1.26509554,0.0583279326,2026-04-17
0.9407,1.2407,1.21461051,-0.0399061033,2026-04-24
0.916,1.216,1.18271843,-0.0262570426,2026-04-30
1.0541,1.3541,1.36103002,0.1507641921,2026-05-08
1.0508,1.3508,1.35676914,-0.0031306328,2026-05-15
1.0471,1.3471,1.35199178,-0.0035211268,2026-05-22
