nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-12-06
1.0001,1.0001,1.0001,0.0001,2023-12-08
1.0003,1.0003,1.0003,0.00019998,2023-12-15
0.9999,0.9999,0.9999,-0.00039988,2023-12-22
0.9996,0.9996,0.9996,-0.00030003,2023-12-29
1.003,1.003,1.003,0.0034013605,2024-01-05
1.0083,1.0083,1.0083,0.0052841476,2024-01-12
1.0081,1.0081,1.0081,-0.0001983537,2024-01-19
1.0132,1.0132,1.0132,0.0050590219,2024-01-26
1.0129,1.0129,1.0129,-0.0002960916,2024-01-31
0.9933,0.9933,0.9933,-0.0193503801,2024-02-02
1.0025,1.0025,1.0025,0.0092620558,2024-02-08
0.9951,0.9951,0.9951,-0.0073815461,2024-02-23
0.9862,0.9862,0.9862,-0.0089438247,2024-02-29
0.9854,0.9854,0.9854,-0.0008111945,2024-03-01
0.9732,0.9732,0.9732,-0.0123807591,2024-03-08
1.0106,1.0106,1.0106,0.0384299219,2024-03-15
1.0293,1.0293,1.0293,0.0185038591,2024-03-22
1.0219,1.0219,1.0219,-0.007189352,2024-03-29
1.0276,1.0276,1.0276,0.0055778452,2024-04-03
0.9741,0.9741,0.9741,-0.0520630596,2024-04-12
0.9674,0.9674,0.9674,-0.0068781439,2024-04-19
0.9612,0.9612,0.9612,-0.0064089312,2024-04-26
0.9485,0.9485,0.9485,-0.0132126509,2024-04-30
0.9681,0.9681,0.9681,0.0206642066,2024-05-10
0.9711,0.9711,0.9711,0.0030988534,2024-05-17
0.9308,0.9308,0.9308,-0.0414993307,2024-05-24
0.9563,0.9563,0.9563,0.0273957886,2024-05-31
0.9584,0.9584,0.9584,0.0021959636,2024-06-07
0.9789,0.9789,0.9789,0.0213898164,2024-06-14
1.0099,1.0099,1.0099,0.031668199,2024-06-21
1.0263,1.0263,1.0263,0.0162392316,2024-06-28
1.0407,1.0407,1.0407,0.0140309851,2024-07-05
1.0306,1.0306,1.0306,-0.0097050062,2024-07-12
1.0351,1.0351,1.0351,0.0043663885,2024-07-19
1.0311,1.0311,1.0311,-0.0038643609,2024-07-26
1.04,1.04,1.04,0.0086315585,2024-07-31
1.0494,1.0494,1.0494,0.0090384615,2024-08-02
1.0648,1.0648,1.0648,0.0146750524,2024-08-09
1.0737,1.0737,1.0737,0.0083583772,2024-08-16
1.0737,1.0737,1.0737,0.0,2024-08-23
1.0515,1.0515,1.0515,-0.0206761665,2024-08-30
1.0857,1.0857,1.0857,0.0325249643,2024-09-06
1.0925,1.0925,1.0925,0.0062632403,2024-09-13
1.1129,1.1129,1.1129,0.0186727689,2024-09-20
1.0873,1.0873,1.0873,-0.0230029652,2024-09-27
1.0799,1.0799,1.0799,-0.0068058494,2024-09-30
1.0957,1.0957,1.0957,0.0146309844,2024-10-11
1.0886,1.0886,1.0886,-0.0064798759,2024-10-18
1.0904,1.0904,1.0904,0.0016534999,2024-10-25
1.0695,1.0695,1.0695,-0.0191672781,2024-10-31
1.0781,1.0781,1.0781,0.0080411407,2024-11-01
1.0884,1.0884,1.0884,0.0095538447,2024-11-08
1.089,1.089,1.089,0.0005512679,2024-11-15
1.0903,1.0903,1.0903,0.0011937557,2024-11-22
1.0916,1.0916,1.0916,0.0011923324,2024-11-29
1.1188,1.1188,1.1188,0.0249175522,2024-12-06
1.1265,1.1265,1.1265,0.006882374,2024-12-13
1.1342,1.1342,1.1342,0.0068353307,2024-12-20
1.1204,1.1204,1.1204,-0.0121671663,2024-12-27
1.1203,1.1203,1.1203,-8.92538e-05,2024-12-31
1.1203,1.1203,1.1203,0.0,2025-01-03
1.1268,1.1268,1.1268,0.0058020173,2025-01-10
1.1116,1.1116,1.1116,-0.0134895279,2025-01-17
1.1159,1.1159,1.1159,0.0038682979,2025-01-24
1.1064,1.1064,1.1064,-0.0085133076,2025-01-27
1.1253,1.1253,1.1253,0.0170824295,2025-02-07
1.1293,1.1293,1.1293,0.0035546077,2025-02-14
1.1219,1.1219,1.1219,-0.0065527318,2025-02-21
1.1126,1.1126,1.1126,-0.0082895089,2025-02-28
1.1429,1.1429,1.1429,0.0272335071,2025-03-07
1.1399,1.1399,1.1399,-0.0026249016,2025-03-14
1.1498,1.1498,1.1498,0.0086849724,2025-03-21
1.1471,1.1471,1.1471,-0.0023482345,2025-03-28
1.1475,1.1475,1.1475,0.0003487054,2025-03-31
1.1581,1.1581,1.1581,0.0092374728,2025-04-03
1.1626,1.1626,1.1626,0.0038856748,2025-04-11
1.1774,1.1774,1.1774,0.0127300877,2025-04-18
1.1759,1.1759,1.1759,-0.0012739935,2025-04-25
1.1757,1.1757,1.1757,-0.0001700825,2025-04-30
1.181,1.181,1.181,0.0045079527,2025-05-09
1.1712,1.1712,1.1712,-0.0082980525,2025-05-16
1.1726,1.1726,1.1726,0.0011953552,2025-05-23
1.1715,1.1715,1.1715,-0.0009380863,2025-05-30
1.1569,1.1569,1.1569,-0.0124626547,2025-06-06
1.1667,1.1667,1.1667,0.0084709136,2025-06-13
1.1837,1.1837,1.1837,0.0145710123,2025-06-20
1.1571,1.1571,1.1571,-0.0224719101,2025-06-27
1.1513,1.1513,1.1513,-0.0050125313,2025-07-04
1.1583,1.1583,1.1583,0.0060800834,2025-07-11
1.1772,1.1772,1.1772,0.0163170163,2025-07-18
1.1575,1.1575,1.1575,-0.0167346245,2025-07-25
1.1491,1.1491,1.1491,-0.0072570194,2025-08-01
1.1508,1.1508,1.1508,0.0014794187,2025-08-08
1.1565,1.1565,1.1565,0.0049530761,2025-08-15
1.1718,1.1718,1.1718,0.013229572,2025-08-22
1.1801,1.1801,1.1801,0.00708312,2025-08-29
1.1767,1.1767,1.1767,-0.0028811118,2025-09-05
1.1917,1.1917,1.1917,0.0127475142,2025-09-12
1.1791,1.1791,1.1791,-0.0105731308,2025-09-19
1.1768,1.1768,1.1768,-0.0019506403,2025-09-26
1.1897,1.1897,1.1897,0.0109619307,2025-09-30
1.208,1.208,1.208,0.0153820291,2025-10-10
1.223,1.223,1.223,0.0124172185,2025-10-17
1.2203,1.2203,1.2203,-0.002207686,2025-10-24
1.2328,1.2328,1.2328,0.0102433828,2025-10-31
1.2359,1.2359,1.2359,0.0025146009,2025-11-07
1.2438,1.2438,1.2438,0.0063921029,2025-11-14
1.2433,1.2433,1.2433,-0.0004019939,2025-11-21
1.2493,1.2493,1.2493,0.0048258666,2025-11-28
1.2664,1.2664,1.2664,0.0136876651,2025-12-05
1.2883,1.2883,1.2883,0.0172931143,2025-12-12
1.2617,1.2617,1.2617,-0.0206473647,2025-12-19
