nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9879,0.9879,0.9879,0.0,2021-09-01
1.0,1.0,1.0,0.0122482033,2021-09-03
1.0145,1.0145,1.0145,0.0145,2021-09-10
1.0031,1.0031,1.0031,-0.0112370626,2021-09-15
0.9974,0.9974,0.9974,-0.0056823846,2021-09-17
0.9946,0.9946,0.9946,-0.002807299,2021-09-24
0.9879,0.9879,0.9879,-0.0067363764,2021-09-30
0.9815,0.9815,0.9815,-0.0064783885,2021-10-08
0.9962,0.9962,0.9962,0.0149770759,2021-10-15
1.0002,1.0002,1.0002,0.004015258,2021-10-22
0.9961,0.9961,0.9961,-0.0040991802,2021-10-29
1.0356,1.0356,1.0356,0.0396546531,2021-11-01
0.9851,0.9851,0.9851,-0.0487640015,2021-11-05
1.0154,1.0154,1.0154,0.0307582986,2021-11-12
1.0136,1.0136,1.0136,-0.0017727004,2021-11-15
1.0268,1.0268,1.0268,0.0130228887,2021-11-19
1.0373,1.0373,1.0373,0.0102259447,2021-11-26
1.0349,1.0349,1.0349,-0.002313699,2021-11-30
0.9963,0.9963,0.9963,-0.0372982897,2021-12-01
1.0356,1.0356,1.0356,0.03944595,2021-12-03
1.0261,1.0261,1.0261,-0.009173426,2021-12-10
1.0068,1.0068,1.0068,-0.0188090829,2021-12-15
1.0005,1.0005,1.0005,-0.0062574493,2021-12-17
0.9811,0.9811,0.9811,-0.0193903048,2021-12-24
0.9963,0.9963,0.9963,0.0154928142,2021-12-31
0.9582,0.9582,0.9582,-0.0382414935,2022-01-07
0.9579,0.9579,0.9579,-0.000313087,2022-01-14
0.9643,0.9643,0.9643,0.006681282,2022-01-17
0.9823,0.9823,0.9823,0.0186663901,2022-01-21
0.921,0.921,0.921,-0.0624045607,2022-01-28
0.9448,0.9448,0.9448,0.0258414767,2022-02-11
0.9552,0.9552,0.9552,0.0110076207,2022-02-15
0.9787,0.9787,0.9787,0.0246021776,2022-02-18
0.9681,0.9681,0.9681,-0.0108306938,2022-02-25
0.963,0.963,0.963,-0.0052680508,2022-02-28
0.8722,0.8722,0.8722,-0.0942886812,2022-03-01
0.9477,0.9477,0.9477,0.086562715,2022-03-04
0.8986,0.8986,0.8986,-0.0518096444,2022-03-11
0.8366,0.8366,0.8366,-0.0689962163,2022-03-15
0.8902,0.8902,0.8902,0.0640688501,2022-03-18
0.8902,0.8902,0.8902,0.0,2022-03-25
0.8728,0.8728,0.8728,-0.0195461694,2022-03-31
0.8722,0.8722,0.8722,-0.0006874427,2022-04-01
0.8587,0.8587,0.8587,-0.0154781014,2022-04-08
0.8476,0.8476,0.8476,-0.0129265168,2022-04-15
0.8173,0.8173,0.8173,-0.0357479943,2022-04-22
0.8198,0.8198,0.8198,0.0030588523,2022-04-29
0.8013,0.8013,0.8013,-0.0225664796,2022-05-06
0.8216,0.8216,0.8216,0.0253338325,2022-05-13
0.82,0.82,0.82,-0.0019474197,2022-05-16
0.8434,0.8434,0.8434,0.0285365854,2022-05-20
0.8337,0.8337,0.8337,-0.0115010671,2022-05-27
0.8406,0.8406,0.8406,0.0082763584,2022-05-31
0.9151,0.9151,0.9151,0.0886271711,2022-06-01
0.8312,0.8312,0.8312,-0.091683969,2022-06-02
0.8621,0.8621,0.8621,0.0371751684,2022-06-10
0.8751,0.8751,0.8751,0.0150794571,2022-06-15
0.8946,0.8946,0.8946,0.0222831676,2022-06-17
0.9238,0.9238,0.9238,0.0326402862,2022-06-24
0.9106,0.9106,0.9106,-0.0142888071,2022-06-30
0.9151,0.9151,0.9151,0.0049417966,2022-07-01
0.9188,0.9188,0.9188,0.004043274,2022-07-08
0.9507,0.9507,0.9507,0.034719199,2022-07-15
0.9483,0.9483,0.9483,-0.0025244557,2022-07-22
0.904,0.904,0.904,-0.0467151745,2022-07-29
0.9303,0.9303,0.9303,0.0290929204,2022-08-01
0.8873,0.8873,0.8873,-0.0462216489,2022-08-05
0.8899,0.8899,0.8899,0.0029302378,2022-08-12
0.8848,0.8848,0.8848,-0.005730981,2022-08-15
0.9249,0.9249,0.9249,0.0453209765,2022-08-19
0.9387,0.9387,0.9387,0.0149205319,2022-08-26
0.9393,0.9393,0.9393,0.0006391818,2022-08-31
0.8931,0.8931,0.8931,-0.0491855637,2022-09-01
0.9303,0.9303,0.9303,0.0416526705,2022-09-02
0.9209,0.9209,0.9209,-0.0101042674,2022-09-09
0.912,0.912,0.912,-0.0096644587,2022-09-15
0.9088,0.9088,0.9088,-0.0035087719,2022-09-16
0.8947,0.8947,0.8947,-0.0155149648,2022-09-23
0.8931,0.8931,0.8931,-0.0017883089,2022-09-30
0.9219,0.9219,0.9219,0.0322472288,2022-10-14
0.9278,0.9278,0.9278,0.0063998264,2022-10-17
0.9193,0.9193,0.9193,-0.0091614572,2022-10-21
0.8979,0.8979,0.8979,-0.0232785815,2022-10-28
0.8988,0.8988,0.8988,0.0010023388,2022-10-31
0.8949,0.8949,0.8949,-0.0043391188,2022-11-01
0.9547,0.9547,0.9547,0.0668231087,2022-11-04
0.9445,0.9445,0.9445,-0.0106839845,2022-11-11
0.9407,0.9407,0.9407,-0.0040232927,2022-11-15
0.9093,0.9093,0.9093,-0.0333793983,2022-11-18
0.8845,0.8845,0.8845,-0.027273727,2022-11-25
0.9002,0.9002,0.9002,0.0177501413,2022-11-30
0.8498,0.8498,0.8498,-0.0559875583,2022-12-01
0.8949,0.8949,0.8949,0.0530713109,2022-12-02
0.891,0.891,0.891,-0.0043580288,2022-12-09
0.8683,0.8683,0.8683,-0.0254769921,2022-12-15
0.8652,0.8652,0.8652,-0.0035701946,2022-12-16
0.861,0.861,0.861,-0.0048543689,2022-12-23
0.8498,0.8498,0.8498,-0.0130081301,2022-12-30
0.8581,0.8581,0.8581,0.009767004,2023-01-06
0.8739,0.8739,0.8739,0.0184127724,2023-01-13
0.895,0.895,0.895,0.024144639,2023-01-16
0.8874,0.8874,0.8874,-0.0084916201,2023-01-20
0.8763,0.8763,0.8763,-0.0125084517,2023-01-31
0.8491,0.8491,0.8491,-0.0310395983,2023-02-01
0.8915,0.8915,0.8915,0.0499352255,2023-02-03
0.8787,0.8787,0.8787,-0.0143578239,2023-02-10
0.8749,0.8749,0.8749,-0.0043245704,2023-02-15
0.8468,0.8468,0.8468,-0.0321179563,2023-02-17
0.8333,0.8333,0.8333,-0.0159423713,2023-02-24
0.8449,0.8449,0.8449,0.0139205568,2023-02-28
0.8021,0.8021,0.8021,-0.0506568825,2023-03-01
0.8491,0.8491,0.8491,0.058596185,2023-03-03
0.7994,0.7994,0.7994,-0.0585325639,2023-03-10
0.78,0.78,0.78,-0.0242682012,2023-03-15
0.7761,0.7761,0.7761,-0.005,2023-03-17
0.808,0.808,0.808,0.0411029507,2023-03-24
0.8021,0.8021,0.8021,-0.0073019802,2023-03-31
0.8228,0.8228,0.8228,0.025807256,2023-04-07
0.8181,0.8181,0.8181,-0.0057122022,2023-04-14
0.8106,0.8106,0.8106,-0.0091675834,2023-04-21
0.8095,0.8095,0.8095,-0.0013570195,2023-04-28
0.8102,0.8102,0.8102,0.0008647313,2023-05-05
0.7788,0.7788,0.7788,-0.0387558627,2023-05-12
0.7643,0.7643,0.7643,-0.0186183873,2023-05-15
0.7433,0.7433,0.7433,-0.0274761219,2023-05-19
0.737,0.737,0.737,-0.0084757164,2023-05-26
0.7279,0.7279,0.7279,-0.0123473541,2023-06-01
0.7279,0.7279,0.7279,0.0,2023-06-02
0.7112,0.7112,0.7112,-0.0229427119,2023-06-09
0.7361,0.7361,0.7361,0.0350112486,2023-06-16
0.7024,0.7024,0.7024,-0.0457818231,2023-06-21
0.7029,0.7029,0.7029,0.0007118451,2023-06-30
0.7156,0.7156,0.7156,0.018068004,2023-07-07
0.7199,0.7199,0.7199,0.0060089435,2023-07-14
0.7172,0.7172,0.7172,-0.0037505209,2023-07-21
0.7439,0.7439,0.7439,0.0372281093,2023-07-28
0.7423,0.7423,0.7423,-0.0021508267,2023-07-31
0.7801,0.7801,0.7801,0.0509228075,2023-08-04
0.7601,0.7601,0.7601,-0.0256377388,2023-08-11
0.761,0.761,0.761,0.0011840547,2023-08-15
0.748,0.748,0.748,-0.0170827858,2023-08-18
0.7503,0.7503,0.7503,0.0030748663,2023-08-25
0.7675,0.7675,0.7675,0.0229241637,2023-08-31
0.7708,0.7708,0.7708,0.0042996743,2023-09-01
0.7521,0.7521,0.7521,-0.0242605086,2023-09-08
0.7132,0.7132,0.7132,-0.0517218455,2023-09-15
0.7239,0.7239,0.7239,0.0150028043,2023-09-22
0.7252,0.7252,0.7252,0.0017958282,2023-09-28
0.7285,0.7285,0.7285,0.0045504688,2023-10-13
0.712,0.712,0.712,-0.0226492793,2023-10-16
0.7055,0.7055,0.7055,-0.0091292135,2023-10-20
0.6781,0.6781,0.6781,-0.0388377038,2023-10-27
0.6702,0.6702,0.6702,-0.0116501991,2023-10-31
0.6641,0.6641,0.6641,-0.0091017607,2023-11-03
0.6476,0.6476,0.6476,-0.0248456558,2023-11-10
0.6482,0.6482,0.6482,0.0009264978,2023-11-15
0.637,0.637,0.637,-0.0172786177,2023-11-17
0.6381,0.6381,0.6381,0.0017268446,2023-11-24
0.6404,0.6404,0.6404,0.0036044507,2023-11-30
0.6329,0.6329,0.6329,-0.0117114304,2023-12-01
0.6038,0.6038,0.6038,-0.0459788276,2023-12-08
0.6166,0.6166,0.6166,0.0211990725,2023-12-15
0.589,0.589,0.589,-0.0447615958,2023-12-22
0.6014,0.6014,0.6014,0.0210526316,2023-12-29
0.5854,0.5854,0.5854,-0.0266045893,2024-01-05
0.6009,0.6009,0.6009,0.0264776221,2024-01-12
0.6051,0.6051,0.6051,0.0069895157,2024-01-15
0.5845,0.5845,0.5845,-0.0340439597,2024-01-19
0.5725,0.5725,0.5725,-0.0205303678,2024-01-26
0.5687,0.5687,0.5687,-0.0066375546,2024-01-31
0.5746,0.5746,0.5746,0.0103745384,2024-02-02
0.5987,0.5987,0.5987,0.0419422207,2024-02-08
0.6099,0.6099,0.6099,0.0187071989,2024-02-19
0.6343,0.6343,0.6343,0.0400065585,2024-02-23
0.6502,0.6502,0.6502,0.025067003,2024-02-29
0.6569,0.6569,0.6569,0.0103045217,2024-03-01
0.6602,0.6602,0.6602,0.0050235957,2024-03-08
0.727,0.727,0.727,0.1011814602,2024-03-15
0.7013,0.7013,0.7013,-0.0353507565,2024-03-22
0.7434,0.7434,0.7434,0.0600313703,2024-03-29
0.7404,0.7404,0.7404,-0.0040355125,2024-04-03
0.6815,0.6815,0.6815,-0.0795515937,2024-04-12
0.676,0.676,0.676,-0.0080704329,2024-04-15
0.636,0.636,0.636,-0.0591715976,2024-04-19
0.6422,0.6422,0.6422,0.0097484277,2024-04-26
0.6548,0.6548,0.6548,0.0196200561,2024-04-30
0.673,0.673,0.673,0.0277947465,2024-05-10
0.694,0.694,0.694,0.0312035661,2024-05-15
0.6753,0.6753,0.6753,-0.026945245,2024-05-17
0.619,0.619,0.619,-0.0833703539,2024-05-24
0.6392,0.6392,0.6392,0.0326332795,2024-05-31
0.655,0.655,0.655,0.024718398,2024-06-07
0.6677,0.6677,0.6677,0.019389313,2024-06-14
0.6756,0.6756,0.6756,0.0118316609,2024-06-17
0.68,0.68,0.68,0.0065127294,2024-06-21
0.6778,0.6778,0.6778,-0.0032352941,2024-06-28
0.6668,0.6668,0.6668,-0.0162289761,2024-07-05
0.6907,0.6907,0.6907,0.0358428314,2024-07-12
0.6851,0.6851,0.6851,-0.0081077168,2024-07-15
0.69,0.69,0.69,0.0071522405,2024-07-19
0.6977,0.6977,0.6977,0.0111594203,2024-07-26
0.7226,0.7226,0.7226,0.0356886914,2024-07-31
0.7069,0.7069,0.7069,-0.0217270966,2024-08-02
0.7276,0.7276,0.7276,0.029282784,2024-08-09
0.7785,0.7785,0.7785,0.0699560198,2024-08-15
0.7812,0.7812,0.7812,0.0034682081,2024-08-16
0.7675,0.7675,0.7675,-0.0175371224,2024-08-23
0.7477,0.7477,0.7477,-0.0257980456,2024-08-30
0.8209,0.8209,0.8209,0.0979002274,2024-09-06
0.8011,0.8011,0.8011,-0.0241198684,2024-09-13
0.8203,0.8203,0.8203,0.0239670453,2024-09-18
0.8187,0.8187,0.8187,-0.0019505059,2024-09-20
0.8726,0.8726,0.8726,0.0658360816,2024-09-27
0.8682,0.8682,0.8682,-0.005042402,2024-09-30
0.8765,0.8765,0.8765,0.0095600092,2024-10-11
0.8425,0.8425,0.8425,-0.0387906446,2024-10-15
0.9022,0.9022,0.9022,0.0708605341,2024-10-18
0.8755,0.8755,0.8755,-0.029594325,2024-10-25
0.8498,0.8498,0.8498,-0.0293546545,2024-10-31
0.8579,0.8579,0.8579,0.0095316545,2024-11-01
0.8848,0.8848,0.8848,0.0313556359,2024-11-08
0.9165,0.9165,0.9165,0.0358273056,2024-11-15
0.8942,0.8942,0.8942,-0.0243316967,2024-11-22
0.8877,0.8877,0.8877,-0.0072690673,2024-11-29
0.9275,0.9275,0.9275,0.0448349668,2024-12-06
0.9272,0.9272,0.9272,-0.0003234501,2024-12-13
0.9239,0.9239,0.9239,-0.0035591027,2024-12-16
0.9383,0.9383,0.9383,0.0155861024,2024-12-20
0.9499,0.9499,0.9499,0.0123627838,2024-12-27
0.9309,0.9309,0.9309,-0.0200021055,2024-12-31
0.9196,0.9196,0.9196,-0.0121387904,2025-01-03
0.9225,0.9225,0.9225,0.003153545,2025-01-10
0.91,0.91,0.91,-0.0135501355,2025-01-15
0.9008,0.9008,0.9008,-0.0101098901,2025-01-17
0.917,0.917,0.917,0.0179840142,2025-01-24
0.909,0.909,0.909,-0.0087241003,2025-01-27
0.9638,0.9638,0.9638,0.0602860286,2025-02-07
0.998,0.998,0.998,0.0354845404,2025-02-14
0.9986,0.9986,0.9986,0.0006012024,2025-02-17
1.0097,1.0097,1.0097,0.0111155618,2025-02-21
0.9909,0.9909,0.9909,-0.0186193919,2025-02-28
1.0633,1.0633,1.0633,0.0730648905,2025-03-07
1.0556,1.0556,1.0556,-0.0072416063,2025-03-14
1.0648,1.0648,1.0648,0.0087154225,2025-03-17
