nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-07-29
1.0,1.0,1.0,0.0,2015-07-31
1.0,1.0,1.0,0.0,2015-08-07
1.0,1.0,1.0,0.0,2015-08-14
1.0,1.0,1.0,0.0,2015-08-18
1.001,1.001,1.001,0.001,2015-08-21
0.998,0.998,0.998,-0.002997003,2015-08-28
1.003,1.003,1.003,0.00501002,2015-08-31
1.003,1.003,1.003,0.0,2015-09-02
0.998,0.998,0.998,-0.0049850449,2015-09-11
1.009,1.009,1.009,0.0110220441,2015-09-18
1.024,1.024,1.024,0.0148662042,2015-09-25
1.039,1.039,1.039,0.0146484375,2015-09-30
1.011,1.011,1.011,-0.0269489894,2015-10-09
1.036,1.036,1.036,0.0247279921,2015-10-16
1.044,1.044,1.044,0.0077220077,2015-10-23
1.048,1.048,1.048,0.0038314176,2015-10-30
1.064,1.064,1.064,0.0152671756,2015-11-06
1.079,1.079,1.079,0.0140977444,2015-11-13
1.082,1.082,1.082,0.0027803522,2015-11-16
1.106,1.106,1.106,0.022181146,2015-11-20
1.122,1.122,1.122,0.0144665461,2015-11-27
1.118,1.118,1.118,-0.0035650624,2015-11-30
1.134,1.134,1.134,0.0143112701,2015-12-04
1.115,1.115,1.115,-0.0167548501,2015-12-11
1.127,1.127,1.127,0.0107623318,2015-12-18
1.128,1.128,1.128,0.0008873114,2015-12-25
1.116,1.116,1.116,-0.0106382979,2015-12-31
1.12,1.12,1.12,0.0035842294,2016-01-04
1.123,1.123,1.123,0.0026785714,2016-01-08
1.127,1.127,1.127,0.0035618878,2016-01-15
1.114,1.114,1.114,-0.0115350488,2016-01-19
1.115,1.115,1.115,0.0008976661,2016-01-22
1.097,1.097,1.097,-0.0161434978,2016-01-29
1.094,1.094,1.094,-0.0027347311,2016-02-01
1.099,1.099,1.099,0.0045703839,2016-02-05
1.061,1.061,1.061,-0.0345768881,2016-02-19
1.058,1.058,1.058,-0.0028275212,2016-02-26
1.053,1.053,1.053,-0.0047258979,2016-02-29
1.044,1.044,1.044,-0.0085470085,2016-03-04
1.052,1.052,1.052,0.0076628352,2016-03-11
1.04,1.04,1.04,-0.0114068441,2016-03-18
1.033,1.033,1.033,-0.0067307692,2016-03-25
1.039,1.039,1.039,0.0058083253,2016-03-31
1.052,1.052,1.052,0.0125120308,2016-04-01
1.054,1.054,1.054,0.0019011407,2016-04-08
1.056,1.056,1.056,0.0018975332,2016-04-15
1.046,1.046,1.046,-0.009469697,2016-04-22
1.073,1.073,1.073,0.0258126195,2016-04-29
1.064,1.064,1.064,-0.008387698,2016-05-06
1.104,1.104,1.104,0.037593985,2016-05-13
1.129,1.129,1.129,0.0226449275,2016-05-20
1.121,1.121,1.121,-0.0070859167,2016-05-27
1.138,1.138,1.138,0.0151650312,2016-05-31
1.139,1.139,1.139,0.0008787346,2016-06-03
1.142,1.142,1.142,0.0026338894,2016-06-08
1.132,1.132,1.132,-0.0087565674,2016-06-17
1.14,1.14,1.14,0.0070671378,2016-06-24
1.186,1.186,1.186,0.0403508772,2016-06-30
1.185,1.185,1.185,-0.0008431703,2016-07-01
1.186,1.186,1.186,0.0008438819,2016-07-08
1.214,1.214,1.214,0.023608769,2016-07-15
1.171,1.171,1.171,-0.0354200988,2016-07-22
1.171,1.171,1.171,0.0,2016-07-29
1.175,1.175,1.175,0.0034158839,2016-08-05
1.189,1.189,1.189,0.0119148936,2016-08-12
1.182,1.182,1.182,-0.0058873003,2016-08-19
1.18,1.18,1.18,-0.0016920474,2016-08-26
1.181,1.181,1.181,0.0008474576,2016-08-31
1.18,1.18,1.18,-0.0008467401,2016-09-02
1.167,1.167,1.167,-0.0110169492,2016-09-09
1.144,1.144,1.144,-0.0197086547,2016-09-14
1.167,1.167,1.167,0.0201048951,2016-09-23
1.183,1.183,1.183,0.0137103685,2016-09-30
1.213,1.213,1.213,0.0253592561,2016-10-14
1.273,1.273,1.273,0.0494641385,2016-10-21
1.313,1.313,1.313,0.0314218382,2016-10-28
1.334,1.334,1.334,0.0159939071,2016-10-31
1.322,1.322,1.322,-0.0089955022,2016-11-04
1.434,1.434,1.434,0.084720121,2016-11-11
1.419,1.419,1.419,-0.010460251,2016-11-18
1.428,1.428,1.428,0.0063424947,2016-11-25
1.429,1.429,1.429,0.0007002801,2016-11-30
1.425,1.425,1.425,-0.0027991603,2016-12-02
1.459,1.459,1.459,0.0238596491,2016-12-09
1.452,1.452,1.452,-0.0047978067,2016-12-16
1.411,1.411,1.411,-0.0282369146,2016-12-23
1.406,1.406,1.406,-0.0035435861,2016-12-30
1.418,1.418,1.418,0.0085348506,2017-01-06
1.426,1.426,1.426,0.0056417489,2017-01-13
1.436,1.436,1.436,0.0070126227,2017-01-20
1.466,1.466,1.466,0.0208913649,2017-01-26
1.455,1.455,1.455,-0.0075034106,2017-02-03
1.477,1.477,1.477,0.0151202749,2017-02-10
1.519,1.519,1.519,0.028436019,2017-02-17
1.534,1.534,1.534,0.0098749177,2017-02-24
1.54,1.54,1.54,0.0039113429,2017-02-28
1.534,1.534,1.534,-0.0038961039,2017-03-03
1.521,1.521,1.521,-0.0084745763,2017-03-10
1.515,1.515,1.515,-0.0039447732,2017-03-17
1.52,1.52,1.52,0.00330033,2017-03-24
1.529,1.529,1.529,0.0059210526,2017-03-31
1.58,1.58,1.58,0.0333551341,2017-04-07
1.594,1.594,1.594,0.0088607595,2017-04-14
1.603,1.603,1.603,0.0056461731,2017-04-21
1.581,1.581,1.581,-0.013724267,2017-04-28
1.562,1.562,1.562,-0.0120177103,2017-05-05
1.551,1.551,1.551,-0.0070422535,2017-05-12
1.619,1.619,1.619,0.0438426821,2017-05-19
1.631,1.631,1.631,0.0074119827,2017-05-26
1.634,1.634,1.634,0.0018393624,2017-05-31
1.622,1.622,1.622,-0.0073439412,2017-06-02
1.636,1.636,1.636,0.0086313194,2017-06-09
1.643,1.643,1.643,0.0042787286,2017-06-16
1.646,1.646,1.646,0.0018259282,2017-06-23
1.683,1.683,1.683,0.0224787363,2017-06-30
1.742,1.742,1.742,0.0350564468,2017-07-07
1.789,1.789,1.789,0.0269804822,2017-07-14
1.798,1.798,1.798,0.0050307434,2017-07-21
1.787,1.787,1.787,-0.0061179088,2017-07-28
1.794,1.794,1.794,0.0039171796,2017-07-31
1.836,1.836,1.836,0.0234113712,2017-08-04
1.838,1.838,1.838,0.0010893246,2017-08-11
1.843,1.843,1.843,0.0027203482,2017-08-18
1.857,1.857,1.857,0.0075963104,2017-08-25
1.883,1.883,1.883,0.014001077,2017-08-31
1.901,1.901,1.901,0.009559214,2017-09-01
1.914,1.914,1.914,0.006838506,2017-09-08
1.899,1.899,1.899,-0.0078369906,2017-09-15
1.892,1.892,1.892,-0.0036861506,2017-09-22
1.922,1.922,1.922,0.0158562368,2017-09-29
1.966,1.966,1.966,0.02289282,2017-10-13
1.977,1.977,1.977,0.005595117,2017-10-20
1.987,1.987,1.987,0.0050581689,2017-10-27
1.989,1.989,1.989,0.0010065425,2017-10-31
1.973,1.973,1.973,-0.0080442433,2017-11-03
1.982,1.982,1.982,0.0045615813,2017-11-10
1.976,1.976,1.976,-0.0030272452,2017-11-17
1.965,1.965,1.965,-0.0055668016,2017-11-24
1.976,1.976,1.976,0.0055979644,2017-11-30
1.972,1.972,1.972,-0.0020242915,2017-12-01
1.943,1.943,1.943,-0.0147058824,2017-12-08
1.954,1.954,1.954,0.0056613484,2017-12-15
1.99,1.99,1.99,0.0184237462,2017-12-22
1.979,1.979,1.979,-0.0055276382,2017-12-29
2.032,2.032,2.032,0.0267812026,2018-01-05
2.036,2.036,2.036,0.0019685039,2018-01-12
2.019,2.019,2.019,-0.0083497053,2018-01-19
2.065,2.065,2.065,0.0227835562,2018-01-26
2.04,2.04,2.04,-0.0121065375,2018-01-31
2.036,2.036,2.036,-0.0019607843,2018-02-02
1.876,1.876,1.876,-0.0785854617,2018-02-09
1.946,1.946,1.946,0.0373134328,2018-02-14
1.993,1.993,1.993,0.0241521069,2018-02-23
2.017,2.017,2.017,0.0120421475,2018-02-28
2.029,2.029,2.029,0.0059494298,2018-03-02
2.046,2.046,2.046,0.0083785116,2018-03-09
