nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.2773,1.2773,1.2773,0.0,2025-01-03
1.2776,1.2776,1.2776,0.0002348704,2025-01-10
1.2675,1.2675,1.2675,-0.0079054477,2025-01-17
1.2545,1.2545,1.2545,-0.0102564103,2025-01-24
1.262,1.262,1.262,0.0059784775,2025-01-27
1.2855,1.2855,1.2855,0.0186212361,2025-02-07
1.2686,1.2686,1.2686,-0.0131466356,2025-02-14
1.29,1.29,1.29,0.0168689894,2025-02-21
1.2691,1.2691,1.2691,-0.0162015504,2025-02-28
1.2732,1.2732,1.2732,0.0032306359,2025-03-07
1.2723,1.2723,1.2723,-0.0007068803,2025-03-14
1.2812,1.2812,1.2812,0.0069952055,2025-03-21
1.2597,1.2597,1.2597,-0.0167811427,2025-03-28
1.2603,1.2603,1.2603,0.0004763039,2025-03-31
1.266,1.266,1.266,0.0045227327,2025-04-03
1.3312,1.3312,1.3312,0.0515007899,2025-04-11
1.3499,1.3499,1.3499,0.014047476,2025-04-18
1.3596,1.3596,1.3596,0.0071857175,2025-04-25
1.3683,1.3683,1.3683,0.0063989409,2025-04-30
1.3944,1.3944,1.3944,0.0190747643,2025-05-09
1.3831,1.3831,1.3831,-0.0081038439,2025-05-16
1.3808,1.3808,1.3808,-0.0016629311,2025-05-23
1.3703,1.3703,1.3703,-0.0076042874,2025-05-30
1.3924,1.3924,1.3924,0.0161278552,2025-06-06
1.3904,1.3904,1.3904,-0.0014363689,2025-06-13
1.3868,1.3868,1.3868,-0.002589183,2025-06-20
1.4107,1.4107,1.4107,0.0172339198,2025-06-27
1.4146,1.4146,1.4146,0.002764585,2025-06-30
1.4071,1.4071,1.4071,-0.0053018521,2025-07-04
1.4242,1.4242,1.4242,0.0121526544,2025-07-11
1.4455,1.4455,1.4455,0.0149557646,2025-07-18
1.4968,1.4968,1.4968,0.03548945,2025-07-25
1.4897,1.4897,1.4897,-0.0047434527,2025-07-31
1.4926,1.4926,1.4926,0.0019467007,2025-08-01
1.5203,1.5203,1.5203,0.0185582206,2025-08-08
1.5274,1.5274,1.5274,0.0046701309,2025-08-15
1.563,1.563,1.563,0.0233075815,2025-08-22
1.5846,1.5846,1.5846,0.0138195777,2025-08-29
1.5817,1.5817,1.5817,-0.0018301149,2025-09-05
1.596,1.596,1.596,0.0090409054,2025-09-12
1.5864,1.5864,1.5864,-0.0060150376,2025-09-19
1.5758,1.5758,1.5758,-0.0066817953,2025-09-26
1.5923,1.5923,1.5923,0.0104708719,2025-09-30
1.5737,1.5737,1.5737,-0.0116812159,2025-10-10
1.5232,1.5232,1.5232,-0.032089979,2025-10-17
1.5466,1.5466,1.5466,0.015362395,2025-10-24
1.539,1.539,1.539,-0.0049140049,2025-10-31
1.5393,1.5393,1.5393,0.0001949318,2025-11-07
1.5494,1.5494,1.5494,0.006561424,2025-11-14
1.5276,1.5276,1.5276,-0.0140699626,2025-11-21
1.5153,1.5153,1.5153,-0.008051846,2025-11-28
1.5196,1.5196,1.5196,0.0028377219,2025-12-05
1.5116,1.5116,1.5116,-0.0052645433,2025-12-12
1.498,1.498,1.498,-0.0089970892,2025-12-19
1.5255,1.5255,1.5255,0.0183578104,2025-12-26
1.5035,1.5035,1.5035,-0.0144215011,2025-12-31
1.5181,1.5181,1.5181,0.0097106751,2026-01-09
1.5157,1.5157,1.5157,-0.0015809235,2026-01-16
1.4729,1.4729,1.4729,-0.0282377779,2026-01-23
1.4278,1.4278,1.4278,-0.0306198656,2026-01-30
1.4489,1.4489,1.4489,0.0147779801,2026-02-06
1.4437,1.4437,1.4437,-0.0035889295,2026-02-13
1.5045,1.5045,1.5045,0.0421140126,2026-02-27
1.4916,1.4916,1.4916,-0.0085742772,2026-03-06
1.474,1.474,1.474,-0.01179941,2026-03-13
1.4283,1.4283,1.4283,-0.0310040706,2026-03-20
1.4472,1.4472,1.4472,0.0132325142,2026-03-27
1.4256,1.4256,1.4256,-0.0149253731,2026-04-03
1.4163,1.4163,1.4163,-0.006523569,2026-04-10
1.458,1.458,1.458,0.0294429146,2026-04-17
1.4702,1.4702,1.4702,0.0083676269,2026-04-24
1.4938,1.4938,1.4938,0.0160522378,2026-04-30
1.5457,1.5457,1.5457,0.0347436069,2026-05-08
1.5171,1.5171,1.5171,-0.0185029437,2026-05-15
1.5117,1.5117,1.5117,-0.0035594226,2026-05-22
