nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-25
1.0,1.0,1.0,0.0,2019-12-26
1.0,1.0,1.0,0.0,2019-12-27
1.0,1.0,1.0,0.0,2019-12-30
1.0,1.0,1.0,0.0,2019-12-31
1.0,1.0,1.0,0.0,2020-01-02
1.0,1.0,1.0,0.0,2020-01-03
1.001,1.001,1.001,0.001,2020-01-06
1.001,1.001,1.001,0.0,2020-01-07
1.001,1.001,1.001,0.0,2020-01-08
1.001,1.001,1.001,0.0,2020-01-09
1.001,1.001,1.001,0.0,2020-01-10
1.001,1.001,1.001,0.0,2020-01-13
1.001,1.001,1.001,0.0,2020-01-14
1.001,1.001,1.001,0.0,2020-01-15
0.999,0.999,0.999,-0.001998002,2020-01-16
0.997,0.997,0.997,-0.002002002,2020-01-17
0.997,0.997,0.997,0.0,2020-01-20
0.99,0.99,0.99,-0.0070210632,2020-01-21
0.989,0.989,0.989,-0.001010101,2020-01-22
0.97,0.97,0.97,-0.0192113246,2020-01-23
0.923,0.923,0.923,-0.0484536082,2020-02-03
0.944,0.944,0.944,0.022751896,2020-02-04
0.955,0.955,0.955,0.0116525424,2020-02-05
0.982,0.982,0.982,0.0282722513,2020-02-06
0.982,0.982,0.982,0.0,2020-02-07
0.983,0.983,0.983,0.0010183299,2020-02-10
0.983,0.983,0.983,0.0,2020-02-11
0.994,0.994,0.994,0.011190234,2020-02-12
0.999,0.999,0.999,0.0050301811,2020-02-13
1.002,1.002,1.002,0.003003003,2020-02-14
1.009,1.009,1.009,0.0069860279,2020-02-17
1.008,1.008,1.008,-0.0009910803,2020-02-18
1.017,1.017,1.017,0.0089285714,2020-02-19
1.034,1.034,1.034,0.0167158309,2020-02-20
1.033,1.033,1.033,-0.000967118,2020-02-21
1.027,1.027,1.027,-0.0058083253,2020-02-24
1.041,1.041,1.041,0.0136319377,2020-02-25
1.037,1.037,1.037,-0.0038424592,2020-02-26
