nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-02-23
1.0,1.0,1.0,0.0,2022-02-24
1.0,1.0,1.0,0.0,2022-02-25
0.9998,0.9998,0.9998,-0.0002,2022-02-28
0.9998,0.9998,0.9998,0.0,2022-03-01
0.9998,0.9998,0.9998,0.0,2022-03-02
0.9997,0.9997,0.9997,-0.00010002,2022-03-03
0.9997,0.9997,0.9997,0.0,2022-03-04
0.9995,0.9995,0.9995,-0.00020006,2022-03-07
0.9991,0.9991,0.9991,-0.0004002001,2022-03-08
0.9991,0.9991,0.9991,0.0,2022-03-09
0.999,0.999,0.999,-0.0001000901,2022-03-10
0.999,0.999,0.999,0.0,2022-03-11
0.9989,0.9989,0.9989,-0.0001001001,2022-03-14
0.9884,0.9884,0.9884,-0.0105115627,2022-03-15
0.9883,0.9883,0.9883,-0.0001011736,2022-03-16
0.9883,0.9883,0.9883,0.0,2022-03-17
1.0346,1.0346,1.0346,0.046848123,2022-03-18
1.0348,1.0348,1.0348,0.0001933114,2022-03-21
1.0379,1.0379,1.0379,0.002995748,2022-03-22
1.0379,1.0379,1.0379,0.0,2022-03-23
1.0379,1.0379,1.0379,0.0,2022-03-24
1.0287,1.0287,1.0287,-0.0088640524,2022-03-25
1.0285,1.0285,1.0285,-0.0001944201,2022-03-28
1.0306,1.0306,1.0306,0.0020418085,2022-03-29
1.0305,1.0305,1.0305,-9.70309e-05,2022-03-30
1.0305,1.0305,1.0305,0.0,2022-03-31
1.0129,1.0129,1.0129,-0.0170790878,2022-04-01
1.0154,1.0154,1.0154,0.0024681607,2022-04-08
1.0298,1.0298,1.0298,0.0141816033,2022-04-15
0.9771,0.9771,0.9771,-0.0511749854,2022-04-22
0.9108,0.9108,0.9108,-0.0678538532,2022-04-29
0.8772,0.8772,0.8772,-0.0368906456,2022-05-06
0.8515,0.8515,0.8515,-0.0292977656,2022-05-13
0.8022,0.8022,0.8022,-0.0578978274,2022-05-20
0.8066,0.8066,0.8066,0.0054849165,2022-05-27
0.8085,0.8085,0.8085,0.0023555666,2022-06-02
0.8029,0.8029,0.8029,-0.0069264069,2022-06-10
0.8457,0.8457,0.8457,0.053306763,2022-06-17
0.9001,0.9001,0.9001,0.0643254109,2022-06-24
0.898,0.898,0.898,-0.0023330741,2022-07-01
0.8716,0.8716,0.8716,-0.0293986637,2022-07-08
0.8217,0.8217,0.8217,-0.0572510326,2022-07-15
0.8318,0.8318,0.8318,0.0122915906,2022-07-22
0.7882,0.7882,0.7882,-0.0524164463,2022-07-29
