nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-09-11
1.0,1.0,1.0,0.0,2020-09-14
1.0,1.0,1.0,0.0,2020-09-18
1.0,1.0,1.0,0.0,2020-09-21
1.0,1.0,1.0,0.0,2020-09-25
1.0,1.0,1.0,0.0,2020-09-28
1.002,1.002,1.002,0.002,2020-09-30
1.002,1.002,1.002,0.0,2020-10-09
1.003,1.003,1.003,0.000998004,2020-10-12
1.001,1.001,1.001,-0.0019940179,2020-10-16
1.001,1.001,1.001,0.0,2020-10-19
0.999,0.999,0.999,-0.001998002,2020-10-23
1.0,1.0,1.0,0.001001001,2020-10-26
1.003,1.003,1.003,0.003,2020-10-30
1.005,1.005,1.005,0.0019940179,2020-11-02
1.019,1.019,1.019,0.0139303483,2020-11-06
1.026,1.026,1.026,0.0068694799,2020-11-09
1.019,1.019,1.019,-0.0068226121,2020-11-13
1.028,1.028,1.028,0.0088321884,2020-11-16
1.039,1.039,1.039,0.0107003891,2020-11-20
1.034,1.034,1.034,-0.0048123195,2020-11-23
1.03,1.03,1.03,-0.003868472,2020-11-27
1.027,1.027,1.027,-0.0029126214,2020-11-30
1.039,1.039,1.039,0.011684518,2020-12-04
1.031,1.031,1.031,-0.0076997113,2020-12-07
1.009,1.009,1.009,-0.0213385063,2020-12-11
1.019,1.019,1.019,0.0099108028,2020-12-14
1.024,1.024,1.024,0.0049067713,2020-12-18
1.025,1.025,1.025,0.0009765625,2020-12-21
0.998,0.998,0.998,-0.0263414634,2020-12-25
0.995,0.995,0.995,-0.003006012,2020-12-28
1.023,1.023,1.023,0.0281407035,2020-12-31
1.033,1.033,1.033,0.0097751711,2021-01-04
1.036,1.036,1.036,0.0029041626,2021-01-08
1.025,1.025,1.025,-0.0106177606,2021-01-11
1.034,1.034,1.034,0.0087804878,2021-01-15
1.042,1.042,1.042,0.0077369439,2021-01-18
1.062,1.062,1.062,0.019193858,2021-01-22
1.055,1.055,1.055,-0.0065913371,2021-01-25
1.053,1.053,1.053,-0.0018957346,2021-01-29
1.075,1.075,1.075,0.0208926876,2021-02-01
1.063,1.063,1.063,-0.0111627907,2021-02-05
1.119,1.119,1.119,0.0526810913,2021-02-10
1.114,1.114,1.114,-0.0044682752,2021-02-19
1.055,1.055,1.055,-0.052962298,2021-02-26
1.056,1.056,1.056,0.0009478673,2021-03-05
1.02,1.02,1.02,-0.0340909091,2021-03-12
1.023,1.023,1.023,0.0029411765,2021-03-19
1.035,1.035,1.035,0.0117302053,2021-03-26
1.041,1.041,1.041,0.0057971014,2021-04-02
1.019,1.019,1.019,-0.0211335255,2021-04-09
1.015,1.015,1.015,-0.0039254171,2021-04-16
1.01,1.01,1.01,-0.0049261084,2021-04-23
1.008,1.008,1.008,-0.001980198,2021-04-30
0.982,0.982,0.982,-0.0257936508,2021-05-07
0.993,0.993,0.993,0.0112016293,2021-05-14
0.987,0.987,0.987,-0.0060422961,2021-05-21
1.018,1.018,1.018,0.031408308,2021-05-28
1.026,1.026,1.026,0.0078585462,2021-06-04
1.011,1.011,1.011,-0.014619883,2021-06-11
0.995,0.995,0.995,-0.0158259149,2021-06-18
1.01,1.01,1.01,0.0150753769,2021-06-25
1.007,1.007,1.007,-0.002970297,2021-07-02
0.997,0.997,0.997,-0.0099304866,2021-07-09
1.013,1.013,1.013,0.0160481444,2021-07-16
0.978,0.978,0.978,-0.0345508391,2021-07-23
0.95,0.95,0.95,-0.0286298569,2021-07-30
0.967,0.967,0.967,0.0178947368,2021-08-06
0.979,0.979,0.979,0.012409514,2021-08-13
0.98,0.98,0.98,0.0010214505,2021-08-20
