nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-06-03
1.0,1.0,1.0,0.0,2021-06-04
1.0,1.0,1.0,0.0,2021-06-11
1.0065,1.0065,1.0065,0.0065,2021-06-18
0.99,0.99,0.99,-0.0163934426,2021-06-25
0.8493,0.8493,0.8493,-0.1421212121,2021-07-02
0.8003,0.8003,0.8003,-0.057694572,2021-07-09
0.8167,0.8167,0.8167,0.0204923154,2021-07-16
0.8064,0.8064,0.8064,-0.0126117301,2021-07-23
0.8107,0.8107,0.8107,0.0053323413,2021-07-30
0.7859,0.7859,0.7859,-0.0305908474,2021-08-06
0.7669,0.7669,0.7669,-0.0241761038,2021-08-13
0.799,0.799,0.799,0.0418568262,2021-08-20
0.752,0.752,0.752,-0.0588235294,2021-08-27
0.713,0.713,0.713,-0.0518617021,2021-09-03
0.7513,0.7513,0.7513,0.05371669,2021-09-10
0.7682,0.7682,0.7682,0.0224943431,2021-09-17
0.7631,0.7631,0.7631,-0.0066388961,2021-09-24
0.7513,0.7513,0.7513,-0.015463242,2021-09-30
0.7802,0.7802,0.7802,0.0384666578,2021-10-08
0.7772,0.7772,0.7772,-0.0038451679,2021-10-15
0.8337,0.8337,0.8337,0.0726968605,2021-10-22
0.8452,0.8452,0.8452,0.0137939307,2021-10-29
0.8304,0.8304,0.8304,-0.0175106484,2021-11-05
0.8044,0.8044,0.8044,-0.0313102119,2021-11-12
0.7819,0.7819,0.7819,-0.0279711586,2021-11-19
0.7874,0.7874,0.7874,0.0070341476,2021-11-26
0.7733,0.7733,0.7733,-0.0179070358,2021-12-03
0.7148,0.7148,0.7148,-0.0756498125,2021-12-10
0.7367,0.7367,0.7367,0.0306379407,2021-12-17
0.7257,0.7257,0.7257,-0.0149314511,2021-12-24
0.7119,0.7119,0.7119,-0.0190161224,2021-12-31
0.7023,0.7023,0.7023,-0.01348504,2022-01-07
0.7132,0.7132,0.7132,0.0155204329,2022-01-14
0.7374,0.7374,0.7374,0.033931576,2022-01-21
