nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-02-21
1.0,1.0,1.0,0.0,2022-02-25
0.9995,0.9995,0.9995,-0.0005,2022-03-04
1.0127,1.0127,1.0127,0.0132066033,2022-03-11
0.9975,0.9975,0.9975,-0.0150093809,2022-03-18
0.9975,0.9975,0.9975,0.0,2022-03-25
0.9894,0.9894,0.9894,-0.0081203008,2022-04-01
0.9554,0.9554,0.9554,-0.0343642612,2022-04-08
0.9199,0.9199,0.9199,-0.0371572116,2022-04-15
0.8611,0.8611,0.8611,-0.0639199913,2022-04-22
0.8425,0.8425,0.8425,-0.0216002787,2022-04-29
0.8557,0.8557,0.8557,0.0156676558,2022-05-06
0.9163,0.9163,0.9163,0.0708192123,2022-05-13
0.9477,0.9477,0.9477,0.0342682528,2022-05-20
0.9362,0.9362,0.9362,-0.0121346418,2022-05-27
0.9849,0.9849,0.9849,0.0520187994,2022-06-02
1.0118,1.0118,1.0118,0.0273124175,2022-06-10
1.0441,1.0441,1.0441,0.031923305,2022-06-17
1.0798,1.0798,1.0798,0.0341921272,2022-06-24
1.0835,1.0835,1.0835,0.0034265605,2022-07-01
1.076,1.076,1.076,-0.006922012,2022-07-08
1.0491,1.0491,1.0491,-0.025,2022-07-15
1.0783,1.0783,1.0783,0.027833381,2022-07-22
1.1076,1.1076,1.1076,0.027172401,2022-07-29
1.103,1.103,1.103,-0.0041531239,2022-08-05
1.1421,1.1421,1.1421,0.0354487761,2022-08-12
1.1491,1.1491,1.1491,0.0061290605,2022-08-19
1.1177,1.1177,1.1177,-0.0273257332,2022-08-26
1.1021,1.1021,1.1021,-0.0139572336,2022-09-02
1.1297,1.1297,1.1297,0.0250430995,2022-09-09
1.0775,1.0775,1.0775,-0.0462069576,2022-09-16
1.053,1.053,1.053,-0.022737819,2022-09-23
1.0158,1.0158,1.0158,-0.0353276353,2022-09-30
1.0661,1.0661,1.0661,0.0495176216,2022-10-14
1.0893,1.0893,1.0893,0.0217615608,2022-10-21
1.0599,1.0599,1.0599,-0.02698981,2022-10-28
1.1512,1.1512,1.1512,0.0861402019,2022-11-04
1.1495,1.1495,1.1495,-0.0014767199,2022-11-11
1.1669,1.1669,1.1669,0.0151370161,2022-11-18
1.135,1.135,1.135,-0.0273373897,2022-11-25
1.1604,1.1604,1.1604,0.0223788546,2022-12-02
1.162,1.162,1.162,0.0013788349,2022-12-09
1.1426,1.1426,1.1426,-0.0166953528,2022-12-16
1.0878,1.0878,1.0878,-0.0479607912,2022-12-23
1.1069,1.1069,1.1069,0.0175583747,2022-12-30
1.141,1.141,1.141,0.0308067576,2023-01-06
1.1432,1.1432,1.1432,0.0019281332,2023-01-13
1.1798,1.1798,1.1798,0.0320153954,2023-01-20
1.2164,1.2164,1.2164,0.0310222072,2023-02-03
1.2362,1.2362,1.2362,0.0162775403,2023-02-10
1.2181,1.2181,1.2181,-0.0146416437,2023-02-17
1.2341,1.2341,1.2341,0.0131352106,2023-02-24
1.2408,1.2408,1.2408,0.0054290576,2023-03-03
1.21,1.21,1.21,-0.024822695,2023-03-10
1.2147,1.2147,1.2147,0.0038842975,2023-03-17
1.2413,1.2413,1.2413,0.0218984111,2023-03-24
1.2358,1.2358,1.2358,-0.0044308386,2023-03-31
1.2501,1.2501,1.2501,0.0115714517,2023-04-07
1.2517,1.2517,1.2517,0.0012798976,2023-04-14
1.2045,1.2045,1.2045,-0.0377087161,2023-04-21
1.216,1.216,1.216,0.0095475301,2023-04-28
1.2201,1.2201,1.2201,0.0033717105,2023-05-05
1.2086,1.2086,1.2086,-0.0094254569,2023-05-12
1.2239,1.2239,1.2239,0.0126592752,2023-05-19
1.2197,1.2197,1.2197,-0.0034316529,2023-05-26
1.2204,1.2204,1.2204,0.0005739116,2023-05-31
1.2273,1.2273,1.2273,0.005653884,2023-06-02
1.223,1.223,1.223,-0.0035036258,2023-06-09
1.246,1.246,1.246,0.0188062142,2023-06-16
1.2266,1.2266,1.2266,-0.0155698234,2023-06-21
1.2401,1.2401,1.2401,0.0110060329,2023-06-30
1.2356,1.2356,1.2356,-0.0036287396,2023-07-07
1.2422,1.2422,1.2422,0.0053415345,2023-07-14
1.2096,1.2096,1.2096,-0.0262437611,2023-07-21
1.2212,1.2212,1.2212,0.0095899471,2023-07-28
1.2298,1.2298,1.2298,0.0070422535,2023-07-31
1.2285,1.2285,1.2285,-0.0010570825,2023-08-04
1.1884,1.1884,1.1884,-0.0326414326,2023-08-11
1.1692,1.1692,1.1692,-0.0161561764,2023-08-18
1.1336,1.1336,1.1336,-0.0304481697,2023-08-25
1.1628,1.1628,1.1628,0.025758645,2023-09-01
1.1646,1.1646,1.1646,0.0015479876,2023-09-08
1.1517,1.1517,1.1517,-0.0110767646,2023-09-15
1.1529,1.1529,1.1529,0.001041938,2023-09-22
1.1566,1.1566,1.1566,0.0032092983,2023-09-28
1.1532,1.1532,1.1532,-0.0029396507,2023-10-13
1.1045,1.1045,1.1045,-0.0422303156,2023-10-20
1.1413,1.1413,1.1413,0.0333182435,2023-10-27
1.1549,1.1549,1.1549,0.0119162359,2023-11-03
1.1747,1.1747,1.1747,0.0171443415,2023-11-10
1.1997,1.1997,1.1997,0.0212820295,2023-11-17
1.1964,1.1964,1.1964,-0.0027506877,2023-11-24
1.2018,1.2018,1.2018,0.0045135406,2023-12-01
1.1734,1.1734,1.1734,-0.0236312198,2023-12-08
1.1764,1.1764,1.1764,0.0025566729,2023-12-15
1.1424,1.1424,1.1424,-0.0289017341,2023-12-22
1.1652,1.1652,1.1652,0.0199579832,2023-12-29
1.1479,1.1479,1.1479,-0.0148472365,2024-01-05
1.1378,1.1378,1.1378,-0.0087986758,2024-01-12
1.0857,1.0857,1.0857,-0.0457901213,2024-01-19
1.072,1.072,1.072,-0.0126185871,2024-01-26
0.9278,0.9278,0.9278,-0.1345149254,2024-02-02
0.9568,0.9568,0.9568,0.0312567364,2024-02-08
1.1462,1.1462,1.1462,0.197951505,2024-02-23
1.1708,1.1708,1.1708,0.021462223,2024-03-01
1.1695,1.1695,1.1695,-0.0011103519,2024-03-08
1.2199,1.2199,1.2199,0.0430953399,2024-03-15
1.25,1.25,1.25,0.0246741536,2024-03-22
1.2357,1.2357,1.2357,-0.01144,2024-03-29
1.2574,1.2574,1.2574,0.0175608967,2024-04-03
1.2235,1.2235,1.2235,-0.0269603945,2024-04-12
1.171,1.171,1.171,-0.0429096853,2024-04-19
1.2225,1.2225,1.2225,0.0439795047,2024-04-26
1.2591,1.2591,1.2591,0.0299386503,2024-04-30
1.2629,1.2629,1.2629,0.0030180288,2024-05-10
1.2707,1.2707,1.2707,0.006176261,2024-05-17
1.2278,1.2278,1.2278,-0.0337609192,2024-05-24
1.2277,1.2277,1.2277,-8.14465e-05,2024-05-31
1.1765,1.1765,1.1765,-0.0417039993,2024-06-07
1.1888,1.1888,1.1888,0.0104547386,2024-06-14
1.1721,1.1721,1.1721,-0.0140477793,2024-06-21
1.1598,1.1598,1.1598,-0.0104939852,2024-06-28
1.1575,1.1575,1.1575,-0.0019831005,2024-07-05
1.1692,1.1692,1.1692,0.0101079914,2024-07-12
1.16,1.16,1.16,-0.0078686281,2024-07-19
1.15,1.15,1.15,-0.0086206897,2024-07-26
1.1887,1.1887,1.1887,0.0336521739,2024-08-02
1.1762,1.1762,1.1762,-0.0105156894,2024-08-09
1.1771,1.1771,1.1771,0.000765176,2024-08-16
1.1432,1.1432,1.1432,-0.0287995922,2024-08-23
1.1621,1.1621,1.1621,0.0165325402,2024-08-30
1.1357,1.1357,1.1357,-0.0227174942,2024-09-06
1.114,1.114,1.114,-0.0191071586,2024-09-13
