nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-04-21
1.0699,1.0699,1.0699,0.0699,2023-12-08
1.0665,1.0665,1.0665,-0.0031778671,2023-12-15
1.0701,1.0701,1.0701,0.0033755274,2023-12-22
1.0956,1.0956,1.0956,0.0238295486,2023-12-29
1.0869,1.0869,1.0869,-0.0079408543,2024-01-05
1.0843,1.0843,1.0843,-0.0023921244,2024-01-12
1.0691,1.0691,1.0691,-0.0140182606,2024-01-19
1.0651,1.0651,1.0651,-0.0037414648,2024-01-26
1.0196,1.0196,1.0196,-0.0427189935,2024-02-02
1.0236,1.0236,1.0236,0.0039231071,2024-02-08
1.0565,1.0565,1.0565,0.0321414615,2024-02-23
1.0581,1.0581,1.0581,0.0015144345,2024-03-01
1.0427,1.0427,1.0427,-0.0145543899,2024-03-08
1.0577,1.0577,1.0577,0.0143857294,2024-03-15
1.0628,1.0628,1.0628,0.0048217831,2024-03-22
1.0561,1.0561,1.0561,-0.0063041024,2024-03-29
1.0815,1.0815,1.0815,0.0240507528,2024-04-03
1.084,1.084,1.084,0.0023116043,2024-04-12
1.0664,1.0664,1.0664,-0.0162361624,2024-04-19
1.0799,1.0799,1.0799,0.0126594149,2024-04-26
1.1233,1.1233,1.1233,0.0401889064,2024-05-10
1.1251,1.1251,1.1251,0.0016024214,2024-05-17
1.1213,1.1213,1.1213,-0.0033774776,2024-05-24
1.1217,1.1217,1.1217,0.0003567288,2024-05-31
1.0867,1.0867,1.0867,-0.0312026389,2024-06-07
1.096,1.096,1.096,0.0085580197,2024-06-14
1.0701,1.0701,1.0701,-0.0236313869,2024-06-21
1.0742,1.0742,1.0742,0.0038314176,2024-06-28
1.079,1.079,1.079,0.0044684416,2024-07-05
1.0847,1.0847,1.0847,0.0052826691,2024-07-12
1.0691,1.0691,1.0691,-0.0143818567,2024-07-19
1.063,1.063,1.063,-0.0057057338,2024-07-26
1.0791,1.0791,1.0791,0.0151458137,2024-07-31
1.0752,1.0752,1.0752,-0.0036141229,2024-08-02
1.0708,1.0708,1.0708,-0.0040922619,2024-08-09
1.0481,1.0481,1.0481,-0.0211991035,2024-08-16
1.0357,1.0357,1.0357,-0.0118309322,2024-08-23
1.0742,1.0742,1.0742,0.0371729265,2024-08-30
1.0774,1.0774,1.0774,0.0029789611,2024-09-06
1.0627,1.0627,1.0627,-0.0136439577,2024-09-13
1.0624,1.0624,1.0624,-0.0002822998,2024-09-20
1.1312,1.1312,1.1312,0.0647590361,2024-09-27
1.1617,1.1617,1.1617,0.0269625177,2024-09-30
1.1907,1.1907,1.1907,0.0249634157,2024-10-11
1.213,1.213,1.213,0.018728479,2024-10-18
1.2458,1.2458,1.2458,0.0270403957,2024-10-25
1.2512,1.2512,1.2512,0.0043345641,2024-10-31
1.2416,1.2416,1.2416,-0.0076726343,2024-11-01
1.2821,1.2821,1.2821,0.032619201,2024-11-08
1.2784,1.2784,1.2784,-0.0028858903,2024-11-15
1.2734,1.2734,1.2734,-0.0039111389,2024-11-22
1.2894,1.2894,1.2894,0.0125647872,2024-11-29
1.3015,1.3015,1.3015,0.0093842097,2024-12-06
1.3179,1.3179,1.3179,0.0126008452,2024-12-13
1.3117,1.3117,1.3117,-0.0047044541,2024-12-20
1.3077,1.3077,1.3077,-0.0030494778,2024-12-27
1.3077,1.3077,1.3077,0.0,2024-12-31
1.2989,1.2989,1.2989,-0.0067293722,2025-01-03
1.3007,1.3007,1.3007,0.001385788,2025-01-10
1.314,1.314,1.314,0.0102252633,2025-01-17
1.3246,1.3246,1.3246,0.0080669711,2025-01-24
1.3231,1.3231,1.3231,-0.0011324173,2025-01-27
1.3335,1.3335,1.3335,0.007860328,2025-02-07
1.3369,1.3369,1.3369,0.0025496813,2025-02-14
1.343,1.343,1.343,0.0045627945,2025-02-21
1.3426,1.3426,1.3426,-0.0002978407,2025-02-28
1.3491,1.3491,1.3491,0.0048413526,2025-03-07
1.3535,1.3535,1.3535,0.0032614335,2025-03-14
1.3438,1.3438,1.3438,-0.0071666051,2025-03-21
1.3425,1.3425,1.3425,-0.0009674059,2025-03-28
1.3363,1.3363,1.3363,-0.0046182495,2025-03-31
1.342,1.342,1.342,0.0042655092,2025-04-03
1.3269,1.3269,1.3269,-0.0112518629,2025-04-11
1.3239,1.3239,1.3239,-0.0022609089,2025-04-18
1.3453,1.3453,1.3453,0.0161643629,2025-04-25
1.3471,1.3471,1.3471,0.0013379915,2025-04-30
1.3641,1.3641,1.3641,0.0126197016,2025-05-09
1.3668,1.3668,1.3668,0.001979327,2025-05-16
1.3657,1.3657,1.3657,-0.0008047995,2025-05-23
1.3684,1.3684,1.3684,0.0019770081,2025-05-30
1.3903,1.3903,1.3903,0.0160040924,2025-06-06
1.3879,1.3879,1.3879,-0.0017262461,2025-06-13
1.3834,1.3834,1.3834,-0.0032423085,2025-06-20
1.4093,1.4093,1.4093,0.0187219893,2025-06-27
1.4117,1.4117,1.4117,0.0017029731,2025-06-30
1.4138,1.4138,1.4138,0.0014875682,2025-07-04
1.4252,1.4252,1.4252,0.0080633753,2025-07-11
1.4303,1.4303,1.4303,0.0035784451,2025-07-18
1.4405,1.4405,1.4405,0.007131371,2025-07-25
1.4342,1.4342,1.4342,-0.0043734814,2025-07-31
1.4361,1.4361,1.4361,0.0013247804,2025-08-01
