nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-03-22
1.0,1.0,1.0,0.0,2019-03-25
1.0,1.0,1.0,0.0,2019-03-26
1.0,1.0,1.0,0.0,2019-03-27
1.0,1.0,1.0,0.0,2019-03-28
1.0,1.0,1.0,0.0,2019-03-29
1.0,1.0,1.0,0.0,2019-04-01
1.0,1.0,1.0,0.0,2019-04-02
1.0,1.0,1.0,0.0,2019-04-03
1.0007,1.0007,1.0007,0.0007,2019-04-04
1.0008,1.0008,1.0008,9.993e-05,2019-04-08
1.0047,1.0047,1.0047,0.0038968825,2019-04-09
1.0042,1.0042,1.0042,-0.000497661,2019-04-10
1.0022,1.0022,1.0022,-0.0019916351,2019-04-11
1.0053,1.0053,1.0053,0.003093195,2019-04-12
0.9991,0.9991,0.9991,-0.0061673132,2019-04-15
1.002,1.002,1.002,0.0029026124,2019-04-16
1.0008,1.0008,1.0008,-0.0011976048,2019-04-17
1.0002,1.0002,1.0002,-0.0005995204,2019-04-18
0.9995,0.9995,0.9995,-0.00069986,2019-04-19
0.9977,0.9977,0.9977,-0.0018009005,2019-04-22
0.9982,0.9982,0.9982,0.0005011527,2019-04-23
0.9994,0.9994,0.9994,0.0012021639,2019-04-24
0.9964,0.9964,0.9964,-0.0030018011,2019-04-25
0.9912,0.9912,0.9912,-0.0052187876,2019-04-26
0.9846,0.9846,0.9846,-0.0066585956,2019-04-29
0.9853,0.9853,0.9853,0.0007109486,2019-04-30
0.9852,0.9852,0.9852,-0.0001014919,2019-05-06
0.9854,0.9854,0.9854,0.0002030045,2019-05-07
0.9857,0.9857,0.9857,0.0003044449,2019-05-08
0.9868,0.9868,0.9868,0.0011159582,2019-05-09
0.9882,0.9882,0.9882,0.0014187272,2019-05-10
0.9875,0.9875,0.9875,-0.0007083586,2019-05-13
0.9873,0.9873,0.9873,-0.0002025316,2019-05-14
0.9883,0.9883,0.9883,0.0010128634,2019-05-15
0.9911,0.9911,0.9911,0.0028331478,2019-05-16
0.9877,0.9877,0.9877,-0.0034305317,2019-05-17
0.9872,0.9872,0.9872,-0.0005062266,2019-05-20
0.9876,0.9876,0.9876,0.0004051864,2019-05-21
0.9875,0.9875,0.9875,-0.0001012556,2019-05-22
0.9864,0.9864,0.9864,-0.0011139241,2019-05-23
0.9863,0.9863,0.9863,-0.0001013788,2019-05-24
