nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.1384,1.1384,1.1384,0.0,2023-05-10
1.1117,1.1117,1.1117,-0.0234539705,2023-05-12
1.0751,1.0751,1.0751,-0.032922551,2023-05-19
1.0697,1.0697,1.0697,-0.0050227886,2023-05-26
1.0695,1.0695,1.0695,-0.0001869683,2023-05-31
1.0663,1.0663,1.0663,-0.0029920524,2023-06-02
1.0621,1.0621,1.0621,-0.003938854,2023-06-09
1.0571,1.0571,1.0571,-0.0047076546,2023-06-16
1.0473,1.0473,1.0473,-0.0092706461,2023-06-21
1.062,1.062,1.062,0.0140360928,2023-06-30
1.0276,1.0276,1.0276,-0.0323917137,2023-07-07
1.0317,1.0317,1.0317,0.0039898793,2023-07-14
0.9814,0.9814,0.9814,-0.0487544829,2023-07-21
0.9634,0.9634,0.9634,-0.0183411453,2023-07-28
0.9665,0.9665,0.9665,0.0032177704,2023-07-31
0.9779,0.9779,0.9779,0.0117951371,2023-08-04
0.9503,0.9503,0.9503,-0.0282237448,2023-08-11
0.9132,0.9132,0.9132,-0.0390403031,2023-08-18
0.8692,0.8692,0.8692,-0.0481822164,2023-08-25
0.8681,0.8681,0.8681,-0.0012655315,2023-08-31
0.8657,0.8657,0.8657,-0.0027646584,2023-09-01
0.8627,0.8627,0.8627,-0.0034654037,2023-09-08
0.8437,0.8437,0.8437,-0.0220238785,2023-09-15
0.836,0.836,0.836,-0.0091264668,2023-09-22
0.8516,0.8516,0.8516,0.0186602871,2023-09-28
0.8345,0.8345,0.8345,-0.0200798497,2023-10-13
0.8599,0.8599,0.8599,0.0304373877,2023-10-20
0.9259,0.9259,0.9259,0.0767531108,2023-10-27
0.9083,0.9083,0.9083,-0.0190085322,2023-10-31
0.9021,0.9021,0.9021,-0.0068259386,2023-11-03
0.907,0.907,0.907,0.0054317703,2023-11-10
0.9974,0.9974,0.9974,0.0996692393,2023-11-17
0.9935,0.9935,0.9935,-0.0039101664,2023-11-24
1.0315,1.0315,1.0315,0.038248616,2023-11-30
1.0489,1.0489,1.0489,0.0168686379,2023-12-01
1.0514,1.0514,1.0514,0.0023834493,2023-12-08
1.049,1.049,1.049,-0.0022826707,2023-12-15
1.0467,1.0467,1.0467,-0.0021925643,2023-12-22
1.0478,1.0478,1.0478,0.0010509219,2023-12-29
1.0359,1.0359,1.0359,-0.0113571292,2024-01-05
1.0841,1.0841,1.0841,0.0465295878,2024-01-12
1.0903,1.0903,1.0903,0.0057190296,2024-01-19
