nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-08-11
1.0,1.0,1.0,0.0,2020-08-14
0.9999,0.9999,0.9999,-0.0001,2020-08-20
0.9999,0.9999,0.9999,0.0,2020-08-21
1.0038,1.0038,1.0038,0.00390039,2020-08-28
0.9959,0.9959,0.9959,-0.0078700936,2020-09-04
0.936,0.936,0.936,-0.0601466011,2020-09-11
0.963,0.963,0.963,0.0288461538,2020-09-18
0.9593,0.9593,0.9593,-0.0038421599,2020-09-21
0.9288,0.9288,0.9288,-0.0317940165,2020-09-25
0.9252,0.9252,0.9252,-0.003875969,2020-09-30
0.9514,0.9514,0.9514,0.0283182015,2020-10-09
0.9689,0.9689,0.9689,0.0183939458,2020-10-16
0.9677,0.9677,0.9677,-0.0012385179,2020-10-20
0.9333,0.9333,0.9333,-0.0355482071,2020-10-23
0.9212,0.9212,0.9212,-0.0129647487,2020-10-30
0.9518,0.9518,0.9518,0.0332175423,2020-11-06
0.9487,0.9487,0.9487,-0.0032569868,2020-11-13
0.9669,0.9669,0.9669,0.0191841467,2020-11-20
0.9504,0.9504,0.9504,-0.0170648464,2020-11-27
0.9684,0.9684,0.9684,0.0189393939,2020-12-04
0.9338,0.9338,0.9338,-0.0357290376,2020-12-11
0.9501,0.9501,0.9501,0.0174555579,2020-12-18
0.9641,0.9641,0.9641,0.014735291,2020-12-21
0.9514,0.9514,0.9514,-0.0131729074,2020-12-25
0.9665,0.9665,0.9665,0.0158713475,2020-12-31
0.983,0.983,0.983,0.0170719089,2021-01-08
0.9804,0.9804,0.9804,-0.0026449644,2021-01-15
1.0006,1.0006,1.0006,0.0206038352,2021-01-20
1.0112,1.0112,1.0112,0.0105936438,2021-01-22
0.9654,0.9654,0.9654,-0.0452927215,2021-01-29
0.9576,0.9576,0.9576,-0.0080795525,2021-02-05
1.0003,1.0003,1.0003,0.0445906433,2021-02-10
1.0183,1.0183,1.0183,0.0179946016,2021-02-19
1.0126,1.0126,1.0126,-0.0055975646,2021-02-22
