nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-05-25
1.0,1.0,1.0,0.0,2020-05-26
1.0,1.0,1.0,0.0,2020-05-27
0.9999,0.9999,0.9999,-0.0001,2020-05-28
0.9999,0.9999,0.9999,0.0,2020-05-29
0.9998,0.9998,0.9998,-0.00010001,2020-06-01
0.9997,0.9997,0.9997,-0.00010002,2020-06-02
0.9997,0.9997,0.9997,0.0,2020-06-03
0.9997,0.9997,0.9997,0.0,2020-06-04
0.9997,0.9997,0.9997,0.0,2020-06-05
0.9997,0.9997,0.9997,0.0,2020-06-08
0.9997,0.9997,0.9997,0.0,2020-06-09
1.0008,1.0008,1.0008,0.0011003301,2020-06-10
0.9941,0.9941,0.9941,-0.0066946443,2020-06-11
0.9968,0.9968,0.9968,0.0027160245,2020-06-12
0.9861,0.9861,0.9861,-0.0107343499,2020-06-15
1.0026,1.0026,1.0026,0.0167325829,2020-06-16
1.0041,1.0041,1.0041,0.0014961101,2020-06-17
1.0051,1.0051,1.0051,0.0009959167,2020-06-18
1.0131,1.0131,1.0131,0.007959407,2020-06-19
1.0102,1.0102,1.0102,-0.0028625012,2020-06-22
1.0132,1.0132,1.0132,0.002969709,2020-06-23
1.016,1.016,1.016,0.0027635215,2020-06-24
1.0127,1.0127,1.0127,-0.0032480315,2020-06-29
1.0205,1.0205,1.0205,0.0077021823,2020-06-30
1.0381,1.0381,1.0381,0.0172464478,2020-07-01
1.0537,1.0537,1.0537,0.015027454,2020-07-02
1.0632,1.0632,1.0632,0.0090158489,2020-07-03
1.1025,1.1025,1.1025,0.0369638826,2020-07-06
1.1015,1.1015,1.1015,-0.0009070295,2020-07-07
1.1092,1.1092,1.1092,0.0069904675,2020-07-08
1.117,1.117,1.117,0.0070320952,2020-07-09
1.0978,1.0978,1.0978,-0.0171888988,2020-07-10
1.1142,1.1142,1.1142,0.0149389688,2020-07-13
1.1069,1.1069,1.1069,-0.006551786,2020-07-14
1.1179,1.1179,1.1179,0.0099376637,2020-07-15
1.0844,1.0844,1.0844,-0.0299669022,2020-07-16
1.1052,1.1052,1.1052,0.019181114,2020-07-17
1.1281,1.1281,1.1281,0.0207202316,2020-07-20
1.1315,1.1315,1.1315,0.0030139172,2020-07-21
1.1269,1.1269,1.1269,-0.0040653999,2020-07-22
1.1354,1.1354,1.1354,0.0075428166,2020-07-23
1.1021,1.1021,1.1021,-0.0293288709,2020-07-24
1.1042,1.1042,1.1042,0.0019054532,2020-07-27
1.1153,1.1153,1.1153,0.0100525267,2020-07-28
1.1334,1.1334,1.1334,0.0162288174,2020-07-29
1.1293,1.1293,1.1293,-0.0036174343,2020-07-30
1.1364,1.1364,1.1364,0.0062870805,2020-07-31
1.151,1.151,1.151,0.0128475889,2020-08-03
1.1615,1.1615,1.1615,0.0091225022,2020-08-04
1.1665,1.1665,1.1665,0.0043047783,2020-08-05
1.1616,1.1616,1.1616,-0.0042006001,2020-08-06
1.1483,1.1483,1.1483,-0.0114497245,2020-08-07
1.1459,1.1459,1.1459,-0.0020900462,2020-08-10
1.1434,1.1434,1.1434,-0.0021816912,2020-08-11
1.1292,1.1292,1.1292,-0.0124191009,2020-08-12
1.1261,1.1261,1.1261,-0.0027453064,2020-08-13
1.1395,1.1395,1.1395,0.0118994761,2020-08-14
1.1547,1.1547,1.1547,0.0133391839,2020-08-17
1.157,1.157,1.157,0.0019918594,2020-08-18
1.1407,1.1407,1.1407,-0.014088159,2020-08-19
1.126,1.126,1.126,-0.0128868239,2020-08-20
1.137,1.137,1.137,0.0097690941,2020-08-21
1.1531,1.1531,1.1531,0.0141600704,2020-08-24
1.1644,1.1644,1.1644,0.0097996705,2020-08-25
1.158,1.158,1.158,-0.005496393,2020-08-26
1.1591,1.1591,1.1591,0.0009499136,2020-08-27
1.1794,1.1794,1.1794,0.0175135881,2020-08-28
1.1696,1.1696,1.1696,-0.0083093098,2020-08-31
1.1759,1.1759,1.1759,0.0053864569,2020-09-01
1.1858,1.1858,1.1858,0.0084190833,2020-09-02
1.1836,1.1836,1.1836,-0.0018552876,2020-09-03
1.1756,1.1756,1.1756,-0.0067590402,2020-09-04
1.1631,1.1631,1.1631,-0.0106328683,2020-09-07
1.1672,1.1672,1.1672,0.0035250623,2020-09-08
1.1451,1.1451,1.1451,-0.0189342015,2020-09-09
1.1452,1.1452,1.1452,8.73286e-05,2020-09-10
1.1554,1.1554,1.1554,0.0089067412,2020-09-11
1.1695,1.1695,1.1695,0.0122035659,2020-09-14
1.1822,1.1822,1.1822,0.0108593416,2020-09-15
1.1777,1.1777,1.1777,-0.0038064625,2020-09-16
1.1762,1.1762,1.1762,-0.001273669,2020-09-17
1.1912,1.1912,1.1912,0.0127529332,2020-09-18
1.1763,1.1763,1.1763,-0.0125083949,2020-09-21
1.1728,1.1728,1.1728,-0.0029754314,2020-09-22
1.181,1.181,1.181,0.0069918145,2020-09-23
1.1618,1.1618,1.1618,-0.016257409,2020-09-24
1.1618,1.1618,1.1618,0.0,2020-09-25
1.1638,1.1638,1.1638,0.0017214667,2020-09-28
1.165,1.165,1.165,0.001031105,2020-09-29
1.1636,1.1636,1.1636,-0.0012017167,2020-09-30
1.1855,1.1855,1.1855,0.0188209007,2020-10-09
1.2139,1.2139,1.2139,0.0239561367,2020-10-12
1.2289,1.2289,1.2289,0.0123568663,2020-10-13
1.2318,1.2318,1.2318,0.002359834,2020-10-14
1.2339,1.2339,1.2339,0.0017048222,2020-10-15
