nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-05-17
1.0,1.0,1.0,0.0,2019-05-24
1.0,1.0,1.0,0.0,2019-05-31
1.0,1.0,1.0,0.0,2019-06-06
1.0,1.0,1.0,0.0,2019-06-14
1.0,1.0,1.0,0.0,2019-06-21
1.0054,1.0054,1.0054,0.0054,2019-07-15
1.0057,1.0057,1.0057,0.0002983887,2019-07-16
1.0072,1.0072,1.0072,0.0014914985,2019-07-17
1.0022,1.0022,1.0022,-0.0049642573,2019-07-18
1.0104,1.0104,1.0104,0.0081819996,2019-07-19
1.0037,1.0037,1.0037,-0.0066310372,2019-07-22
1.0036,1.0036,1.0036,-9.96314e-05,2019-07-23
1.0052,1.0052,1.0052,0.0015942607,2019-07-24
1.0045,1.0045,1.0045,-0.0006963788,2019-07-25
1.0074,1.0074,1.0074,0.0028870085,2019-07-26
1.0063,1.0063,1.0063,-0.0010919198,2019-07-29
1.0076,1.0076,1.0076,0.0012918613,2019-07-30
1.0038,1.0038,1.0038,-0.0037713378,2019-07-31
1.0021,1.0021,1.0021,-0.0016935645,2019-08-01
1.0,1.0,1.0,-0.0020955992,2019-08-02
0.9982,0.9982,0.9982,-0.0018,2019-08-05
0.9912,0.9912,0.9912,-0.0070126227,2019-08-06
0.9918,0.9918,0.9918,0.0006053269,2019-08-07
0.9917,0.9917,0.9917,-0.0001008268,2019-08-08
0.9918,0.9918,0.9918,0.0001008369,2019-08-09
0.9929,0.9929,0.9929,0.0011090946,2019-08-12
0.993,0.993,0.993,0.0001007151,2019-08-13
0.9915,0.9915,0.9915,-0.001510574,2019-08-14
0.9879,0.9879,0.9879,-0.0036308623,2019-08-15
0.9865,0.9865,0.9865,-0.0014171475,2019-08-16
0.9958,0.9958,0.9958,0.0094272681,2019-08-19
0.9945,0.9945,0.9945,-0.001305483,2019-08-20
0.9957,0.9957,0.9957,0.0012066365,2019-08-21
0.9919,0.9919,0.9919,-0.0038164106,2019-08-22
0.9866,0.9866,0.9866,-0.0053432806,2019-08-23
0.9908,0.9908,0.9908,0.0042570444,2019-08-26
0.995,0.995,0.995,0.0042389988,2019-08-27
0.9984,0.9984,0.9984,0.0034170854,2019-08-28
1.0027,1.0027,1.0027,0.004306891,2019-08-29
1.0019,1.0019,1.0019,-0.0007978458,2019-08-30
1.0157,1.0157,1.0157,0.0137738297,2019-09-02
1.0175,1.0175,1.0175,0.0017721768,2019-09-03
1.0235,1.0235,1.0235,0.0058968059,2019-09-04
1.0257,1.0257,1.0257,0.0021494871,2019-09-05
1.0278,1.0278,1.0278,0.0020473823,2019-09-06
1.0344,1.0344,1.0344,0.0064214828,2019-09-09
1.0406,1.0406,1.0406,0.0059938128,2019-09-10
1.0366,1.0366,1.0366,-0.0038439362,2019-09-11
1.0349,1.0349,1.0349,-0.0016399768,2019-09-12
1.0338,1.0338,1.0338,-0.0010629046,2019-09-16
1.0283,1.0283,1.0283,-0.005320178,2019-09-17
1.0251,1.0251,1.0251,-0.0031119323,2019-09-18
1.0352,1.0352,1.0352,0.0098526973,2019-09-19
1.0339,1.0339,1.0339,-0.001255796,2019-09-20
1.0366,1.0366,1.0366,0.0026114711,2019-09-23
1.0385,1.0385,1.0385,0.0018329153,2019-09-24
1.0264,1.0264,1.0264,-0.0116514203,2019-09-25
1.0175,1.0175,1.0175,-0.0086710834,2019-09-26
1.0045,1.0045,1.0045,-0.0127764128,2019-09-27
1.001,1.001,1.001,-0.0034843206,2019-09-30
0.9991,0.9991,0.9991,-0.0018981019,2019-10-08
1.0078,1.0078,1.0078,0.0087078371,2019-10-09
1.0158,1.0158,1.0158,0.007938083,2019-10-10
1.0155,1.0155,1.0155,-0.0002953337,2019-10-11
1.0138,1.0138,1.0138,-0.0016740522,2019-10-14
1.0038,1.0038,1.0038,-0.0098638785,2019-10-15
0.9977,0.9977,0.9977,-0.0060769078,2019-10-16
0.9973,0.9973,0.9973,-0.0004009221,2019-10-17
0.9957,0.9957,0.9957,-0.0016043317,2019-10-18
0.9951,0.9951,0.9951,-0.0006025911,2019-10-21
0.992,0.992,0.992,-0.0031152648,2019-10-22
0.9893,0.9893,0.9893,-0.0027217742,2019-10-23
