nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-07-06
1.0,1.0,1.0,0.0,2022-07-08
0.9954,0.9954,0.9954,-0.0046,2022-07-15
0.9971,0.9971,0.9971,0.0017078561,2022-07-22
0.9978,0.9978,0.9978,0.0007020359,2022-07-29
0.9961,0.9961,0.9961,-0.0017037482,2022-08-05
0.9996,0.9996,0.9996,0.0035137034,2022-08-12
0.9994,0.9994,0.9994,-0.00020008,2022-08-19
0.9983,0.9983,0.9983,-0.0011006604,2022-08-26
0.9905,0.9905,0.9905,-0.0078132826,2022-09-02
0.9904,0.9904,0.9904,-0.0001009591,2022-09-09
0.9846,0.9846,0.9846,-0.0058562197,2022-09-16
0.9839,0.9839,0.9839,-0.0007109486,2022-09-23
0.9786,0.9786,0.9786,-0.0053867263,2022-09-30
0.9792,0.9792,0.9792,0.0006131208,2022-10-14
0.9758,0.9758,0.9758,-0.0034722222,2022-10-21
0.9714,0.9714,0.9714,-0.0045091207,2022-10-28
0.9766,0.9766,0.9766,0.0053530986,2022-11-04
0.9757,0.9757,0.9757,-0.0009215646,2022-11-11
0.9751,0.9751,0.9751,-0.0006149431,2022-11-18
0.9736,0.9736,0.9736,-0.0015383038,2022-11-25
0.978,0.978,0.978,0.0045193098,2022-12-02
0.9821,0.9821,0.9821,0.004192229,2022-12-09
0.9805,0.9805,0.9805,-0.001629162,2022-12-16
0.9755,0.9755,0.9755,-0.0050994391,2022-12-23
0.9791,0.9791,0.9791,0.0036904152,2022-12-30
0.9817,0.9817,0.9817,0.0026554999,2023-01-06
0.9845,0.9845,0.9845,0.0028521952,2023-01-13
0.9902,0.9902,0.9902,0.005789741,2023-01-20
0.992,0.992,0.992,0.0018178146,2023-02-03
0.9919,0.9919,0.9919,-0.0001008065,2023-02-10
0.987,0.987,0.987,-0.0049400141,2023-02-17
0.9887,0.9887,0.9887,0.0017223911,2023-02-24
0.9899,0.9899,0.9899,0.001213715,2023-03-03
0.9857,0.9857,0.9857,-0.0042428528,2023-03-10
0.9819,0.9819,0.9819,-0.0038551283,2023-03-17
0.9864,0.9864,0.9864,0.0045829514,2023-03-24
0.9833,0.9833,0.9833,-0.0031427413,2023-03-31
0.9846,0.9846,0.9846,0.0013220787,2023-04-07
0.9856,0.9856,0.9856,0.0010156409,2023-04-14
0.9775,0.9775,0.9775,-0.0082183442,2023-04-21
0.9781,0.9781,0.9781,0.0006138107,2023-04-28
0.9787,0.9787,0.9787,0.0006134342,2023-05-05
0.9756,0.9756,0.9756,-0.003167467,2023-05-12
0.9779,0.9779,0.9779,0.0023575236,2023-05-19
0.9783,0.9783,0.9783,0.0004090398,2023-05-26
0.981,0.981,0.981,0.0027598896,2023-06-02
0.9818,0.9818,0.9818,0.0008154944,2023-06-09
0.9906,0.9906,0.9906,0.0089631289,2023-06-16
0.9836,0.9836,0.9836,-0.0070664244,2023-06-21
0.9877,0.9877,0.9877,0.0041683611,2023-06-30
0.9883,0.9883,0.9883,0.0006074719,2023-07-07
0.9935,0.9935,0.9935,0.0052615603,2023-07-14
0.9886,0.9886,0.9886,-0.0049320584,2023-07-21
0.9956,0.9956,0.9956,0.0070807202,2023-07-28
0.9986,0.9986,0.9986,0.0030132583,2023-08-04
0.9886,0.9886,0.9886,-0.0100140196,2023-08-11
