nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-12-02
1.0002,1.0002,1.0002,0.0002,2022-12-09
1.0001,1.0001,1.0001,-9.998e-05,2022-12-16
1.0002,1.0002,1.0002,9.999e-05,2022-12-23
1.0003,1.0003,1.0003,9.998e-05,2022-12-30
1.003,1.003,1.003,0.0026991902,2023-01-06
1.0254,1.0254,1.0254,0.022333001,2023-01-13
1.0833,1.0833,1.0833,0.0564657695,2023-01-20
1.1336,1.1336,1.1336,0.0464321979,2023-02-03
1.093,1.093,1.093,-0.0358151023,2023-02-10
1.0789,1.0789,1.0789,-0.0129002745,2023-02-17
1.0523,1.0523,1.0523,-0.0246547409,2023-02-24
1.0518,1.0518,1.0518,-0.0004751497,2023-03-03
1.0523,1.0523,1.0523,0.0004753755,2023-03-10
0.9902,0.9902,0.9902,-0.0590135893,2023-03-17
1.01,1.01,1.01,0.0199959604,2023-03-24
0.9909,0.9909,0.9909,-0.0189108911,2023-03-31
1.0773,1.0773,1.0773,0.0871934605,2023-04-07
1.057,1.057,1.057,-0.0188434048,2023-04-14
1.0462,1.0462,1.0462,-0.010217597,2023-04-21
1.1145,1.1145,1.1145,0.0652838845,2023-04-28
1.1484,1.1484,1.1484,0.0304172275,2023-05-05
1.1983,1.1983,1.1983,0.043451759,2023-05-12
1.2482,1.2482,1.2482,0.0416423266,2023-05-19
1.4542,1.4542,1.4542,0.1650376542,2023-05-26
1.042,1.4441,1.4441,-0.0069453995,2023-06-02
0.9974,1.3995,1.38228919,-0.0428023033,2023-06-09
1.0025,1.4046,1.38935725,0.0051132946,2023-06-16
0.9898,1.3919,1.37175641,-0.0126683292,2023-06-21
1.0096,1.4117,1.39919708,0.0200040412,2023-06-30
0.9952,1.3973,1.37924023,-0.0142630745,2023-07-07
0.9773,1.3794,1.35443275,-0.0179863344,2023-07-14
0.9483,1.3504,1.31424187,-0.0296735905,2023-07-21
0.947,1.3491,1.31244021,-0.0013708742,2023-07-28
0.9188,1.3209,1.27335804,-0.0297782471,2023-08-04
0.9483,1.3504,1.31424187,0.0321070962,2023-08-11
0.981,1.3831,1.35956056,0.0344827586,2023-08-18
1.0122,1.4143,1.4028004,0.0318042813,2023-08-25
1.0287,1.4308,1.42566763,0.0163011263,2023-09-01
1.0244,1.4265,1.41970829,-0.0041800331,2023-09-08
1.005,1.4071,1.39282198,-0.0189379149,2023-09-15
0.974,1.3761,1.34985931,-0.0308457711,2023-09-22
0.982,1.3841,1.36094645,0.0082135524,2023-09-28
0.9947,1.3968,1.37854728,0.0129327902,2023-10-13
1.0697,1.4718,1.48248922,0.075399618,2023-10-20
1.09,1.4921,1.51062284,0.0189772834,2023-10-27
1.0498,1.4519,1.45490996,-0.0368807339,2023-11-03
1.0691,1.4712,1.48165769,0.0183844542,2023-11-10
1.0551,1.4572,1.46225519,-0.0130951267,2023-11-17
1.0613,1.4634,1.47084773,0.0058762203,2023-11-24
1.0891,1.4912,1.50937554,0.02619429,2023-12-01
