nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-07-27
1.042,1.042,1.042,0.042,2024-03-29
1.069,1.069,1.069,0.0259117083,2024-04-03
1.092,1.092,1.092,0.021515435,2024-04-12
1.065,1.065,1.065,-0.0247252747,2024-04-19
1.074,1.074,1.074,0.0084507042,2024-04-26
1.035,1.035,1.035,-0.0363128492,2024-04-30
1.037,1.037,1.037,0.0019323671,2024-05-10
1.027,1.027,1.027,-0.0096432015,2024-05-17
0.992,0.992,0.992,-0.0340798442,2024-05-24
0.99,0.99,0.99,-0.002016129,2024-05-31
0.937,0.937,0.937,-0.0535353535,2024-06-07
0.941,0.941,0.941,0.0042689434,2024-06-14
0.992,0.992,0.992,0.0541976621,2024-06-21
0.97,0.97,0.97,-0.0221774194,2024-06-28
0.94,0.94,0.94,-0.0309278351,2024-07-05
0.902,0.902,0.902,-0.0404255319,2024-07-12
0.863,0.863,0.863,-0.0432372506,2024-07-19
0.895,0.895,0.895,0.0370799537,2024-07-26
0.88,0.88,0.88,-0.0167597765,2024-07-31
0.841,0.841,0.841,-0.0443181818,2024-08-02
0.835,0.835,0.835,-0.0071343639,2024-08-09
0.839,0.839,0.839,0.0047904192,2024-08-16
0.827,0.827,0.827,-0.0143027414,2024-08-23
0.827,0.827,0.827,0.0,2024-08-30
0.829,0.829,0.829,0.0024183797,2024-09-06
0.836,0.836,0.836,0.0084439083,2024-09-13
0.844,0.844,0.844,0.009569378,2024-09-20
0.913,0.913,0.913,0.0817535545,2024-09-27
0.965,0.965,0.965,0.0569550931,2024-09-30
0.95,0.95,0.95,-0.0155440415,2024-10-11
0.972,0.972,0.972,0.0231578947,2024-10-18
0.979,0.979,0.979,0.0072016461,2024-10-25
0.967,0.967,0.967,-0.0122574055,2024-10-31
0.97,0.97,0.97,0.0031023785,2024-11-01
0.987,0.987,0.987,0.0175257732,2024-11-08
0.901,0.901,0.901,-0.0871327254,2024-11-15
0.888,0.888,0.888,-0.0144284129,2024-11-22
0.802,0.802,0.802,-0.0968468468,2024-11-29
0.812,0.812,0.812,0.0124688279,2024-12-06
0.802,0.802,0.802,-0.0123152709,2024-12-13
0.798,0.798,0.798,-0.0049875312,2024-12-20
0.788,0.788,0.788,-0.0125313283,2024-12-27
0.761,0.761,0.761,-0.0342639594,2024-12-31
0.715,0.715,0.715,-0.0604467806,2025-01-03
0.715,0.715,0.715,0.0,2025-01-10
0.718,0.718,0.718,0.0041958042,2025-01-17
0.718,0.718,0.718,0.0,2025-01-24
0.714,0.714,0.714,-0.0055710306,2025-01-27
0.742,0.742,0.742,0.0392156863,2025-02-07
0.768,0.768,0.768,0.0350404313,2025-02-14
0.763,0.763,0.763,-0.0065104167,2025-02-21
0.793,0.793,0.793,0.0393184797,2025-02-28
0.788,0.788,0.788,-0.0063051702,2025-03-07
0.792,0.792,0.792,0.0050761421,2025-03-14
0.742,0.742,0.742,-0.0631313131,2025-03-21
0.719,0.719,0.719,-0.0309973046,2025-03-28
0.72,0.72,0.72,0.0013908206,2025-03-31
0.716,0.716,0.716,-0.0055555556,2025-04-03
0.703,0.703,0.703,-0.0181564246,2025-04-11
0.702,0.702,0.702,-0.0014224751,2025-04-18
0.702,0.702,0.702,0.0,2025-04-25
0.703,0.703,0.703,0.0014245014,2025-04-30
0.703,0.703,0.703,0.0,2025-05-09
0.703,0.703,0.703,0.0,2025-05-16
0.703,0.703,0.703,0.0,2025-05-23
0.704,0.704,0.704,0.0014224751,2025-05-30
0.704,0.704,0.704,0.0,2025-06-06
0.702,0.702,0.702,-0.0028409091,2025-06-13
0.701,0.701,0.701,-0.0014245014,2025-06-20
0.7,0.7,0.7,-0.0014265335,2025-06-27
0.702,0.702,0.702,0.0028571429,2025-06-30
0.699,0.699,0.699,-0.0042735043,2025-07-04
0.702,0.702,0.702,0.0042918455,2025-07-11
0.712,0.712,0.712,0.0142450142,2025-07-18
0.716,0.716,0.716,0.0056179775,2025-07-25
0.72,0.72,0.72,0.0055865922,2025-07-31
0.716,0.716,0.716,-0.0055555556,2025-08-01
0.726,0.726,0.726,0.0139664804,2025-08-08
0.725,0.725,0.725,-0.0013774105,2025-08-15
0.785,0.785,0.785,0.0827586207,2025-08-22
0.788,0.788,0.788,0.0038216561,2025-08-29
0.764,0.764,0.764,-0.0304568528,2025-09-05
0.85,0.85,0.85,0.112565445,2025-09-12
0.817,0.817,0.817,-0.0388235294,2025-09-19
0.777,0.777,0.777,-0.0489596083,2025-09-26
0.802,0.802,0.802,0.0321750322,2025-09-30
0.825,0.825,0.825,0.0286783042,2025-10-10
0.85,0.85,0.85,0.0303030303,2025-10-17
0.885,0.885,0.885,0.0411764706,2025-10-24
0.912,0.912,0.912,0.0305084746,2025-10-31
0.884,0.884,0.884,-0.0307017544,2025-11-07
0.879,0.879,0.879,-0.0056561086,2025-11-14
0.846,0.846,0.846,-0.0375426621,2025-11-21
0.893,0.893,0.893,0.0555555556,2025-11-28
0.86,0.86,0.86,-0.0369540873,2025-12-05
0.855,0.855,0.855,-0.0058139535,2025-12-12
0.877,0.877,0.877,0.0257309942,2025-12-19
0.93,0.93,0.93,0.0604332953,2025-12-26
0.922,0.922,0.922,-0.0086021505,2025-12-31
0.946,0.946,0.946,0.0260303688,2026-01-09
0.97,0.97,0.97,0.0253699789,2026-01-16
0.982,0.982,0.982,0.012371134,2026-01-23
0.962,0.962,0.962,-0.0203665988,2026-01-30
0.981,0.981,0.981,0.0197505198,2026-02-06
0.987,0.987,0.987,0.006116208,2026-02-13
1.029,1.029,1.029,0.0425531915,2026-02-27
1.022,1.022,1.022,-0.0068027211,2026-03-06
1.05,1.05,1.05,0.0273972603,2026-03-13
1.021,1.021,1.021,-0.0276190476,2026-03-20
1.076,1.076,1.076,0.0538687561,2026-03-27
1.01,1.01,1.01,-0.06133829,2026-03-31
0.968,0.968,0.968,-0.0415841584,2026-04-03
1.033,1.033,1.033,0.0671487603,2026-04-10
1.145,1.145,1.145,0.1084220716,2026-04-17
1.135,1.135,1.135,-0.0087336245,2026-04-24
1.143,1.143,1.143,0.0070484581,2026-04-30
1.219,1.219,1.219,0.0664916885,2026-05-08
1.176,1.176,1.176,-0.0352748154,2026-05-15
1.172,1.172,1.172,-0.0034013605,2026-05-22
