nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-10-10
1.0,1.0,1.0,0.0,2019-10-11
1.0,1.0,1.0,0.0,2019-10-18
1.0,1.0,1.0,0.0,2019-10-25
1.0,1.0,1.0,0.0,2019-10-31
0.998,0.998,0.998,-0.002,2019-11-01
0.991,0.991,0.991,-0.0070140281,2019-11-08
1.012,1.012,1.012,0.0211907164,2019-11-15
0.997,0.997,0.997,-0.0148221344,2019-11-22
0.998,0.998,0.998,0.001003009,2019-11-29
0.993,0.993,0.993,-0.00501002,2019-12-06
1.029,1.029,1.029,0.0362537764,2019-12-13
1.004,1.004,1.004,-0.0242954325,2019-12-20
0.995,0.995,0.995,-0.0089641434,2019-12-27
0.995,0.995,0.995,0.0,2019-12-31
0.992,0.992,0.992,-0.0030150754,2020-01-03
1.002,1.002,1.002,0.0100806452,2020-01-10
0.987,0.987,0.987,-0.0149700599,2020-01-17
0.98,0.98,0.98,-0.0070921986,2020-01-23
1.014,1.014,1.014,0.0346938776,2020-02-07
1.031,1.031,1.031,0.016765286,2020-02-14
0.99,0.99,0.99,-0.0397672163,2020-02-21
1.021,1.021,1.021,0.0313131313,2020-02-28
1.015,1.015,1.015,-0.0058765916,2020-03-06
1.084,1.084,1.084,0.0679802956,2020-03-13
1.139,1.139,1.139,0.0507380074,2020-03-20
1.145,1.145,1.145,0.0052677788,2020-03-27
1.149,1.149,1.149,0.0034934498,2020-03-31
1.139,1.139,1.139,-0.0087032202,2020-04-03
1.127,1.127,1.127,-0.0105355575,2020-04-10
1.13,1.13,1.13,0.0026619343,2020-04-17
1.118,1.118,1.118,-0.010619469,2020-04-24
1.111,1.111,1.111,-0.0062611807,2020-04-30
1.133,1.133,1.133,0.0198019802,2020-05-08
1.147,1.147,1.147,0.0123565755,2020-05-15
1.194,1.194,1.194,0.0409764603,2020-05-22
1.2,1.2,1.2,0.0050251256,2020-05-29
1.226,1.226,1.226,0.0216666667,2020-06-05
1.226,1.226,1.226,0.0,2020-06-12
1.226,1.226,1.226,0.0,2020-06-19
