nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-04-17
1.0,1.0,1.0,0.0,2017-04-21
0.9999,0.9999,0.9999,-0.0001,2017-04-28
0.9999,0.9999,0.9999,0.0,2017-05-05
0.9999,0.9999,0.9999,0.0,2017-05-12
0.9998,0.9998,0.9998,-0.00010001,2017-05-19
0.9998,0.9998,0.9998,0.0,2017-05-26
0.9995,0.9995,0.9995,-0.00030006,2017-06-02
0.9995,0.9995,0.9995,0.0,2017-06-09
0.9996,0.9996,0.9996,0.00010005,2017-06-16
1.0005,1.0005,1.0005,0.0009003601,2017-06-23
1.0055,1.0055,1.0055,0.0049975012,2017-06-30
1.0128,1.0128,1.0128,0.0072600696,2017-07-07
1.0216,1.0216,1.0216,0.0086887836,2017-07-14
1.0317,1.0317,1.0317,0.0098864526,2017-07-21
1.0337,1.0337,1.0337,0.001938548,2017-07-28
1.0395,1.0395,1.0395,0.0056109123,2017-08-04
1.0494,1.0494,1.0494,0.0095238095,2017-08-11
1.0542,1.0542,1.0542,0.0045740423,2017-08-18
1.0611,1.0611,1.0611,0.0065452476,2017-08-25
1.0683,1.0683,1.0683,0.0067854114,2017-09-01
1.0615,1.0615,1.0615,-0.0063652532,2017-09-08
1.0595,1.0595,1.0595,-0.0018841262,2017-09-15
1.0703,1.0703,1.0703,0.0101934875,2017-09-22
1.0685,1.0685,1.0685,-0.0016817715,2017-09-29
1.0758,1.0758,1.0758,0.0068320075,2017-10-13
1.0658,1.0658,1.0658,-0.0092954081,2017-10-20
1.0603,1.0603,1.0603,-0.0051604429,2017-10-27
1.0432,1.0432,1.0432,-0.0161275111,2017-11-03
1.0546,1.0546,1.0546,0.0109279141,2017-11-10
1.0519,1.0519,1.0519,-0.0025602124,2017-11-17
1.0606,1.0606,1.0606,0.0082707482,2017-11-24
1.0697,1.0697,1.0697,0.008580049,2017-12-01
1.079,1.079,1.079,0.0086940264,2017-12-08
1.0655,1.0655,1.0655,-0.0125115848,2017-12-15
1.0716,1.0716,1.0716,0.0057250117,2017-12-22
1.0626,1.0626,1.0626,-0.0083986562,2017-12-29
1.0637,1.0637,1.0637,0.0010351967,2018-01-05
1.0622,1.0622,1.0622,-0.001410172,2018-01-12
1.052,1.052,1.052,-0.0096027114,2018-01-19
1.0594,1.0594,1.0594,0.0070342205,2018-01-26
1.0585,1.0585,1.0585,-0.0008495375,2018-02-02
1.0314,1.0314,1.0314,-0.0256022674,2018-02-09
1.0422,1.0422,1.0422,0.0104712042,2018-02-14
1.0464,1.0464,1.0464,0.0040299367,2018-02-23
1.0538,1.0538,1.0538,0.0070718654,2018-03-02
1.0693,1.0693,1.0693,0.0147086734,2018-03-09
1.0621,1.0621,1.0621,-0.006733377,2018-03-16
1.0937,1.0937,1.0937,0.0297523774,2018-03-23
1.109,1.109,1.109,0.0139892109,2018-03-30
1.1037,1.1037,1.1037,-0.0047790803,2018-04-04
1.0948,1.0948,1.0948,-0.0080637854,2018-04-13
1.0934,1.0934,1.0934,-0.0012787724,2018-04-20
1.084,1.084,1.084,-0.0085970368,2018-04-27
1.0879,1.0879,1.0879,0.003597786,2018-05-04
1.0913,1.0913,1.0913,0.0031252873,2018-05-11
1.1012,1.1012,1.1012,0.0090717493,2018-05-18
1.0927,1.0927,1.0927,-0.0077188522,2018-05-25
1.0831,1.0831,1.0831,-0.008785577,2018-06-01
1.0914,1.0914,1.0914,0.007663189,2018-06-08
1.0869,1.0869,1.0869,-0.0041231446,2018-06-15
1.0964,1.0964,1.0964,0.0087404545,2018-06-22
