nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-06-25
1.0,1.0,1.0,0.0,2024-06-28
1.0001,1.0001,1.0001,0.0001,2024-07-05
1.0001,1.0001,1.0001,0.0,2024-07-12
1.0,1.0,1.0,-9.999e-05,2024-07-19
1.0006,1.0006,1.0006,0.0006,2024-07-26
1.0067,1.0067,1.0067,0.0060963422,2024-07-31
1.0035,1.0035,1.0035,-0.0031787027,2024-08-02
0.9949,0.9949,0.9949,-0.008570005,2024-08-09
0.9995,0.9995,0.9995,0.0046235803,2024-08-16
0.9997,0.9997,0.9997,0.0002001001,2024-08-23
1.0087,1.0087,1.0087,0.0090027008,2024-08-30
1.0003,1.0003,1.0003,-0.0083275503,2024-09-06
0.9988,0.9988,0.9988,-0.0014995501,2024-09-13
0.9913,0.9913,0.9913,-0.0075090108,2024-09-20
0.9945,0.9945,0.9945,0.0032280843,2024-09-27
0.9569,0.9569,0.9569,-0.0378079437,2024-09-30
1.0061,1.0061,1.0061,0.0514160309,2024-10-11
1.0107,1.0107,1.0107,0.0045721101,2024-10-18
1.0145,1.0145,1.0145,0.0037597705,2024-10-25
1.0001,1.0001,1.0001,-0.0141941843,2024-10-31
0.9947,0.9947,0.9947,-0.0053994601,2024-11-01
1.0202,1.0202,1.0202,0.0256358701,2024-11-08
1.0438,1.0438,1.0438,0.0231327191,2024-11-15
1.0522,1.0522,1.0522,0.0080475187,2024-11-22
1.0488,1.0488,1.0488,-0.0032313248,2024-11-29
1.0494,1.0494,1.0494,0.0005720824,2024-12-06
1.05,1.05,1.05,0.0005717553,2024-12-13
1.0586,1.0586,1.0586,0.0081904762,2024-12-20
1.061,1.061,1.061,0.0022671453,2024-12-27
1.0698,1.0698,1.0698,0.0082940622,2024-12-31
1.0828,1.0828,1.0828,0.0121518041,2025-01-03
1.0837,1.0837,1.0837,0.0008311784,2025-01-10
1.0817,1.0817,1.0817,-0.0018455292,2025-01-17
1.0799,1.0799,1.0799,-0.0016640473,2025-01-24
1.0829,1.0829,1.0829,0.002778035,2025-01-27
1.0933,1.0933,1.0933,0.0096038415,2025-02-07
1.1024,1.1024,1.1024,0.0083234245,2025-02-14
1.1016,1.1016,1.1016,-0.0007256894,2025-02-21
1.1024,1.1024,1.1024,0.0007262164,2025-02-28
1.1054,1.1054,1.1054,0.0027213353,2025-03-07
1.1092,1.1092,1.1092,0.0034376696,2025-03-14
1.1236,1.1236,1.1236,0.0129823296,2025-03-21
1.1193,1.1193,1.1193,-0.0038269847,2025-03-28
1.118,1.118,1.118,-0.0011614402,2025-03-31
1.1137,1.1137,1.1137,-0.0038461538,2025-04-03
1.1096,1.1096,1.1096,-0.0036814223,2025-04-11
1.1161,1.1161,1.1161,0.0058579668,2025-04-18
1.1207,1.1207,1.1207,0.0041214945,2025-04-25
1.1173,1.1173,1.1173,-0.0030338181,2025-04-30
1.1308,1.1308,1.1308,0.0120826994,2025-05-09
1.1242,1.1242,1.1242,-0.0058365759,2025-05-16
1.1207,1.1207,1.1207,-0.003113325,2025-05-23
1.119,1.119,1.119,-0.0015169091,2025-05-30
1.1249,1.1249,1.1249,0.0052725648,2025-06-06
1.1142,1.1142,1.1142,-0.0095119566,2025-06-13
1.1174,1.1174,1.1174,0.0028720158,2025-06-20
1.1251,1.1251,1.1251,0.006890997,2025-06-27
1.127,1.127,1.127,0.0016887388,2025-06-30
1.1228,1.1228,1.1228,-0.0037267081,2025-07-04
1.1239,1.1239,1.1239,0.0009796936,2025-07-11
1.1292,1.1292,1.1292,0.004715722,2025-07-18
1.1293,1.1293,1.1293,8.85583e-05,2025-07-25
1.1307,1.1307,1.1307,0.001239706,2025-08-01
1.1384,1.1384,1.1384,0.0068099407,2025-08-08
