nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-03-24
1.0002,1.0002,1.0002,0.0002,2025-03-28
1.0003,1.0003,1.0003,9.998e-05,2025-03-31
1.0005,1.0005,1.0005,0.00019994,2025-04-03
1.0008,1.0008,1.0008,0.0002998501,2025-04-11
1.0008,1.0008,1.0008,0.0,2025-04-18
1.0158,1.0158,1.0158,0.0149880096,2025-04-25
1.0114,1.0114,1.0114,-0.0043315613,2025-04-30
1.0301,1.0301,1.0301,0.0184892229,2025-05-09
1.055,1.055,1.055,0.0241724104,2025-05-16
1.0571,1.0571,1.0571,0.0019905213,2025-05-23
1.0692,1.0692,1.0692,0.01144641,2025-05-30
1.0809,1.0809,1.0809,0.0109427609,2025-06-06
1.07,1.07,1.07,-0.0100841891,2025-06-13
1.0447,1.0447,1.0447,-0.0236448598,2025-06-20
1.0864,1.0864,1.0864,0.0399157653,2025-06-27
1.0925,1.0925,1.0925,0.0056148748,2025-06-30
1.0892,1.0892,1.0892,-0.003020595,2025-07-04
1.0955,1.0955,1.0955,0.0057840617,2025-07-11
1.0913,1.0913,1.0913,-0.0038338658,2025-07-18
1.0639,1.0639,1.0639,-0.0251076698,2025-07-25
1.0671,1.0671,1.0671,0.0030078015,2025-07-31
1.0724,1.0724,1.0724,0.0049667323,2025-08-01
1.0816,1.0816,1.0816,0.0085788885,2025-08-08
1.081,1.081,1.081,-0.0005547337,2025-08-15
1.1146,1.1146,1.1146,0.0310823312,2025-08-22
1.1221,1.1221,1.1221,0.0067288713,2025-08-29
1.1175,1.1175,1.1175,-0.0040994564,2025-09-05
1.1649,1.1649,1.1649,0.0424161074,2025-09-12
1.1626,1.1626,1.1626,-0.0019744184,2025-09-19
1.1762,1.1762,1.1762,0.0116979185,2025-09-26
1.1901,1.1901,1.1901,0.0118177181,2025-09-30
1.1818,1.1818,1.1818,-0.0069742038,2025-10-10
1.141,1.141,1.141,-0.0345236081,2025-10-17
1.1665,1.1665,1.1665,0.0223488168,2025-10-24
1.1528,1.1528,1.1528,-0.0117445349,2025-10-31
1.1614,1.1614,1.1614,0.0074600972,2025-11-07
1.1423,1.1423,1.1423,-0.016445669,2025-11-14
1.1007,1.1007,1.1007,-0.0364177537,2025-11-21
1.0604,1.0604,1.0604,-0.0366130644,2025-11-28
1.029,1.029,1.029,-0.0296114674,2025-12-05
1.0169,1.0169,1.0169,-0.0117589893,2025-12-12
1.0125,1.0125,1.0125,-0.0043268758,2025-12-19
1.0192,1.0192,1.0192,0.006617284,2025-12-26
1.0111,1.0111,1.0111,-0.0079474097,2025-12-31
1.026,1.026,1.026,0.0147364257,2026-01-09
1.0389,1.0389,1.0389,0.0125730994,2026-01-16
1.0401,1.0401,1.0401,0.0011550679,2026-01-23
1.0374,1.0374,1.0374,-0.0025959042,2026-01-30
1.0308,1.0308,1.0308,-0.006362059,2026-02-06
1.0303,1.0303,1.0303,-0.0004850601,2026-02-13
1.0214,1.0214,1.0214,-0.0086382607,2026-02-27
0.9966,0.9966,0.9966,-0.0242803995,2026-03-06
0.9961,0.9961,0.9961,-0.0005017058,2026-03-13
0.9746,0.9746,0.9746,-0.0215841783,2026-03-20
0.969,0.969,0.969,-0.0057459471,2026-03-27
0.9577,0.9577,0.9577,-0.0116615067,2026-04-03
1.0011,1.0011,1.0011,0.0453169051,2026-04-10
1.0144,1.0144,1.0144,0.0132853861,2026-04-17
1.013,1.013,1.013,-0.0013801262,2026-04-24
1.0058,1.0058,1.0058,-0.0071076012,2026-04-30
1.0261,1.0261,1.0261,0.020182939,2026-05-08
1.0074,1.0074,1.0074,-0.0182243446,2026-05-15
0.9891,0.9891,0.9891,-0.0181655747,2026-05-22
